"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Down","fov.Limited","fov.Open","mean.relief","sd.relief","broad.Macroalgae","broad.Seagrasses","broad.Sponges","broad.Unconsolidated"
"PPH_24",-38.28342646,144.62407,20190216,13:20:00,"PPH","PPH","Yes",0,0,100,0,0,100,0,0,0
"PPH_28",-38.27864489,144.63372,20190216,13:27:00,"PPH","PPH","Yes",0,0,100,0,0,10,90,0,0
"PPH_58",-38.29636099,144.60595,20190216,11:33:00,"PPH","PPH","Yes",0,100,0,2.05,1.05006265477226,100,0,0,0
"PPH_29",-38.27643445,144.63761,20190217,17:38:00,"PPH","PPH","Yes",0,0,100,0,0,100,0,0,0
"PPH_13",-38.29406433,144.59827,20190216,11:39:00,"PPH","PPH","Yes",0,100,0,1,0,100,0,0,0
"PPH_57",-38.30717713,144.6884,20190216,16:25:00,"PPH","PPH","Yes",0,0,100,0,0,0,0,0,100
"PPH_44",-38.306316,144.66453,20190216,16:41:00,"PPH","PPH","Yes",0,0,100,0,0,86.6666666666667,13.3333333333333,0,0
"PPH_09",-38.27528186,144.65549,20190217,17:42:00,"PPH","PPH","Yes",0,0,100,1,0,60,40,0,0
"PPH_46",-38.30407154,144.66736,20190216,16:38:00,"PPH","PPH","Yes",0,0,100,0,0,0,0,0,100
"PPH_41",-38.32010002,144.65013,20190216,08:40:00,"PPH","PPH","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PPH_05",-38.29667168,144.61299,20190216,11:30:00,"PPH","PPH","Yes",0,100,0,0,0,100,0,0,0
"PPH_06",-38.29461679,144.61027,20190216,11:31:00,"PPH","PPH","Yes",100,0,0,0.3,0.571240570577479,45,0,0,55
"PPH_21",-38.29374722,144.6213,20190218,12:20:00,"PPH","PPH","Yes",0,90,10,0.944444444444444,0.639137490706142,100,0,0,0
"PPH_31",-38.28176565,144.63952,20190219,13:14:00,"PPH","PPH","Yes",0,0,100,0,0,100,0,0,0
"PPH_43",-38.31047267,144.6444,20190217,10:28:00,"PPH","PPH","Yes",0,0,100,0,0,92.3076923076923,0,0,7.69230769230769
"PPH_40",-38.31892921,144.65535,20190216,08:37:00,"PPH","PPH","Yes",0,0,100,0,0,0,0,0,100
"PPH_10",-38.30163849,144.65852,20190217,17:47:00,"PPH","PPH","Yes",0,0,100,0,0,6.66666666666667,20,0,73.3333333333333
"PPH_47",-38.30482895,144.67278,20190216,16:35:00,"PPH","PPH","Yes",0,0,100,0,0,0,0,0,100
"PPH_23",-38.29332888,144.60545,20190216,11:36:00,"PPH","PPH","Yes",0,0,100,1,0,100,0,0,0
"PPH_12",-38.30412315,144.65585,20190217,17:53:00,"PPH","PPH","Yes",0,0,100,1,0,100,0,0,0
