OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
PPH_01	Sasha Whitmarsh	-6.764999866	Good footage on first clip	Latitude	-38.28636769	Longitude	144.62963	Date	18/02/2019	Time	12:30	MPAStatus	Inside	Site	PPH	Year	2019	Spare	
PPH_02	Sasha Whitmarsh	-5.846000195		Latitude	-38.28016609	Longitude	144.62507	Date	18/02/2019	Time	13:22	MPAStatus	Inside	Site	PPH	Year	2019	Spare	
PPH_03	Sasha Whitmarsh	-7.485000134		Latitude	-38.2873349	Longitude	144.62	Date	16/02/2019	Time	13:08	MPAStatus	Inside	Site	PPH	Year	2019	Spare	
PPH_04	Sasha Whitmarsh	-5.170000076		Latitude	-38.29011756	Longitude	144.62258	Date	18/02/2019	Time	12:22	MPAStatus	Inside	Site	PPH	Year	2019	Spare	
PPH_05	Sasha Whitmarsh	-5.771999836	Left side heavily obscured/rightside watched	Latitude	-38.29667168	Longitude	144.61299	Date	16/02/2019	Time	11:30	MPAStatus	Inside	Site	PPH	Year	2019	Spare	
PPH_06	Sasha Whitmarsh	-7.624000072	Facing down	Latitude	-38.29461679	Longitude	144.61027	Date	16/02/2019	Time	11:31	MPAStatus	Inside	Site	PPH	Year	2019	Spare	
PPH_07	Sasha Whitmarsh	-9.491000175		Latitude	-38.28473282	Longitude	144.63653	Date	19/02/2019	Time	13:17	MPAStatus	Outside	Site	PPH	Year	2019	Spare	
PPH_08	Sasha Whitmarsh	-5.169000149		Latitude	-38.28302156	Longitude	144.63434	Date	17/02/2019	Time	17:36	MPAStatus	Outside	Site	PPH	Year	2019	Spare	
PPH_09	Sasha Whitmarsh	-7.198999882	Very green, cute cuttle	Latitude	-38.27528186	Longitude	144.65549	Date	17/02/2019	Time	17:42	MPAStatus	Outside	Site	PPH	Year	2019	Spare	
PPH_10	Sasha Whitmarsh	-4.505000114		Latitude	-38.30163849	Longitude	144.65852	Date	17/02/2019	Time	17:47	MPAStatus	Outside	Site	PPH	Year	2019	Spare	
