Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Others,Comments
PPH_24,-38.28342646,144.62407,20190216,13:20:00,PPH,No-take,PPH,-6.804999828,Sasha Whitmarsh,Yes,No,NA,
PPH_28,-38.27864489,144.63372,20190216,13:27:00,PPH,Fished,PPH,-4.78000021,Sasha Whitmarsh,Yes,Yes,NA,
PPH_58,-38.29636099,144.60595,20190216,11:33:00,PPH,Fished,PPH,-8.505000114,Sasha Whitmarsh,Yes,Yes,NA,
PPH_29,-38.27643445,144.63761,20190217,17:38:00,PPH,Fished,PPH,-5.15500021,Sasha Whitmarsh,Yes,Yes,NA,Poor vis
PPH_13,-38.29406433,144.59827,20190216,11:39:00,PPH,Fished,PPH,-7.113999844,Sasha Whitmarsh,Yes,Yes,NA,Partially obscured
PPH_57,-38.30717713,144.6884,20190216,16:25:00,PPH,Fished,PPH,-14.46000004,Sasha Whitmarsh,Yes,Yes,NA,
PPH_44,-38.306316,144.66453,20190216,16:41:00,PPH,No-take,PPH,-2.638999939,Sasha Whitmarsh,Yes,Yes,NA,
PPH_09,-38.27528186,144.65549,20190217,17:42:00,PPH,Fished,PPH,-7.198999882,Sasha Whitmarsh,Yes,Yes,NA,"Very green, cute cuttle"
PPH_46,-38.30407154,144.66736,20190216,16:38:00,PPH,Fished,PPH,-3.693000078,Sasha Whitmarsh,Yes,Yes,NA,
PPH_41,-38.32010002,144.65013,20190216,8:40:00,PPH,No-take,PPH,-12.05000019,Sasha Whitmarsh,Yes,Yes,NA,
PPH_05,-38.29667168,144.61299,20190216,11:30:00,PPH,No-take,PPH,-5.771999836,Sasha Whitmarsh,Yes,No,NA,Left side heavily obscured/rightside watched
PPH_06,-38.29461679,144.61027,20190216,11:31:00,PPH,No-take,PPH,-7.624000072,Sasha Whitmarsh,Yes,Yes,NA,Facing down
PPH_21,-38.29374722,144.6213,20190218,12:20:00,PPH,No-take,PPH,-6.126999855,Sasha Whitmarsh,Yes,Yes,NA,
PPH_31,-38.28176565,144.63952,20190219,13:14:00,PPH,Fished,PPH,-12.72999954,Sasha Whitmarsh,Yes,Yes,NA,
PPH_43,-38.31047267,144.6444,20190217,10:28:00,PPH,No-take,PPH,-26.63999939,Sasha Whitmarsh,Yes,Yes,NA,
PPH_40,-38.31892921,144.65535,20190216,8:37:00,PPH,No-take,PPH,-11.69999981,Sasha Whitmarsh,Yes,Yes,NA,
PPH_10,-38.30163849,144.65852,20190217,17:47:00,PPH,Fished,PPH,-4.505000114,Sasha Whitmarsh,Yes,Yes,NA,
PPH_47,-38.30482895,144.67278,20190216,16:35:00,PPH,No-take,PPH,-2.556999922,Sasha Whitmarsh,Yes,Yes,NA,
PPH_23,-38.29332888,144.60545,20190216,11:36:00,PPH,No-take,PPH,-6.690999985,Sasha Whitmarsh,Yes,Yes,NA,murky with algae obscuration
PPH_12,-38.30412315,144.65585,20190217,17:53:00,PPH,No-take,PPH,-0.453400046,Sasha Whitmarsh,Yes,Yes,NA,
PPH_04,-38.29011756,144.62258,20190218,12:22:00,PPH,No-take,PPH,-5.170000076,Sasha Whitmarsh,Yes,Yes,NA,
PPH_16,-38.28886255,144.6318,20190219,13:24:00,PPH,No-take,PPH,-13.39000034,Sasha Whitmarsh,Yes,Yes,NA,
PPH_38,-38.31449034,144.64858,20190217,10:32:00,PPH,No-take,PPH,-11.85000038,Sasha Whitmarsh,Yes,No,NA,Left side heavily obscured; right side obscured but scored
PPH_03,-38.2873349,144.62,20190216,13:08:00,PPH,No-take,PPH,-7.485000134,Sasha Whitmarsh,Yes,Yes,NA,
PPH_49,-38.30209336,144.64177,20190216,10:07:00,PPH,Fished,PPH,-8.944999695,Sasha Whitmarsh,Yes,Yes,NA,
PPH_39,-38.31433617,144.65517,20190216,9:55:00,PPH,No-take,PPH,-12.97000027,Sasha Whitmarsh,Yes,Yes,NA,Sandy at times
PPH_55,-38.31293797,144.71249,20190219,8:50:00,PPH,No-take,PPH,-9.470999718,Sasha Whitmarsh,Yes,Yes,NA,
PPH_01,-38.28636769,144.62963,20190218,12:30:00,PPH,No-take,PPH,-6.764999866,Sasha Whitmarsh,Yes,Yes,NA,Good footage on first clip
PPH_14,-38.29019422,144.58883,20190216,11:42:00,PPH,Fished,PPH,-5.599999905,Sasha Whitmarsh,Yes,Yes,NA,Very poor vis
PPH_35,-38.30423,144.64608,20190216,10:04:00,PPH,No-take,PPH,-8.350999832,Sasha Whitmarsh,Yes,Yes,NA,quite obscured
PPH_50,-38.32656179,144.67468,20190216,8:20:00,PPH,Fished,PPH,-15.36999989,Sasha Whitmarsh,Yes,Yes,NA,Slightly tilted
PPH_34,-38.30606,144.64868,20190216,10:01:00,PPH,No-take,PPH,-7.241000175,Sasha Whitmarsh,Yes,Yes,NA,Poor vis; shark at 61 mins
PPH_07,-38.28473282,144.63653,20190219,13:17:00,PPH,Fished,PPH,-9.491000175,Sasha Whitmarsh,Yes,Yes,NA,
PPH_53,-38.32349749,144.65847,20190216,8:30:00,PPH,Fished,PPH,-12.53999996,Sasha Whitmarsh,Yes,Yes,NA,
