OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	RectWidth	RectHeight	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
PPH_01	0	PPH_178_177_178_01a.avi	1296	0.86400		-1.00000	1450.87569	653.40588	0.00000	0.00000						AD	Passing	Clapper		
PPH_01	1	PPH_178_177_178_01a.avi	1924	1.28267	Analysis	0.00000	1065.22964	616.97497	0.00000	0.00000						AD	Passing	SOB		
PPH_01	2	PPH_178_177_178_01a.avi	1924	1.28267	Analysis	0.00000	183.41702	392.51360	0.00000	0.00000	Latridae	Pseudogoniistius	nigripes	37377001	1	AD	Passing			
PPH_01	3	PPH_178_177_178_01a.avi	1924	1.28267	Analysis	0.00000	329.21004	366.65941	0.00000	0.00000	Girellidae	Girella	zebra		1	AD	Passing			
PPH_01	4	PPH_178_177_178_01a.avi	1924	1.28267	Analysis	0.00000	507.92407	397.21436	0.00000	0.00000	Girellidae	Girella	zebra		1	AD	Passing			
PPH_01	5	PPH_178_177_178_01a.avi	1924	1.28267	Analysis	0.00000	522.03307	369.00979	0.00000	0.00000	Girellidae	Girella	zebra		1	AD	Passing			
PPH_01	6	PPH_178_177_178_01a.avi	1924	1.28267	Analysis	0.00000	1161.64115	514.73341	0.00000	0.00000	Girellidae	Girella	zebra		1	AD	Passing			
PPH_01	7	PPH_178_177_178_01a.avi	2011	1.34067	Analysis	0.05800	1457.93019	557.04026	0.00000	0.00000	Girellidae	Girella	zebra		1	AD	Attracted			
PPH_01	8	PPH_178_177_178_01a.avi	2011	1.34067	Analysis	0.05800	1252.17391	502.98150	0.00000	0.00000	Girellidae	Girella	zebra		1	AD	Attracted			
PPH_01	9	PPH_178_177_178_01a.avi	2011	1.34067	Analysis	0.05800	813.61911	492.40479	0.00000	0.00000	Girellidae	Girella	zebra		1	AD	Attracted			
PPH_01	10	PPH_178_177_178_01a.avi	2011	1.34067	Analysis	0.05800	870.05511	437.17084	0.00000	0.00000	Girellidae	Girella	zebra		1	AD	Attracted			
PPH_01	11	PPH_178_177_178_01a.avi	2011	1.34067	Analysis	0.05800	701.92284	459.49946	0.00000	0.00000	Girellidae	Girella	zebra		1	AD	Attracted			
