OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
PPB001	0	20220217_PPB_001_Rig7_7L (1).MP4	27347	20220217_PPB_001_Rig7_7R (1).MP4	27052	15.20797	Analysis	9.99443	283.04299	1.16874	3.54074	1235.64212	19.99521	5.41606	2.80825	303.27147	-294.18927	-1161.15914	Platycephalidae	Platycephalus	bassensis	37296003	1	AD	Passing			
PPB001	1	20220217_PPB_001_Rig7_7L (2).MP4	11448	20220217_PPB_001_Rig7_7R (2).MP4	11153	24.00064	Analysis	18.78710	143.82730	4.27775	1.15352	2798.81134	2.51664	11.25715	5.34512	117.78038	35.08360	-2796.11192	Tetraodontidae	Tetractenos	glaber	37467003	1	AD	Passing			
PPB001	2	20220217_PPB_001_Rig7_7L (2).MP4	11448	20220217_PPB_001_Rig7_7R (2).MP4	11153	24.00064	Analysis	18.78710	149.73025	2.09581	1.11207	1994.31208	7.61925	6.49424	9.91344	241.80128	-107.01613	-1976.70442	Tetraodontidae	Tetractenos	glaber	37467003	1	AD	Passing			
PPB001	3	20220217_PPB_001_Rig7_7L (3).MP4	1277	20220217_PPB_001_Rig7_7R (3).MP4	982	35.99540	Analysis	30.78186	638.58344	1.79786	0.97767	1631.95320	9.65187	5.72232	6.67611	-209.50931	-175.98636	-1608.85235	Trygonorrhinidae	Trygonorrhina	dumerilii	37027011	1	AD	Passing			
PPB001	4	20220217_PPB_001_Rig7_7L (3).MP4	1277	20220217_PPB_001_Rig7_7R (3).MP4	982	35.99540	Analysis	30.78186	371.92972	2.84720	15.83587	1396.88050	16.20620	39.44783	4.07887	313.75487	-231.40976	-1341.37337	Trygonorrhinidae	Trygonorrhina	dumerilii	37027011	1	AD	Passing			
PPB001	5	20220217_PPB_001_Rig7_7L (3).MP4	1277	20220217_PPB_001_Rig7_7R (3).MP4	982	35.99540	Analysis	30.78186	521.56083	2.75784	2.62013	1965.23206	11.93448	12.03635	5.47331	345.00869	-214.77153	-1922.75303	Trygonorrhinidae	Trygonorrhina	dumerilii	37027011	1	AD	Passing			
PPB001	6	20220217_PPB_001_Rig7_7L (3).MP4	1385	20220217_PPB_001_Rig7_7R (3).MP4	1090	36.05546	Analysis	30.84192	498.21249	2.96114	3.16531	2060.30367	9.49765	12.66826	7.40825	-264.44840	-213.64278	-2032.06177	Trygonorrhinidae	Trygonorrhina	dumerilii	37027011	1	AD	Passing			
PPB002	0	20220404_PPB002_Rig3_3L (1).MP4	6129	20220404_PPB002_Rig3_3R (1).MP4	6150	3.40841	Analysis	1.65332	480.15246	5.06501	4.82212	2338.15355	17.48129	21.31892	0.70923	-702.34685	-5.46886	-2230.16613	Latridae	Dactylophora	nigricans	37377005	1	AD	Passing			
PPB002	1	20220404_PPB002_Rig3_3L (1).MP4	28521	20220404_PPB002_Rig3_3R (1).MP4	28542	15.86085	Analysis	14.10576	292.71673	2.00558	1.07379	1636.45868	20.29933	3.41871	12.67140	-562.77105	74.85872	-1534.82310	Monacanthidae	Meuschenia	freycineti	37465036	1	AD	Passing			
PPB002	2	20220404_PPB002_Rig3_3L (2).MP4	976	20220404_PPB002_Rig3_3R (2).MP4	967	18.17705	Analysis	16.42196	203.26984	1.88017	2.12740	1645.43087	14.65663	3.52173	10.59610	403.94587	-100.81485	-1591.88782	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
PPB002	3	20220404_PPB002_Rig3_3L (2).MP4	1001	20220404_PPB002_Rig3_3R (2).MP4	992	18.19095	Analysis	16.43586	265.06763	2.76390	0.38998	1908.49930	10.94377	13.28543	6.60929	357.88634	56.50854	-1873.79127	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
PPB002	4	20220404_PPB002_Rig3_3L (2).MP4	5813	20220404_PPB002_Rig3_3R (2).MP4	5804	20.86696	Analysis	19.11187	265.14347	3.82566	1.96055	2184.51528	23.94073	14.60784	4.31566	-884.62041	57.04176	-1996.57206	Carangidae	Pseudocaranx	spp.		1	AD	Passing			
