CampaignID,Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,ReportID,Year,Site.type,Comments,Year
2022-02_PortPhillipBay,PPB001,-38.196919,144.71415,20220217,8:55:00,PPB,Fished,PPB,1,Scott Gray,Yes,Yes,2022PPB001,2022,VFA Seagrass,Y,2022
2022-02_PortPhillipBay,PPB002,-37.866336,144.875823,20220404,13:20:00,PPB,No-take,PPB,4.5,Scott Gray,Yes,Yes,2022PPB002,2022,RLS,Y,2022
2022-02_PortPhillipBay,PPB003,-38.359357,144.790212,20220215,15:24:00,PPB,Fished,PPB,1.1,Scott Gray,Yes,Yes,2022PPB003,2022,Tim Seagrass Sites,Y,2022
2022-02_PortPhillipBay,PPB004,-38.29667168,144.61299,20220409,13:22:00,PPB,Fished,PPB,6.07741,Scott Gray,Yes,Yes,2022PPB004,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB005,-38.29406433,144.59827,20220409,13:15:00,PPB,Fished,PPB,7.472,Scott Gray,Yes,Yes,2022PPB005,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB006,-38.29636099,144.60595,20220409,13:19:00,PPB,Fished,PPB,9.20427,Scott Gray,Yes,Yes,2022PPB006,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB007,-38.32010002,144.65013,20220304,11:01:00,PPB,No-take,PPB,13.3441,Darcy Cutter,Yes,Yes,2022PPB007,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB008,-38.32656179,144.67468,20220304,10:44:00,PPB,Fished,PPB,16.6091,Darcy Cutter,Yes,Yes,2022PPB008,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB009,-38.32521433,144.66387,20220304,10:47:00,PPB,Fished,PPB,16.088,Darcy Cutter,Yes,Yes,2022PPB009,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB010,-38.32011068,144.66498,20220304,10:54:00,PPB,Fished,PPB,11.4081,Darcy Cutter,Yes,Yes,2022PPB010,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB011,-38.32349749,144.65847,20220304,10:51:00,PPB,Fished,PPB,13.3162,Darcy Cutter,Yes,No,2022PPB011,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB012,-38.273679,144.775763,20220301,9:35:00,PPB,No-take,PPB,1.6,Scott Gray,Yes,Yes,2022PPB012,2022,Tim Seagrass Sites,Y,2022
2022-02_PortPhillipBay,PPB013,-38.043506,144.545736,20220217,12:54:00,PPB,Fished,PPB,2,Scott Gray,Yes,Yes,2022PPB013,2022,VFA Seagrass,Y,2022
2022-02_PortPhillipBay,PPB014,-37.868668,144.913185,20220404,13:41:00,PPB,Fished,PPB,1.25272,Scott Gray,Yes,Yes,2022PPB014,2022,RLS,Y,2022
