OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
PPB001	0	Analysis	20220217_PPB_001_Rig7_7L (1).MP4	9375	5.21354				0
PPB002	0	Analysis	20220404_PPB002_Rig3_3L (1).MP4	3156	1.75509				0
PPB003	0	Analysis	20220215_PPB_003_Rig6_6L (1).MP4	17740	9.86541				0
PPB004	0	Analysis	09042022_PPB004_Rig5_5L (1).MP4	4934	2.74385				0
PPB005	0	Analysis	09042022_PPB005_Rig7_7L (1).MP4	4605	2.56089				0
PPB006	0	Analysis	09042022_PPB006_Rig6_6L (1).MP4	5142	2.85952				0
PPB007	0	Analysis 	20220304_PPB007_Rig3_3L (1).MP4	3283	1.82571				0
PPB008	0	Analysis 	20220304_PPB008_Rig8_8L (1).MP4	4660	2.59148				0
PPB009	0	Analysis 	20220304_PPB009_Rig7_7L (1).MP4	5295	2.94461				0
PPB010	0	Analysis 	20220304_PPB010_Rig1_1L (1).MP4	4966	2.76165				0
PPB011	0	Analysis 	20220304_PPB011_Rig6_6R (1).MP4	5557	3.09031				0
PPB012	0	Analysis	20220301_PPB012_Rig3_3L (1).MP4	9235	5.13569				0
PPB013	0	Analysis	20220217_PPB_013_Rig4_4L (1).MP4	8671	4.82204				0
PPB014	0	Analysis	20220404_PPB014_Rig1_1L (1).MP4	9610	5.34423				0
PPB015	0	Analysis	20220215_PPB_015_Rig8_8L (1).MP4	10800	6.00600				0
PPB016	0	Analysis	20220217_PPB_016_Rig6_6L (1).MP4	4414	2.45467				0
PPB017	0	Analysis 	20220303_PPB017_Rig1_1L (1).MP4	3931	2.18607				0
PPB018	0	Analysis 	20220303_PPB018_Rig8_8L (1).MP4	3740	2.07986				0
PPB019	0	Analysis	20220217_PPB_019_Rig2_2L (1).MP4	9484	5.27416				0
PPB020	0	Analysis	20220217_PPB_020_Rig1_1L (1).MP4	28545	15.87419				0
PPB021	0	Analysis	20220404_PPB021_Rig2_2L (1).MP4	9544	5.30752				0
PPB022	0	Analysis	20220217_PPB_022_Rig6_6L (1).MP4	4890	2.71938				0
PPB023	0	Analysis	20220217_PPB_023_Rig8_8R (1).MP4	6046	3.36225				0
PPB024	0	Analysis	20220215_PPB_024_Rig3_3L (1).MP4	6765	3.76209				0
PPB025	0	Analysis	20220404_PPB025_Rig4_4L (1).MP4	4277	2.37849				0
PPB026	0	Analysis	20220405_PPB026_Rig2_2L (1).MP4	8501	4.72750				0
PPB027	0	Analysis	20220217_PPB_027_Rig5_5L (1).MP4	8098	4.50339				0
PPB028	0	Analysis	20220405_PPB028_Rig3_3L (1).MP4	10884	6.05271				0
PPB029	0	Analysis	20220215_PPB_029_Rig5_5L (1).MP4	10099	5.61617				0
PPB031	0	Analysis	20220216_PPB_031_Rig6_6L (1).MP4	5616	3.12312				0
PPB033	0	Analysis 	20220303_PPB033_Rig6_6L (1).MP4	4546	2.52808				0
PPB034	0	Analysis	20220302_PPB034_Rig4_4L (1).MP4	3318	1.84518				0
PPB035	0	Analysis	20220404_PPB035_Rig1_1L (1).MP4	4749	2.64097				0
PPB036	0	Analysis 	20220302_PPB036_Rig2_2L (1).MP4	12948	7.20053				0
PPB037	0	Analysis	20220405_PPB037_Rig1_1L (1).MP4	6301	3.50406				0
PPB038	0	Analysis	20220215_PPB_038_Rig7_7L (1).MP4	16069	8.93615				0
PPB039	0	Analysis	20220215_PPB_039_Rig6_6L (1).MP4	9813	5.45712				0
PPB040	0	Analysis	20220217_PPB_040_Rig3_3L (1).MP4	4395	2.44411				0
PPB041	0	Analysis	20220216_PPB_041_Rig8_8L (1).MP4	5448	3.02969				0
PPB042	0	Analysis	20220217_PPB_042_Rig7_7L (1).MP4	4126	2.29451				0
