OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
PPB001	1.09	2024 02 29 11:01:04	E:\Port_Phillip_Bay_BRUVS_1\20220217\BRUVS\	PPB001.EMObs
PPB002	1.09	2024 02 29 11:01:04	E:\Port_Phillip_Bay_BRUVS_3\20220404\BRUVS\	PPB002.EMObs
PPB003	1.09	2024 02 29 11:01:04	E:\Port_Phillip_Bay_BRUVS_1\20220215\BRUVS\	PPB003.EMObs
PPB004	1.09	2024 02 29 11:01:04	E:\Port_Phillip_Bay_BRUVS_3\20220409\BRUVS\	PPB004W.EMObs
PPB005	1.09	2024 02 29 11:01:04	E:\Port_Phillip_Bay_BRUVS_3\20220409\BRUVS\	PPB005W.EMObs
PPB006	1.09	2024 02 29 11:01:04	E:\Port_Phillip_Bay_BRUVS_3\20220409\BRUVS\	PPB006W.EMObs
PPB007	1.09	2024 02 29 11:01:04	G:\Port_Phillip_Bay_BRUVS_2\20220304\BRUVS\	PPB007.EMObs
PPB008	1.09	2024 02 29 11:01:04	E:\Port_Phillip_Bay_BRUVS_2\20220304\BRUVS\	PPB008W.EMObs
PPB009	1.09	2024 02 29 11:01:04	G:\Port_Phillip_Bay_BRUVS_2\20220304\BRUVS\	PPB009.EMObs
PPB010	1.09	2024 02 29 11:01:04	G:\Port_Phillip_Bay_BRUVS_2\20220304\BRUVS\	PPB010.EMObs
PPB011	1.09	2024 02 29 11:01:04	E:\Port_Phillip_Bay_BRUVS_2\20220304\BRUVS\	PPB011W.EMObs
PPB012	1.09	2024 02 29 11:01:04	E:\Port_Phillip_Bay_BRUVS_2\20220301\BRUVS\	PPB012.EMObs
PPB013	1.09	2024 02 29 11:01:04	E:\Port_Phillip_Bay_BRUVS_1\20220217\BRUVS\	PPB013.EMObs
PPB014	1.09	2024 02 29 11:01:04	E:\Port_Phillip_Bay_BRUVS_3\20220404\BRUVS\	PPB014.EMObs
PPB015	1.09	2024 02 29 11:01:04	E:\Port_Phillip_Bay_BRUVS_1\20220215\BRUVS\	PPB015W.EMObs
PPB016	1.09	2024 02 29 11:01:04	E:\Port_Phillip_Bay_BRUVS_1\20220217\BRUVS\	PPB016.EMObs
PPB017	1.09	2024 02 29 11:01:04	E:\Port_Phillip_Bay_BRUVS_2\20220303\BRUVS\	PPB017W.EMObs
PPB018	1.09	2024 02 29 11:01:04	E:\Port_Phillip_Bay_BRUVS_2\20220303\BRUVS\	PPB018W.EMObs
