OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
BE02	0	Start	L_GOPR0334.MP4	8471	4.71082				0
BIHPZ01	0	Start	L_GOPR0021.MP4	20169	11.21621				0
BIHPZ02	0	start	LGOPR0029.MP4	5090	2.83061				0
BIHPZ03	0	"start"	GOPR0061L.MP4	4921	2.73662				0
BIHPZ04	0	Start	GOPR0319.MP4	4409	2.45189				0
BIHPZ05	0	"START"	GOPR0022.MP4	3381	1.88021				0
BIHPZ06	0	"START"	GOPR0062.MP4	7570	4.20976				0
BIHPZ07	0	"start"	GOPR0030.MP4	9013	5.01223				0
BIHPZ09	0	"START"	GOPR0024.MP4	4702	2.61483				0
BISZ01	0	Start	L_GOPR0028.MP4	6741	3.74874				0
BISZ03	0	Start	L_GOPR0060.MP4	3697	2.05594				0
BISZ04	0	Start	GOPR0317.MP4	6256	3.47903				0
BISZ06	0	Start	L_GOPR0059.MP4	6310	3.50906				0
BISZ07	0	Start	L_GOPR0027.MP4	5875	3.26715				0
BISZ08	0	Start	L_GOPR0018 (1).MP4	7011	3.89890				0
BISZ09	0	Start	L_GOPR0019.MP4	11949	6.64497				0
BOO01	0	Timeseabed	BOO1Left (1).MP4	10559	5.87198	BOO1Left (3).MP4	845	35.87195	1
BOO02	0	Timeseabed	BOO2Left (1).MP4	5118	2.84618	BOO2Left (2).MP4	27234	32.84615	1
BOO03	0	Timeseabed	BOO3Left (2).MP4	707	18.09419	BOO3Left (3).MP4	22823	48.09416	1
BOO06	0	Timeseabed	BOO6Left (1).MP4	16473	9.16082	BOO6Left (3).MP4	6759	39.16079	1
BS01	0	START	GOPR0018.MP4	9998	5.56000				0
BS02	0	START	GOPR0309.MP4	19024	10.57946				0
BS03	0	START	GOPR0007.MP4	10741	5.97319				0
BS04	0	START	GOPR0049.MP4	9611	5.34478				0
CT01	0	Timeseabed	CT01Left (1).MP4	18643	10.36758				0
CT02	0	Timeseabed	CT02Left (1).MP4	7179	3.99232				0
CT03	0	Timeseabed	CT03Left (1).MP4	10794	6.00266				0
CT04	0	Timeseabed	CT04Left (1).MP4	8038	4.47002	CT04Left (2).MP4	30154	34.46999	1
CT05	0	Timeseabed	CT05Left (1).MP4	10151	5.64508	CT05Left (3).MP4	437	35.64505	1
CT06	0	Timeseabed	CT06Left (1).MP4	28389	15.78744	CT06Left (3).MP4	18675	45.78741	1
CT07	0	Timeseabed	CT07Left (1).MP4	14596	8.11700	CT07Left (3).MP4	4882	38.11697	1
CT08	0	START	GP020015.MP4	536	17.99909				0
EB01	0	"start"	GOPR0010.MP4	6205	3.45067				0
EB02	0	"START"	GOPR0312.MP4	21613	12.01923				0
EB03	0	"START"	GP010021.MP4	5767	3.20709				0
EB04	0	"START"	GP010053.MP4	21596	12.00978				0
EB05	0	Start	L_GOPR0052.MP4	31337	17.42685				0
EB06	0	START	GP030009.MP4	14793	8.22655				0
EB07	0	START	GP020311.MP4	29879	16.61604				0
EB08	0	START	GP020020.MP4	5997	3.33500				0
LI03	0	Timeseabed	LI03Left (1).MP4	23409	13.01800	LI03Left (3).MP4	13695	43.01797	1
LI05	0	Timeseabed	LI05Left (1).MP4	18445	10.25747				0
LI08	0	Timeseabed	LI08Left (1).MP4	7945	4.41830				0
LI09	0	Timeseabed	LI09Left (1).MP4	11476	6.38193				0
LS01	0	START	GOPR0008.MP4	31191	17.34566				0
LS02	0	START	GP010310.MP4	24830	13.80824				0
LS03	0	START	GP020019.MP4	17075	9.49560				0
LS04	0	START	GOPR0050.MP4	12833	7.13657				0
NR01	0	Start	L_GOPR0054.MP4	8736	4.85819				0
NR02	0	Start	LGOPR0022.MP4	5912	3.28773				0
NR03	0	Start	L_GOPR0313.MP4	6126	3.40674				0
NR04	0	Start	L_GOPR0012.MP4	5192	2.88733				0
NR05	0	Start	L_GOPR0013.MP4	6300	3.50350				0
NR06	0	Start	L_GOPR0314.MP4	19558	10.87642				0
NR07	0	Start	L_GP010023.MP4	1055	18.28771				0
NR08	0	start	L_GP010055.MP4	16409	9.12523				0
OG01	0	START	GOPR0056.MP4	10942	6.08497				0
OG02	0	START	GOPR0015.MP4	7899	4.39272				0
OG03	0	START	GOPR0058.MP4	8666	4.81926				0
OG04	0	START	GOPR0014.MP4	5856	3.25659				0
OG05	0	START	GOPR0026.MP4	6611	3.67645				0
OG06	0	START	GOPR0017.MP4	4975	2.76665				0
OG07	0	START	GP020057.MP4	582	18.02467				0
OG08	0	START	GP010025.MP4	13371	7.43576				0
PN01	0	start	GOPR0069_L.MP4	4506	2.50584				0
PN02	0	start	GOPR0029_L.MP4	5353	2.97686				0
PN03	0	start	GOPR0038_L.MP4	6832	3.79935				0
PN04	0	start	GOPR0329_L.MP4	6605	3.67311				0
PN05	0	start	GOPR0070_L.MP4	6840	3.80380				0
PN06	0	start	GOPR0030_L.MP4	6501	3.61528				0
PN07	0	start	GOPR0039_L.MP4	7397	4.11355				0
PN08	0	PN08	GOPR0330_L.MP4	6366	3.54020				0
SM01	0	start	GOPR0071_L.MP4	6502	3.61583				0
SM03	0	start	GOPR0040_L.MP4	13072	7.26948				0
SM04	0	start	GOPR0331_L.MP4	10976	6.10388				0
SM06	0	start	GOPR0032_L.MP4	5640	3.13647				0
