OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
BE01	1.09	2023 11 16 10:48:24	F:\BRUVs 2022\Balmona Reef\BE01\	BE01.EMObs
BE02	1.09	2023 11 16 10:48:24	F:\BRUVs 2022\Balmona Reef\BE02\	BE02.EMObs
BE03	1.09	2023 11 16 10:48:24	F:\BRUVs 2022\Balmona Reef\BE03\	BE03.EMObs
BE04	1.09	2023 11 16 10:48:24	D:\Balmona Reef\BE04\	BE04.EMObs
BH01	1.09	2023 11 16 10:48:24	D:\Black Head\BH01\	BH01.EMObs
BH02	1.09	2023 11 16 10:48:24	D:\Black Head\BH02\	BH02.EMObs
BH03	1.09	2023 11 16 10:48:24	D:\Black Head\BH03\	BH03.EMObs
BH04	1.09	2023 11 16 10:48:24	D:\Black Head\BH04\	BH04.EMObs
BH06	1.09	2023 11 16 10:48:24	D:\Black Head\BH06\	BH06.EMObs
BH07	1.09	2023 11 16 10:48:24	D:\Black Head\BH07\	BH07.EMObs
BH08	1.09	2023 11 16 10:48:24	D:\Black Head\BH08\	BH08.EMObs
BH09	1.09	2023 11 16 10:48:24	D:\Black Head\BH09\	BH09.EMObs
BIHPZ01	1.09	2023 11 16 10:48:24	F:\BRUVs 2022\Broughton\HPZ\BIHPZ01\	BIHPZ01.EMObs
BIHPZ02	1.09	2023 11 16 10:48:24	F:\BRUVs 2022\Broughton\HPZ\BIHPZ02\	BIHPZ02.EMObs
BIHPZ03	1.09	2023 11 16 10:48:24	F:\BRUVs 2022\Broughton\HPZ\BIHPZ03\	BIHPZ03.EMObs
BIHPZ04	1.09	2023 11 16 10:48:24	F:\BRUVs 2022\Broughton\HPZ\BIHPZ04\	BIHPZ04.EMObs
BIHPZ05	1.09	2023 11 16 10:48:24	F:\BRUVs 2022\Broughton\HPZ\BIHPZ05\	BIHPZ05.EMObs
BIHPZ06	1.09	2023 11 16 10:48:24	F:\BRUVs 2022\Broughton\HPZ\BIHPZ06\	BIHPZ06.EMObs
BIHPZ07	1.09	2023 11 16 10:48:24	F:\BRUVs 2022\Broughton\HPZ\BIHPZ07\	BIHPZ07.EMObs
BIHPZ09	1.09	2023 11 16 10:48:24	F:\BRUVs 2022\Broughton\HPZ\BIHPZ09\	BIHPZ09.EMObs
BISZ01	1.09	2023 11 16 10:48:24	E:\BRUVs 2022\Broughton\SZ\BISZ01\	BISZ01.EMObs
BISZ03	1.09	2023 11 16 10:48:24	E:\BRUVs 2022\Broughton\SZ\BISZ03\	BISZ03.EMObs
BISZ04	1.09	2023 11 16 10:48:24	N:\BRUVs 2022\Broughton\SZ\BISZ04\	BISZ04.EMObs
