Sample,Latitude,Longitude,Date,Time,Site,Location,Depth,Status,Successful.count,Successful.length,Observer
20_RB1,-17.97741667,122.0295667,20201009,13:49:00,Roebuck Bay,Roebuck Bay,21.2,Fished,Yes,Yes,Curtin
20_RB2,-17.9805,122.0514833,20201009,13:57:00,Roebuck Bay,Roebuck Bay,16.3,Fished,Yes,Yes,Curtin
20_RB3,-17.97841667,122.0649167,20201009,14:01:00,Roebuck Bay,Roebuck Bay,17,Fished,Yes,Yes,Curtin
20_RB4,-17.97838333,122.07515,20201009,14:05:00,Roebuck Bay,Roebuck Bay,16.3,Fished,Yes,Yes,Curtin
20_RB5,-17.98095,122.0838667,20201009,14:08:00,Roebuck Bay,Roebuck Bay,15.6,Fished,Yes,Yes,Curtin
20_RB6,-17.99343333,122.0794,20201009,14:15:00,Roebuck Bay,Roebuck Bay,15.5,Fished,Yes,Yes,Curtin
20_RB7,-17.9911,122.0651167,20201009,14:21:00,Roebuck Bay,Roebuck Bay,16.6,Fished,Yes,Yes,Curtin
20_RB8,-17.9926,122.0528667,20201009,14:27:00,Roebuck Bay,Roebuck Bay,16.7,Fished,Yes,Yes,Curtin
20_RB9,-17.9893,122.042,20201009,14:32:00,Roebuck Bay,Roebuck Bay,17.7,Fished,Yes,Yes,Curtin
20_RB10,-17.98341667,122.0399333,20201009,14:36:00,Roebuck Bay,Roebuck Bay,17.3,Fished,Yes,Yes,Curtin
20_RB193,-17.99875684,122.0236847,20201013,9:46:00,Roebuck Bay,Roebuck Bay,18,Fished,Yes,Yes,Curtin
20_RB58,-17.99306096,122.0317649,20201013,9:54:00,Roebuck Bay,Roebuck Bay,15.3,Fished,No,No,Curtin
20_RB13,-17.99840355,122.0396875,20201013,9:59:00,Roebuck Bay,Roebuck Bay,16.7,Fished,Yes,Yes,Curtin
20_RB109,-18.0056387,122.0537973,20201013,10:03:00,Roebuck Bay,Roebuck Bay,15.9,Fished,Yes,Yes,Curtin
20_RB61,-18.01161105,122.0575964,20201013,10:08:00,Roebuck Bay,Roebuck Bay,14.8,Fished,Yes,Yes,Curtin
20_RB141,-18.03612141,122.0945364,20201013,10:12:00,Roebuck Bay,Roebuck Bay,14.6,Fished,Yes,Yes,Curtin
20_RB149,-18.01418856,122.053669,20201013,10:17:00,Roebuck Bay,Roebuck Bay,15.2,Fished,Yes,Yes,Curtin
20_RB29,-18.02290679,122.0423675,20201013,10:23:00,Roebuck Bay,Roebuck Bay,14.8,Fished,Yes,Yes,Curtin
20_RB185,-18.01730381,122.0278939,20201013,10:29:00,Roebuck Bay,Roebuck Bay,12.7,Fished,Yes,Yes,Curtin
20_RB57,-18.00722198,122.0384204,20201013,10:34:00,Roebuck Bay,Roebuck Bay,15.1,Fished,Yes,Yes,Curtin
20_RB69,-18.02444696,122.0326645,20201013,12:04:00,Roebuck Bay,Roebuck Bay,14.6,Fished,No,No,Curtin
20_RB125,-18.03338562,122.0384702,20201013,12:07:00,Roebuck Bay,Roebuck Bay,13.5,Fished,Yes,Yes,Curtin
20_RB93,-18.033912,122.051975,20201013,12:12:00,Roebuck Bay,Roebuck Bay,12,Fished,Yes,Yes,Curtin
20_RB45,-18.02813689,122.0545237,20201013,12:16:00,Roebuck Bay,Roebuck Bay,12.3,Fished,Yes,Yes,Curtin
20_RB77,-18.03277856,122.0584524,20201013,12:19:00,Roebuck Bay,Roebuck Bay,11.9,Fished,Yes,Yes,Curtin
20_RB154,-18.05337617,122.0622396,20201013,12:25:00,Roebuck Bay,Roebuck Bay,10.9,Fished,Yes,Yes,Curtin
20_RB10A,-18.04952957,122.0580574,20201013,12:29:00,Roebuck Bay,Roebuck Bay,11,Fished,Yes,Yes,Curtin
20_RB190,-18.04609328,122.0474359,20201013,12:33:00,Roebuck Bay,Roebuck Bay,11.7,Fished,Yes,Yes,Curtin
20_RB38,-18.04620903,122.0416906,20201013,12:38:00,Roebuck Bay,Roebuck Bay,12.6,Fished,Yes,Yes,Curtin
20_RB86,-18.04705781,122.0287038,20201013,12:42:00,Roebuck Bay,Roebuck Bay,13.9,Fished,Yes,Yes,Curtin
20_RB018,-18.0591203,122.0668909,20201014,9:48:00,Roebuck Bay,Roebuck Bay,12.9,Fished,Yes,Yes,Curtin
20_RB98,-18.06335061,122.065692,20201014,9:52:00,Roebuck Bay,Roebuck Bay,13.4,Fished,Yes,Yes,Curtin
20_RB146,-18.06839769,122.06358,20201014,9:55:00,Roebuck Bay,Roebuck Bay,13.8,Fished,Yes,Yes,Curtin
20_RB54,-18.064146,122.053596,20201014,10:01:00,Roebuck Bay,Roebuck Bay,13.8,Fished,Yes,Yes,Curtin
20_RB102,-18.07147347,122.0466626,20201014,10:08:00,Roebuck Bay,Roebuck Bay,15.4,Fished,Yes,Yes,Curtin
20_RB22,-18.0697747,122.0419738,20201014,10:11:00,Roebuck Bay,Roebuck Bay,14.7,Fished,Yes,Yes,Curtin
20_RB118,-18.06887972,122.0265431,20201014,10:17:00,Roebuck Bay,Roebuck Bay,15.5,Fished,Yes,Yes,Curtin
20_RB74,-18.058129,122.0335664,20201014,10:24:00,Roebuck Bay,Roebuck Bay,15.9,Fished,Yes,No,Curtin
20_RB134,-18.05369016,122.0307536,20201014,10:30:00,Roebuck Bay,Roebuck Bay,15.9,Fished,Yes,Yes,Curtin
20_RB122,-18.05183301,122.0442578,20201014,10:35:00,Roebuck Bay,Roebuck Bay,14.7,Fished,Yes,No,Curtin
20_RB06A,-18.08175702,122.0681524,20201014,11:51:00,Roebuck Bay,Roebuck Bay,11.8,Fished,No,No,Curtin
20_RB04A,-18.09957764,122.063311,20201014,11:56:00,Roebuck Bay,Roebuck Bay,11.8,Fished,No,No,Curtin
20_RB132,-18.113573,122.052688,20201014,12:02:00,Roebuck Bay,Roebuck Bay,11.3,Fished,Yes,No,Curtin
20_RB36,-18.10609332,122.0400645,20201014,12:06:00,Roebuck Bay,Roebuck Bay,12.6,Fished,Yes,Yes,Curtin
20_RB95,-18.09851506,122.0357983,20201014,12:10:00,Roebuck Bay,Roebuck Bay,13.6,Fished,Yes,Yes,Curtin
20_RB66,-18.081095,122.026532,20201014,12:15:00,Roebuck Bay,Roebuck Bay,14.8,Fished,Yes,Yes,Curtin
20_RB151,-18.086517,122.032237,20201014,12:18:00,Roebuck Bay,Roebuck Bay,13.3,Fished,Yes,Yes,Curtin
20_RB111,-18.08855721,122.0388204,20201014,12:22:00,Roebuck Bay,Roebuck Bay,13.5,Fished,Yes,Yes,Curtin
20_RB200,-18.108728,122.103075,20201014,12:25:00,Roebuck Bay,Roebuck Bay,12.5,Fished,Yes,Yes,Curtin
20_RB199,-18.095845,122.053901,20201014,12:28:00,Roebuck Bay,Roebuck Bay,12.4,Fished,Yes,Yes,Curtin
20_RB63,-18.10157799,122.0231203,20201014,14:02:00,Roebuck Bay,Roebuck Bay,9.5,Fished,No,No,Curtin
20_RB84,-18.11261541,122.0242432,20201014,14:06:00,Roebuck Bay,Roebuck Bay,11.8,Fished,Yes,Yes,Curtin
20_RB68,-18.12635155,122.0241683,20201014,14:12:00,Roebuck Bay,Roebuck Bay,11.2,Fished,Yes,Yes,Curtin
20_RB08A,-18.13308929,122.0332821,20201014,14:16:00,Roebuck Bay,Roebuck Bay,10.8,Fished,Yes,Yes,Curtin
