OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
RIMP_20220228_GC1-1	0	0	822.35723	422.20302	831.68894	396.54428
RIMP_20220228_GC1-1	1	0	1203.79101	356.88985	1231.78615	341.72786
RIMP_20220228_GC1-1	2	0	1311.68317	387.32673	1346.13861	373.06931
RIMP_20220228_GC1-1	2	1	1485.14851	413.46535	1532.67327	408.71287
RIMP_20220228_GC1-1	3	0	1251.08911	342.17822	1286.73267	329.10891
RIMP_20220228_GC1-1	4	0	1300.60753	461.85745	1272.61239	456.02592
RIMP_20220228_GC1-1	5	0	1062.17822	407.52475	911.28713	381.38614
RIMP_20220228_GC1-1	5	1	1299.80198	456.23762	1146.53465	437.22772
RIMP_20220228_GC1-1	6	0	1189.30693	528.71287	987.32673	506.13861
RIMP_20220228_GC1-1	6	1	1411.48515	528.71287	1197.62376	514.45545
RIMP_20220228_GC1-1	7	0	1374.09478	470.0216	1084.81166	444.36285
RIMP_20220228_GC1-1	7	1	1648.21385	390.71274	1319.27096	372.05184
RIMP_20220228_GC1-1	8	0	553.66337	544.15842	338.61386	485.94059
RIMP_20220228_GC1-1	8	1	660.59406	548.91089	494.25743	500.19802
RIMP_20220228_GC1-1	9	0	241.18812	374.25743	133.06931	319.60396
RIMP_20220228_GC1-1	9	1	528.71287	420.59406	382.57426	367.12871
RIMP_20220228_GC1-1	10	0	299.40594	171.08911	142.57426	123.56436
RIMP_20220228_GC1-1	10	1	411.08911	241.18812	295.84158	196.0396
RIMP_20220228_GC1-1	11	0	1072.87129	398.0198	1028.91089	365.94059
RIMP_20220228_GC1-1	11	1	1214.25743	444.35644	1167.92079	426.53465
RIMP_20220228_GC1-1	12	0	1344.93317	665.96112	1237.61847	660.12959
RIMP_20220228_GC1-1	13	0	1397.22772	695.0495	1281.9802	695.0495
RIMP_20220228_GC1-1	13	1	1626.53465	753.26733	1499.40594	772.27723
RIMP_20220228_GC1-1	14	0	1062.17822	781.78218	843.56436	750.89109
RIMP_20220228_GC1-1	14	1	1336.63366	813.86139	1091.88119	810.29703
RIMP_20220228_GC1-1	15	0	716.43564	197.22772	213.86139	141.38614
RIMP_20220228_GC1-1	15	1	1318.81188	85.54455	724.75248	28.51485
RIMP_20220228_GC1-1	16	0	611.88119	278.0198	393.26733	237.62376
RIMP_20220228_GC1-1	16	1	1031.28713	373.06931	786.53465	336.23762
RIMP_20220228_GC1-1	17	0	949.30693	529.90099	736.63366	491.88119
RIMP_20220228_GC1-1	17	1	1308.11881	569.10891	1106.13861	559.60396
RIMP_20220228_GC1-1	18	0	364.75248	310.09901	47.52475	259.0099
RIMP_20220228_GC1-1	19	0	1460.19802	924.35644	551.28713	880.39604
RIMP_20220228_GC1-1	19	1	1609.90099	1006.33663	775.84158	988.51485
RIMP_20220228_GC1-1	20	0	600	382.57426	415.84158	337.42574
RIMP_20220228_GC1-1	20	1	759.20792	471.68317	558.41584	428.91089
RIMP_20220228_GC1-1	21	0	457.42574	796.0396	188.91089	721.18812
RIMP_20220228_GC1-1	21	1	583.36634	712.87129	313.66337	652.27723
RIMP_20220228_GC1-1	22	0	379.0099	528.71287	327.92079	471.68317
RIMP_20220228_GC1-1	22	1	436.0396	553.66337	368.31683	499.0099
RIMP_20220228_GC1-1	23	0	400.9234	791.86567	128.94019	707.23881
RIMP_20220228_GC1-1	23	1	566.12802	759.62687	286.08604	693.13433
RIMP_20220228_GC1-1	24	0	826.02308	400.97015	920.71354	372.76119
RIMP_20220228_GC1-1	25	0	556.0396	77.22772	143.76238	24.9505
RIMP_20220228_GC1-1	25	1	793.66337	272.07921	319.60396	228.11881
RIMP_20220228_GC1-1	26	0	1687.87363	573.82289	1588.72418	584.31965
RIMP_20220228_GC1-1	27	0	749.70297	64.15842	7.12871	40.39604
RIMP_20220228_GC1-1	28	0	943.36634	412.27723	720	375.44554
RIMP_20220228_GC1-1	28	1	1089.50495	376.63366	885.14851	342.17822
RIMP_20220228_GC1-1	29	0	1118.0198	514.45545	950.49505	490.69307
RIMP_20220228_GC1-1	29	1	1194.05941	488.31683	1051.48515	462.17822
RIMP_20220228_GC1-1	30	0	1088.31683	319.60396	1068.11881	298.21782
RIMP_20220228_GC1-1	30	1	1177.42574	287.52475	1158.41584	264.9505
RIMP_20220228_GC1-1	31	0	245.94059	274.45545	52.27723	213.86139
RIMP_20220228_GC1-1	32	0	702.17822	578.61386	468.11881	537.0297
RIMP_20220228_GC1-1	33	0	211.13001	178.44492	272.95261	157.4514
RIMP_20220228_GC1-2	0	0	1440.61935	146.14679	1357.62581	85.45872
RIMP_20220228_GC1-2	0	1	1531.04516	112.70642	1482.73548	45.82569
RIMP_20220228_GC1-2	1	0	1065.29032	201.88073	807.63871	184.54128
RIMP_20220228_GC1-2	1	1	1261.00645	18.57798	941.41935	3.7156
RIMP_20220228_GC1-2	2	0	1719.53548	270.94495	1280.46452	232.24771
RIMP_20220228_GC1-2	2	1	1726.12258	169.66055	1330.16774	107.25229
RIMP_20220228_GC1-2	3	0	576	200.6422	338.16774	210.55046
RIMP_20220228_GC1-2	3	1	693.67742	2.47706	509.10968	2.47706
RIMP_20220228_GC1-2	4	0	1451.76774	348.02752	442.21935	331.92661
RIMP_20220228_GC1-2	4	1	846.03871	112.70642	29.72903	122.61468
RIMP_20220228_GC1-2	5	0	548	158.98624	259.07742	178.97248
RIMP_20220228_GC1-2	5	1	653.70323	156.09633	374.69032	172.16055
RIMP_20220228_GC1-2	6	0	1865.49032	71.06881	1399.34839	1.03211
RIMP_20220228_GC1-2	6	1	1590.90968	109.87615	1177.4129	54.90826
RIMP_20220228_GC1-2	7	0	740.05161	74.93119	652.96129	85.45872
RIMP_20220228_GC1-2	7	1	909.34194	10.73394	794.79355	7.22477
RIMP_20220228_GC1-2	8	0	1317.14839	125.07339	1051.07742	89.79358
RIMP_20220228_GC1-2	8	1	1385.48387	89.77523	1082.87097	47.47706
