OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
RIMP_20220228_GC1-1	2	gc1-1_L18_287.MP4	14896	gc1-1_R17_287.MP4	10870	4.14192	Soak Time	0.52636	363.46279	9.56275	2.32405	3181.33972	18.53604	12.37429	10.16214	959.72559	318.99538	-3016.30422	Kyphosidae	Kyphosus	cornelii	37361012	1	AD	Passing			
RIMP_20220228_GC1-1	5	gc1-1_L18_287.MP4	25022	gc1-1_R17_287.MP4	20996	6.95751	Soak Time	3.34195	294.93581	2.05536	1.55116	1775.09764	7.58587	8.63651	11.7616	183.12927	146.20563	-1759.56222	Mullidae	Parupeneus	spilurus	37355015	1	AD	Passing			
RIMP_20220228_GC1-1	6	gc1-1_L18_287.MP4	25022	gc1-1_R17_287.MP4	20996	6.95751	Soak Time	3.34195	234.82329	2.86867	1.489	1567.3153	9.61797	21.31431	0.24827	260.69047	24.76153	-1545.28464	Mullidae	Parupeneus	spilurus	37355015	1	AD	Passing			
RIMP_20220228_GC1-1	7	gc1-1_L18_287.MP4	48613	gc1-1_R17_287.MP4	44587	13.51711	Soak Time	9.90156	234.00379	2.83942	3.12552	1281.31489	16.16795	38.35899	13.8549	341.09177	104.65873	-1230.63837	Carangidae	Pseudocaranx	spp		1	AD	Passing			
RIMP_20220228_GC1-1	8	gc1-1_L18_287.MP4	48862	gc1-1_R17_287.MP4	44836	13.58635	Soak Time	9.97079	221.97803	6.60394	5.12216	1649.92986	16.6958	68.76602	1.30041	-473.94632	7.69982	-1580.37468	Carangidae	Pseudocaranx	spp		1	AD	Passing			
RIMP_20220228_GC1-1	9	gc1-1_L18_287.MP4	49023	gc1-1_R17_287.MP4	44997	13.63112	Soak Time	10.01556	318.84795	3.51784	7.75751	1875.82916	23.92052	4.25405	8.40404	-739.83341	176.47769	-1714.71198	Carangidae	Pseudocaranx	spp		1	AD	Passing			
RIMP_20220228_GC1-1	10	gc1-1_L18_288.MP4	3707	gc1-1_R17_287.MP4	80803	23.58717	Soak Time	19.97162	219.07319	7.21877	7.67369	1856.45536	26.83438	77.29592	6.08557	-749.56961	374.74898	-1656.54312	Labridae	Notolabrus	parilus	37384022	1	AD	Passing			
RIMP_20220228_GC1-1	11	gc1-1_L18_288.MP4	3888	gc1-1_R17_287.MP4	80984	23.6375	Soak Time	20.02195	248.10234	3.88232	9.21783	2415.83134	8.36366	11.60669	20.37631	274.01204	219.99211	-2390.13847	Labridae	Notolabrus	parilus	37384022	1	AD	Passing			
RIMP_20220228_GC1-1	13	gc1-1_L18_288.MP4	23479	gc1-1_R17_288.MP4	19453	29.08489	Soak Time	25.46933	288.00233	6.0375	0.36451	1967.27415	20.18792	34.62402	12.11853	639.9748	-226.59823	-1846.41628	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
RIMP_20220228_GC1-1	14	gc1-1_L18_288.MP4	23479	gc1-1_R17_288.MP4	19453	29.08489	Soak Time	25.46933	290.81852	2.75353	2.87313	1550.92286	11.03721	22.0906	4.8357	142.15757	-260.67603	-1522.23551	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
