Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Successful.count,Successful.length,Observer,Observer.length
RIMP_20220228_WS1-1,-32.0174624,115.442454,20220228,10:16:45,Rottnest,No-Take,WS,15,Yes,No,Chris Douglas,Chris Douglas
RIMP_20220228_WS1-2,-32.02041133,115.4428062,20220228,10:24:34,Rottnest,No-Take,WS,15,Yes,Yes,Chris Douglas,Chris Douglas
RIMP_20220228_WS1-3,-32.01986917,115.4463847,20220228,10:34:06,Rottnest,No-Take,WS,10,No,No,Chris Douglas,Chris Douglas
RIMP_20220228_WS1-4,-32.02285398,115.443471,20220228,10:39:55,Rottnest,No-Take,WS,12.5,Yes,Yes,Chris Douglas,Chris Douglas
RIMP_20220228_WS2-1,-32.0300364,115.4544021,20220228,10:52:07,Rottnest,No-Take,WS,6,Yes,Yes,Chris Douglas,Chris Douglas
RIMP_20220228_WS2-2,-32.03196503,115.4527722,20220228,10:55:43,Rottnest,No-Take,WS,15,Yes,Yes,Chris Douglas,Chris Douglas
RIMP_20220228_WS2-3,-32.02834682,115.4505721,20220228,11:02:48,Rottnest,No-Take,WS,12,Yes,Yes,Chris Douglas,Chris Douglas
RIMP_20220228_WS2-4,-32.02921175,115.4476542,20220228,11:26:34,Rottnest,No-Take,WS,10,Yes,Yes,Chris Douglas,Chris Douglas
RIMP_20220228_WC1-1,-32.02964068,115.4591689,20220228,12:32:10,Rottnest,Fished,WC,12,Yes,Yes,Chris Douglas,Chris Douglas
RIMP_20220228_WC1-2,-32.02866557,115.4620503,20220228,12:35:42,Rottnest,Fished,WC,15,Yes,Yes,Chris Douglas,Chris Douglas
RIMP_20220228_WC1-3,-32.02904658,115.4654369,20220228,12:40:05,Rottnest,Fished,WC,15,Yes,Yes,Chris Douglas,Tania Matthews
RIMP_20220228_WC1-4,-32.02563723,115.4640651,20220228,12:46:30,Rottnest,Fished,WC,5,No,No,Chris Douglas,Chris Douglas
RIMP_20220228_WC2-1,-32.02471185,115.4747875,20220228,12:53:19,Rottnest,Fished,WC,8,Yes,Yes,Chris Douglas,Chris Douglas
RIMP_20220228_WC2-3,-32.02017367,115.4753262,20220228,13:00:30,Rottnest,Fished,WC,5,No,No,Chris Douglas,Chris Douglas
RIMP_20220228_WC2-4,-32.02477242,115.4727287,20220228,13:05:50,Rottnest,Fished,WC,8,Yes,No,Chris Douglas,Chris Douglas
