OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
RIMP_20220228_GC1-1	1.09	2023 02 27 10:51:03	E:\	RIMP_20220228_GC1-1.EMObs
RIMP_20220228_GC1-2	1.09	2023 02 27 10:51:03	E:\	RIMP_20220228_GC1-2.EMObs
RIMP_20220228_GC1-3	1.09	2023 02 27 10:51:03	E:\	RIMP_20220228_GC1-3.EMObs
RIMP_20220228_GC1-4	1.09	2023 02 27 10:51:03	F:\	RIMP_20220228_GC1-4.EMObs
RIMP_20220228_GS1-1	1.09	2023 02 27 10:51:03	E:\	RIMP_20220228_GS1-1.EMObs
RIMP_20220228_GS1-2	1.09	2023 02 27 10:51:03	E:\	RIMP_20220228_GS1-2.EMObs
RIMP_20220228_GS1-3	1.09	2023 02 27 10:51:03	E:\	RIMP_20220228_GS1-3.EMObs
RIMP_20220228_GS1-4	1.09	2023 02 27 10:51:03	F:\	RIMP_20220228_GS1-4.EMObs
RIMP_20220228_WC1-1	1.09	2023 02 27 10:51:03	F:\	RIMP_20220228_WC1-1.EMObs
RIMP_20220228_WC1-2	1.09	2023 02 27 10:51:03	E:\	RIMP_20220228_WC1-2.EMObs
RIMP_20220228_WC1-3	1.09	2023 02 27 10:51:03	E:\	RIMP_20220228_WC1-3.EMObs
RIMP_20220228_WC2-1	1.09	2023 02 27 10:51:03	E:\	RIMP_20220228_WC2-1.EMObs
RIMP_20220228_WC2-4	1.09	2023 02 27 10:51:03	E:\	RIMP_20220228_WC2-4.EMObs
RIMP_20220228_WC2-5	1.09	2023 02 27 10:51:03	E:\	RIMP_20220228_WC2-5.EMObs
RIMP_20220228_WS1-1	1.09	2023 02 27 10:51:03	E:\	RIMP_20220228_WS1-1.EMObs
RIMP_20220228_WS1-2	1.09	2023 02 27 10:51:03	F:\	RIMP_20220228_WS1-2.EMObs
RIMP_20220228_WS1-3	1.09	2023 02 27 10:51:03	E:\	RIMP_20220228_WS1-3.EMObs
RIMP_20220228_WS1-4	1.09	2023 02 27 10:51:03	F:\	RIMP_20220228_WS1-4.EMObs
RIMP_20220228_WS2-1	1.09	2023 02 27 10:51:03	F:\	RIMP_20220228_WS2-1.EMObs
RIMP_20220228_WS2-2	1.09	2023 02 27 10:51:03	F:\	RIMP_20220228_WS2-2.EMObs
RIMP_20220228_WS2-3	1.09	2023 02 27 10:51:03	E:\	RIMP_20220228_WS2-3.EMObs
RIMP_20220228_WS2-4	1.09	2023 02 27 10:51:03	E:\	RIMP_20220228_WS2-4.EMObs
RIMP_20220301_AC1-1	1.09	2023 02 27 10:51:03	G:\	RIMP_20220301_AC1-1.EMObs
RIMP_20220301_AC1-2	1.09	2023 02 27 10:51:03	G:\	RIMP_20220301_AC1-2.EMObs
RIMP_20220301_AC1-3	1.09	2023 02 27 10:51:03	G:\	RIMP_20220301_AC1-3.EMObs
RIMP_20220301_AC2-1	1.09	2023 02 27 10:51:03	G:\	RIMP_20220301_AC2-1.EMObs
RIMP_20220301_AC2-3	1.09	2023 02 27 10:51:03	E:\	RIMP_20220301_AC2-3.EMObs
RIMP_20220301_AC2-4	1.09	2023 02 27 10:51:03	E:\	RIMP_20220301_AC2-4.EMObs
RIMP_20220301_AC3-1	1.09	2023 02 27 10:51:03	E:\	RIMP_20220301_AC3-1.EMObs
RIMP_20220301_AC3-2	1.09	2023 02 27 10:51:03	E:\	RIMP_20220301_AC3-2.EMObs
RIMP_20220301_AC3-3	1.09	2023 02 27 10:51:03	E:\	RIMP_20220301_AC3-3.EMObs
RIMP_20220301_AC3-4	1.09	2023 02 27 10:51:03	E:\	RIMP_20220301_AC3-4.EMObs
RIMP_20220301_AC4-1	1.09	2023 02 27 10:51:03	E:\	RIMP_20220301_AC4-1.EMObs
