Sample,Family,Genus,Species,Count,Code,Filename,Frame,Time (mins),TapeReader,Depth,Comment,Habitat,Soak Time,Bias,FOV,Vis,Has fed
ARCO01_1512,Heterodontidae,Heterodontus,portusjacksoni,1,37007001,AROC01_1512_L.avi,100353,33.451,JHicks,16.6,,Reef; Sand; Transition,60,2,1,1,No
ARCO01_1512,Monacanthidae,Meuschenia,galii,1,37465040,AROC01_1512_L.avi,157106,52.3687,JHicks,16.6,,Reef; Sand; Transition,60,2,1,1,No
ARCO01_1512,Sparidae,Pagrus,auratus,20,37353001,AROC01_1512_L.avi,13542,4.514,JHicks,16.6,,Reef; Sand; Transition,60,2,1,1,No
ARCO01_1512,Carangidae,Pseudocaranx,sp,8,37337924,AROC01_1512_L.avi,86322,28.774,JHicks,16.6,,Reef; Sand; Transition,60,2,1,1,No
ARCO01_1512,Odacidae,Siphonognathus,caninis,1,37385011,AROC01_1512_L.avi,12613,4.2043,JHicks,16.6,,Reef; Sand; Transition,60,2,1,1,No
ARCO01_1512,Monacanthidae,Thamnaconus,degeni,15,37465037,AROC01_1512_L.avi,173560,57.8533,JHicks,16.6,,Reef; Sand; Transition,60,2,1,1,No
ARCO01_1512,Mullidae,Upeneichthys,vlamingii,4,37355029,AROC01_1512_L.avi,26784,8.928,JHicks,16.6,,Reef; Sand; Transition,60,2,1,1,No
ARCO01_1512,Labridae,Austrolabrus,maculatus,3,37384025,AROC01_1512_L.avi,38044,12.6813,JHicks,16.6,,Reef; Sand; Transition,60,2,1,1,No
ARCO02_1512,Sparidae,Pagrus,auratus,8,37353001,AROC02_1512_L.avi,107902,35.9673,JHicks,16,,Halophila; medium,60,2,1,1,No
ARCO02_1512,Monacanthidae,Thamnaconus,degeni,7,37465037,AROC02_1512_L.avi,121927,40.6423,JHicks,16,,Halophila; medium,60,2,1,1,No
ARCO02_1512,Pinguipedidae,Parapercis,ramsayi,1,37390002,AROC02_1512_L.avi,24962,8.3207,JHicks,16,,Halophila; medium,60,2,1,1,No
ARCO02_1512,Carangidae,Pseudocaranx,sp,15,37337924,AROC02_1512_L.avi,31814,10.6047,JHicks,16,,Halophila; medium,60,2,1,1,No
