Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,SiteName,Waypoint,BruvType,Zone_ID,UTMzone,Easting,Northing,FieldLead,FieldTeam,MonType,Bottom Temp
CCCI01_1503,-36.07785,136.74165,20150327,13:26:00,Cape du Couedic,No-take,CCCI01,30,DColella,Yes,Yes,Cape du Couedic C,90,Stereo,77,53,656824,6006013,DColella,BST,MPA,
CCCI04_1503,-36.07792,136.72516,20150327,13:37:00,Cape du Couedic,No-take,CCCI04,27,DColella,Yes,Yes,Cape du Couedic C,93,Stereo,77,53,655339,6006032,DColella,BST,MPA,
CCEI01_1503,-36.0866,136.7573,20150327,10:04:00,Cape du Couedic,No-take,CCEI01,30,DColella,Yes,Yes,Cape du Couedic B,100,Stereo,77,53,658216,6005017,DColella,BST,MPA,
CCEI02_1503,-36.08449,136.75765,20150327,10:06:00,Cape du Couedic,No-take,CCEI02,26,DColella,Yes,Yes,Cape du Couedic B,87,Stereo,77,53,658251,6005250,DColella,BST,MPA,
CCEI03_1503,-36.08253,136.75726,20150327,10:07:00,Cape du Couedic,No-take,CCEI03,23,DColella,Yes,Yes,Cape du Couedic B,88,Stereo,77,53,658220,6005468,DColella,BST,MPA,
CCNI01_1503,-36.06024,136.72002,20150327,9:27:00,Cape du Couedic,No-take,CCNI01,19,DColella,Yes,Yes,Cape du Couedic A,84,Stereo,77,53,654911,6008001,DColella,BST,MPA,
CCNI03_1503,-36.05718,136.72335,20150327,9:30:00,Cape du Couedic,No-take,CCNI03,17,DColella,Yes,Yes,Cape du Couedic A,86,Stereo,77,53,655216,6008335,DColella,BST,MPA,
CCNI04_1503,-36.0555,136.7251,20150327,9:31:00,Cape du Couedic,No-take,CCNI04,18,DColella,Yes,Yes,Cape du Couedic A,101,Stereo,77,53,655377,6008519,DColella,BST,MPA,
CCSI01_1503,-36.08212,136.71523,20150327,13:50:00,Cape du Couedic,No-take,CCSI01,30,DColella,Yes,Yes,Cape du Couedic D,94,Stereo,77,53,654436,6005582,DColella,BST,MPA,
CCSI02_1503,-36.08264,136.71852,20150327,13:52:00,Cape du Couedic,No-take,CCSI02,31,DColella,Yes,Yes,Cape du Couedic D,95,Stereo,77,53,654732,6005519,DColella,BST,MPA,
