Sample,Family,Genus,Species,Count,Length,Code,Filename,Frame,Time (mins),Precision (mm),RMS (mm),Range (mm),Direction (deg),Comment,Stage,Activity
BSCI01_1803,Gerreidae,Parequula,melbournensis,1,130.92,37349001,BSCI01_L.avi,39917,11.0991,2.036,2.801,1388.834,18.3,NA,AD,Passing
BSCI01_1803,Gerreidae,Parequula,melbournensis,1,105.535,37349001,BSCI01_L.avi,39999,11.1219,1.522,2.324,1483.258,21.727,NA,AD,Passing
BSCI01_1803,Monacanthidae,unknown,sp,1,79.646,37465903,BSCI01_L.avi,64692,17.9879,0.844,1.756,1003.307,8.947,NA,AD,Passing
BSCI01_1803,Sphyraenidae,Sphyraena,novaehollandiae,1,632.548,37382002,BSCI01_L.avi,146217,40.6564,6.188,6.994,2610.542,26.333,NA,AD,Passing
BSCI01_1803,Arripidae,Arripis,georgianus,1,118.125,37344001,BSCI01_L.avi,153503,42.6823,1.045,1.733,1436.908,19.647,NA,AD,Passing
BSCI01_1803,Arripidae,Arripis,georgianus,1,110.204,37344001,BSCI01_L.avi,153503,42.6823,1.753,3.353,1541.733,13.953,NA,AD,Passing
BSCI01_1803,Arripidae,Arripis,georgianus,1,158.988,37344001,BSCI01_L.avi,153503,42.6823,2.502,3.883,1557.819,15.549,NA,AD,Passing
BSCI01_1803,Arripidae,Arripis,georgianus,1,183.559,37344001,BSCI01_L.avi,153503,42.6823,3.07,9.689,2046.307,26.394,NA,AD,Passing
BSCI01_1803,Terapontidae,Pelates,octolineatus,1,177.177,37321020,BSCI01_L.avi,167196,46.4897,1.922,2.191,1352.61,20.139,NA,AD,Passing
BSCI01_1803,Terapontidae,Pelates,octolineatus,1,128.33,37321020,BSCI01_L.avi,167401,46.5467,0.823,6.228,1058.299,4.626,NA,AD,Passing
BSCI01_1803,Terapontidae,Pelates,octolineatus,1,181.37,37321020,BSCI01_L.avi,167401,46.5467,1.874,3.189,1616.867,24.214,NA,AD,Passing
BSCI02_1803,Monacanthidae,Acanthaluteres,vittiger,1,118.467,37465002,BSCI02_L.avi,127718,35.5126,1.363,7.791,1376.553,15.408,NA,AD,Passing
BSCI02_1803,Monacanthidae,Acanthaluteres,vittiger,1,144.144,37465002,BSCI02_L.avi,127718,35.5126,1.181,7.613,1444.481,18.07,NA,AD,Passing
BSCI02_1803,Monacanthidae,Acanthaluteres,vittiger,1,147.947,37465002,BSCI02_L.avi,127718,35.5126,0.966,1.061,1215.152,22.727,NA,AD,Passing
BSCI02_1803,Monacanthidae,Acanthaluteres,vittiger,1,128.024,37465002,BSCI02_L.avi,127728,35.5154,1.649,2.464,1606.631,18.829,NA,AD,Passing
BSCI02_1803,Monacanthidae,Acanthaluteres,vittiger,1,144.421,37465002,BSCI02_L.avi,127791,35.5329,1.474,4.954,1178.053,25.48,NA,AD,Passing
BSCI02_1803,Monacanthidae,Acanthaluteres,vittiger,1,163.739,37465002,BSCI02_L.avi,127887,35.5596,1.526,2.878,1315.284,23.441,NA,AD,Passing
BSCI02_1803,Monacanthidae,Acanthaluteres,vittiger,1,133.297,37465002,BSCI02_L.avi,127887,35.5596,1.737,3.057,1393.991,19.031,NA,AD,Passing
BSCI02_1803,Monacanthidae,Acanthaluteres,vittiger,1,148.618,37465002,BSCI02_L.avi,127922,35.5694,2.549,4.028,1881.375,13.334,NA,AD,Passing
BSCI02_1803,Monacanthidae,Acanthaluteres,vittiger,1,133.497,37465002,BSCI02_L.avi,127969,35.5824,1.332,6.546,1385.528,12.366,NA,AD,Passing
