Sample,Family,Genus,Species,Count,Length,Code,Filename,Frame,Time (mins),Precision (mm),RMS (mm),Range (mm),Direction (deg),Comment,Stage,Activity,Length_Comment
PEEI01_1811,Scorpididae,Tilodon,sexfasciatus,1,229.737,37361003,PEEI01_L.avi,5851,3.9007,2.555,2.195,1545.48,29.811,,AD,Passing,
PEEI01_1811,Labridae,Notolabrus,parilus,1,310.44,37384022,PEEI01_L.avi,7140,4.76,5.339,3.811,2063.804,26.608,,AD,Passing,
PEEI01_1811,Monacanthidae,Meuschenia,flavolineata,1,259.295,37465035,PEEI01_L.avi,13923,9.282,8.044,1.643,3549.932,3.002,,AD,Passing,
PEEI01_1811,Monacanthidae,Meuschenia,hippocrepis,1,226.612,37465004,PEEI01_L.avi,15251,10.1673,1.155,2.59,1416.111,8.689,,AD,Passing,
PEEI01_1811,Monacanthidae,Meuschenia,hippocrepis,1,336.352,37465004,PEEI01_L.avi,15273,10.182,3.316,3.706,1742.688,1.185,,AD,Passing,
PEEI01_1811,Monacanthidae,Meuschenia,hippocrepis,1,287.334,37465004,PEEI01_L.avi,15360,10.24,0.697,0.954,868.605,13.922,,AD,Passing,
PEEI01_1811,Monacanthidae,Meuschenia,hippocrepis,1,389.353,37465004,PEEI01_L.avi,15360,10.24,1.755,7.288,1374.792,15.535,,AD,Passing,
PEEI01_1811,Monacanthidae,Meuschenia,hippocrepis,1,345.979,37465004,PEEI01_L.avi,15360,10.24,0.509,5.045,582.051,6.131,,AD,Passing,
PEEI01_1811,Cheilodactylidae,Cheilodactylus,nigripes,1,321.271,37377001,PEEI01_L.avi,16563,11.042,9.81,0.587,2302.552,24.77,,AD,Passing,
PEEI01_1811,Labridae,Notolabrus,tetricus,1,235.522,37384003,PEEI01_L.avi,16810,11.2067,2.14,1.053,1615.877,19.376,,AD,Passing,
PEEI01_1811,Labridae,Notolabrus,tetricus,1,233.032,37384003,PEEI01_L.avi,16810,11.2067,2.047,3.03,1473.525,25.227,,AD,Passing,
PEEI01_1811,Labridae,Notolabrus,tetricus,1,187.506,37384003,PEEI01_L.avi,16810,11.2067,4.688,2.453,1767.452,7.733,,AD,Passing,
PEEI01_1811,Labridae,Notolabrus,parilus,1,393.83,37384022,PEEI01_L.avi,18135,12.09,4.01,3.518,1884.244,25.793,,AD,Passing,
PEEI01_1811,Labridae,Pictilabrus,laticlavius,1,240.608,37384020,PEEI01_L.avi,18465,12.31,5.206,16.238,2810.493,21.765,,AD,Passing,
PEEI01_1811,Monacanthidae,Meuschenia,freycineti,1,296.444,37465036,PEEI01_L.avi,24029,16.0193,1.125,4.795,942.513,14.913,,AD,Passing,
PEEI01_1811,Cheilodactylidae,Nemadactylus,valenciennesi,1,749.375,37377004,PEEI01_L.avi,24034,16.0227,9.707,1.38,2237.789,23.782,,AD,Passing,
PEEI01_1811,Labridae,Achoerodus,gouldii,1,533.195,37384002,PEEI01_L.avi,26430,17.62,3.756,2.476,1507.067,24.475,,AD,Passing,
PEEI01_1811,Aulopidae,Latropiscis,purpurissatus,1,371.297,37117001,PEEI01_L.avi,30882,20.588,3.176,3.397,1429.516,24.028,,AD,Passing,
PEEI01_1811,Mullidae,Upeneichthys,vlamingii,1,234.868,37355029,PEEI01_L.avi,31698,21.132,5.143,3.299,1826.898,30.368,,AD,Passing,
PEEI01_1811,Carangidae,Pseudocaranx,sp,1,450.001,37337924,PEEI01_L.avi,33732,22.488,4.161,1.176,1867.536,21.632,,AD,Passing,
PEEI01_1811,Carangidae,Pseudocaranx,sp,1,444.583,37337924,PEEI01_L.avi,33738,22.492,3.615,4.007,1391.61,24.877,,AD,Passing,
PEEI01_1811,Mullidae,Upeneichthys,vlamingii,1,184.725,37355029,PEEI01_L.avi,53355,35.57,13.077,2.394,3240.619,6.921,,AD,Passing,
PEEI01_1811,Monacanthidae,Meuschenia,galii,1,248.681,37465040,PEEI01_L.avi,61849,41.2327,2.1,2.226,1350.016,18.88,,AD,Passing,
PEEI01_1811,Monacanthidae,Meuschenia,galii,1,260.788,37465040,PEEI01_L.avi,61878,41.252,6.25,5.176,2170.303,23.914,,AD,Passing,
PEEI01_1811,Myliobatidae,Myliobatis,tenuicaudatus,1,983.933,37039001,PEEI01_L.avi,86179,57.4527,17.714,20.672,4936.367,10.346,,AD,Passing,
PEEI01_1811,Sillaginidae,Sillaginodes,punctatus,1,495.168,37330001,PEEI01_L.avi,87922,58.6147,8.622,1.491,2153.633,27.78,,AD,Passing,
PEEI02_1811,Labridae,Austrolabrus,maculatus,1,126.689,37384025,PEEI02_L.avi,15087,10.058,1.74,7.069,1377.386,30.188,,AD,Passing,
PEEI02_1811,Monacanthidae,Acanthaluteres,vittiger,1,220.011,37465002,PEEI02_L.avi,15421,10.2807,0.88,15.441,1208.138,5.052,,AD,Passing,
PEEI02_1811,Monacanthidae,Meuschenia,galii,1,288.563,37465040,PEEI02_L.avi,18033,12.022,7.342,15.838,2033.342,25.125,,AD,Passing,
PEEI02_1811,Labridae,Notolabrus,parilus,1,264.973,37384022,PEEI02_L.avi,22004,14.6693,1.17,0.877,1446.432,15.93,,AD,Passing,
PEEI02_1811,Labridae,Notolabrus,parilus,1,278.383,37384022,PEEI02_L.avi,22004,14.6693,2.412,8.737,1693.132,15.198,,AD,Passing,
PEEI02_1811,Monacanthidae,Meuschenia,flavolineata,1,220.271,37465035,PEEI02_L.avi,33676,22.4507,11.041,14.526,2573.905,28.194,,AD,Passing,
PEEI02_1811,Carangidae,Pseudocaranx,sp,1,301.784,37337924,PEEI02_L.avi,35745,23.83,3.764,7.469,1574.122,25.1,,AD,Passing,
PEEI02_1811,Carangidae,Pseudocaranx,sp,1,306.664,37337924,PEEI02_L.avi,35745,23.83,3.061,17.586,1852.086,25.879,,AD,Passing,
PEEI02_1811,Kyphosidae,Girella,zebra,1,404.611,37361008,PEEI02_L.avi,38358,25.572,15.404,20.797,5417.42,12.704,,AD,Passing,
PEEI02_1811,Labridae,Pictilabrus,laticlavius,1,225.774,37384020,PEEI02_L.avi,39352,26.2347,7.521,12.717,2781.432,26.169,,AD,Passing,
PEEI02_1811,Serranidae,Caesioperca,rasor,1,113.185,37311003,PEEI02_L.avi,40055,26.7033,7.582,15.817,2249.606,26.975,,AD,Passing,
PEEI02_1811,Serranidae,Caesioperca,rasor,1,127.252,37311003,PEEI02_L.avi,40055,26.7033,3.959,10.349,1925.654,22.698,,AD,Passing,
PEEI02_1811,Serranidae,Caesioperca,rasor,1,109.524,37311003,PEEI02_L.avi,40055,26.7033,3.421,16.517,1949.352,26.828,,AD,Passing,
PEEI02_1811,Monacanthidae,Meuschenia,hippocrepis,1,334.825,37465004,PEEI02_L.avi,40546,27.0307,4.272,3.783,2431.841,20.276,,AD,Passing,
PEEI02_1811,Monacanthidae,Meuschenia,hippocrepis,1,338.344,37465004,PEEI02_L.avi,40552,27.0347,0.789,14.715,928.258,6.28,,AD,Passing,
PEEI02_1811,Monacanthidae,Meuschenia,hippocrepis,1,365.361,37465004,PEEI02_L.avi,40561,27.0407,3.68,3.705,1999.104,18.391,,AD,Passing,
PEEI02_1811,Mullidae,Upeneichthys,vlamingii,1,245.927,37355029,PEEI02_L.avi,47986,31.9907,1.946,2.296,2240.881,4.996,,AD,Passing,
PEEI02_1811,Tetraodontidae,Omegophora,cyanopunctata,1,201.313,37467048,PEEI02_L.avi,57324,38.216,9.506,11.684,2374.25,31.113,,AD,Passing,
PEEI02_1811,Carangidae,Seriola,hippos,1,879.556,37337007,PEEI02_L.avi,78733,52.4887,9.182,36.414,3928.525,12.484,,J,Passing,
PEEI02_1811,Labridae,Notolabrus,tetricus,1,298.367,37384003,PEEI02_L.avi,84513,56.342,4.706,46.473,1872.452,10.095,,AD,Passing,
PEEI02_1811,Labridae,Notolabrus,tetricus,1,301.535,37384003,PEEI02_L.avi,84513,56.342,1.825,22.235,2047.663,9.026,,AD,Passing,
PEEI02_1811,Labridae,Notolabrus,tetricus,1,298.607,37384003,PEEI02_L.avi,84523,56.3487,1.752,41.992,1206.879,16.616,,AD,Passing,
PEEI02_1811,Berycidae,Centroberyx,lineatus,1,189.741,37258005,PEEI02_L.avi,88834,59.2227,2.126,8.855,2367.282,6.327,,AD,Passing,
PEEI02_1811,Berycidae,Centroberyx,lineatus,1,192.324,37258005,PEEI02_L.avi,88834,59.2227,1.893,4.404,2237.309,4.085,,AD,Passing,
PEEI02_1811,Berycidae,Centroberyx,lineatus,1,226.702,37258005,PEEI02_L.avi,88834,59.2227,12.092,14.026,2454.971,12.874,,AD,Passing,
PEEI02_1811,Berycidae,Centroberyx,lineatus,1,174.711,37258005,PEEI02_L.avi,88834,59.2227,11.652,19.87,2599.504,29.503,,AD,Passing,
PEEI02_1811,Berycidae,Centroberyx,lineatus,1,122.407,37258005,PEEI02_L.avi,88834,59.2227,4.694,12.991,2279.313,25.357,,AD,Passing,
PEEI02_1811,Cheilodactylidae,Nemadactylus,valenciennesi,1,287.381,37377004,PEEI02_L.avi,89958,59.972,1.29,5.996,1433.245,18.518,,AD,Passing,
PEEI03_1811,Mullidae,Upeneichthys,vlamingii,1,181.369,37355029,PEEI03_L.avi,8372,5.5813,4.65,4.801,2201.046,28.201,,AD,Passing,
PEEI03_1811,Mullidae,Upeneichthys,vlamingii,1,234.96,37355029,PEEI03_L.avi,8372,5.5813,9.907,7.291,2973.048,1.981,,AD,Passing,
PEEI03_1811,Mullidae,Upeneichthys,vlamingii,1,195.033,37355029,PEEI03_L.avi,8372,5.5813,7.318,6.381,2862.177,9.47,,AD,Passing,
