Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,SiteName,Waypoint,BruvType,Zone_ID,UTMzone,Easting,Northing,FieldLead,FieldTeam,MonType,Bottom Temp
CASO01_2012,-35.415645,138.321066,20201204,8:30:00,Carrickalinga Cliffs,Fished,CASO01,7.1,CMeakin,Yes,Yes,Carrickalinga South Out,740,Stereo,152,54,256756.0776735103,6077565.112539891,DEaston,MST,SAMPA,18.3
CASO02_2012,-35.414311,138.322108,20201204,8:53:00,Carrickalinga Cliffs,Fished,CASO02,7.2,CMeakin,Yes,Yes,Carrickalinga South Out,741,Stereo,152,54,256846.70137799016,6077715.677,DEaston,MST,SAMPA,18.3
CASO03_2012,-35.412915,138.322854,20201204,8:56:00,Carrickalinga Cliffs,Fished,CASO03,7.1,CMeakin,Yes,Yes,Carrickalinga South Out,743,Stereo,152,54,256910.2581475009,6077872.391034367,DEaston,MST,SAMPA,18.3
CASO04_2012,-35.411368,138.323856,20201204,9:02:00,Carrickalinga Cliffs,Fished,CASO04,8.5,CMeakin,Yes,Yes,Carrickalinga South Out,744,Stereo,152,54,256996.61492539363,6078046.4864788465,DEaston,MST,SAMPA,19
CASI01_2012,-35.405766,138.32604,20201204,9:09:00,Carrickalinga Cliffs,No-take,CASI01,14.5,CMeakin,Yes,Yes,Carrickalinga South In,745,Stereo,67,54,257178.15946481237,6078673.363,DEaston,MST,SAMPA,18.5
CASI02_2012,-35.404033,138.327485,20201204,9:13:00,Carrickalinga Cliffs,No-take,CASI02,14.8,CMeakin,Yes,Yes,Carrickalinga South In,746,Stereo,67,54,257304.21173678443,6078869.179139104,DEaston,MST,SAMPA,18.5
CASI03_2012,-35.402625,138.329005,20201204,9:17:00,Carrickalinga Cliffs,No-take,CASI03,14.1,CMeakin,Yes,Yes,Carrickalinga South In,747,Stereo,67,54,257438.0569479398,6079029.120252044,DEaston,MST,SAMPA,18.5
CASI04_2012,-35.401465,138.331005,20201204,9:22:00,Carrickalinga Cliffs,No-take,CASI04,12.7,CMeakin,Yes,Yes,Carrickalinga South In,748,Stereo,67,54,257616.2516824354,6079162.722669387,DEaston,MST,SAMPA,18.3
CACI01_2012,-35.39864,138.334811,20201204,10:52:00,Carrickalinga Cliffs,No-take,CACI01,5.5,CMeakin,Yes,Yes,Carrickalinga Central In,749,Stereo,67,54,257953.52332376622,6079485.467164403,DEaston,MST,SAMPA,18.3
CACI02_2012,-35.39732,138.3365,20201204,10:54:00,Carrickalinga Cliffs,No-take,CACI02,8.1,CMeakin,Yes,Yes,Carrickalinga Central In,750,Stereo,67,54,258103.00486180573,6079636.048,DEaston,MST,SAMPA,18.4
CACI03_2012,-35.395837,138.338202,20201204,10:59:00,Carrickalinga Cliffs,No-take,CACI03,7.9,CMeakin,Yes,Yes,Carrickalinga Central In,751,Stereo,67,54,258253.18545548417,6079804.741697641,DEaston,MST,SAMPA,18.5
CACI04_2012,-35.394445,138.340118,20201204,11:03:00,Carrickalinga Cliffs,No-take,CACI04,7,CMeakin,Yes,Yes,Carrickalinga Central In,753,Stereo,67,54,258423.0841,6079963.859800605,DEaston,MST,SAMPA,18.5
CANO01_2012,-35.372706,138.374994,20201204,11:13:00,Carrickalinga Cliffs,Fished,CANO01,6.2,CMeakin,Yes,Yes,Carrickalinga North Out,754,Stereo,152,54,261527.3195568451,6082460.317827314,DEaston,MST,SAMPA,18.5
CANO02_2012,-35.371424,138.378371,20201204,11:17:00,Carrickalinga Cliffs,Fished,CANO02,6.4,CMeakin,Yes,Yes,Carrickalinga North Out,755,Stereo,152,54,261830.40959626477,6082610.6839960255,DEaston,MST,SAMPA,19.6
CANO03_2012,-35.373432,138.372788,20201204,11:21:00,Carrickalinga Cliffs,Fished,CANO03,6.6,CMeakin,Yes,Yes,Carrickalinga North Out,756,Stereo,152,54,261329.00496197477,6082374.451663327,DEaston,MST,SAMPA,18.4
CANO04_2012,-35.375339,138.370752,20201204,11:25:00,Carrickalinga Cliffs,Fished,CANO04,5.9,Cmeakin,Yes,Yes,Carrickalinga North Out,757,Stereo,152,54,261149.62435898356,6082157.969220751,DEaston,MST,SAMPA,18.5
CANI01_2012,-35.390298,138.345914,20201204,13:00:00,Carrickalinga Cliffs,No-take,CANI01,10.9,CMeakin,Yes,Yes,Carrickalinga North In,758,Stereo,67,54,258937.26357626574,6080438.092432687,DEaston,MST,SAMPA,18.8
CANI02_2012,-35.388232,138.346714,20201204,13:04:00,Carrickalinga Cliffs,No-take,CANI02,10.2,CMeakin,Yes,Yes,Carrickalinga North In,759,Stereo,67,54,259003.7909572716,6080669.251164489,DEaston,MST,SAMPA,18.8
CANI03_2012,-35.387731,138.34992,20201204,13:07:00,Carrickalinga Cliffs,No-take,CANI03,4.1,CMeakin,Yes,Yes,Carrickalinga North In,760,Stereo,67,54,259293.56889673442,6080732.645538701,DEaston,MST,SAMPA,18.9
CANI04_2012,-35.386569,138.351297,20201204,13:12:00,Carrickalinga Cliffs,No-take,CANI04,5.3,CMeakin,Yes,Yes,Carrickalinga North In,761,Stereo,67,54,259415.2175443868,6080864.913307731,DEaston,MST,SAMPA,18.8
ARSO01_2012,-35.341884,138.425815,20201204,13:25:00,Aldinga Reef,Fished,ARSO01,10.5,CMeakin,Yes,Yes,Aldinga Reef South Out,763,Stereo,152,54,266056.3136095137,6086001.086519368,DEaston,MST,SAMPA,18.8
ARSO02_2012,-35.338259,138.427325,20201204,13:30:00,Aldinga Reef,Fished,ARSO02,12.5,CMeakin,Yes,Yes,Aldinga Reef South Out,764,Stereo,152,54,266183.12214303133,6086406.812,DEaston,MST,SAMPA,19
ARSO03_2012,-35.339365,138.425008,20201204,13:34:00,Aldinga Reef,Fished,ARSO03,12.8,CMeakin,Yes,Yes,Aldinga Reef South Out,765,Stereo,152,54,265975.6866917844,6086278.635824578,DEaston,MST,SAMPA,19
ARSO04_2012,-35.337233,138.423563,20201204,13:37:00,Aldinga Reef,Fished,ARSO04,14.9,CMeakin,Yes,Yes,Aldinga Reef South Out,766,Stereo,152,54,265838.1745239036,6086511.741578801,DEaston,MST,SAMPA,18.5
PIEO01_2105,-35.782359,138.29243,20210520,9:24:00,The Pages,Fished,PIEO01,21.3,JHicks,Yes,Yes,Pages Islands East Out,NA,Stereo,65,54,255275.3619237758,6036808.235121472,JHicks,MST,SAMPA,16.7
PIEO02_2105,-35.780502,138.291925,20210520,9:30:00,The Pages,Fished,PIEO02,17.2,JHicks,Yes,Yes,Pages Islands East Out,NA,Stereo,65,54,255224.00835355575,6037013.006841078,JHicks,MST,SAMPA,16.7
PIEO03_2105,-35.778992,138.293177,20210520,9:35:00,The Pages,Fished,PIEO03,17,JHicks,Yes,No,Pages Islands East Out,NA,Stereo,65,54,255332.56923834642,6037183.6710210685,JHicks,MST,SAMPA,16.7
PIEO04_2105,-35.777394,138.294812,20210520,9:39:00,The Pages,Fished,PIEO04,16.4,JHicks,Yes,Yes,Pages Islands East Out,NA,Stereo,65,54,255475.49273914399,6037365.053831108,JHicks,MST,SAMPA,16.9
PIEI01_2105,-35.757532,138.304571,20210520,9:49:00,The Pages,No-take,PIEI01,21,JHicks,Yes,Yes,Pages Islands East In,NA,Stereo,65,54,256297.18588461448,6039593.0623804405,JHicks,MST,SAMPA,16.8
PIEI02_2105,-35.758877,138.306503,20210520,9:55:00,The Pages,No-take,PIEI02,23.8,JHicks,Yes,Yes,Pages Islands East In,NA,Stereo,65,54,256476.0081451918,6039448.640527302,JHicks,MST,SAMPA,16.7
PIEI03_2105,-35.760694,138.305624,20210520,10:00:00,The Pages,No-take,PIEI03,21.4,JHicks,Yes,Yes,Pages Islands East In,NA,Stereo,65,54,256402.06164571503,6039244.859814653,JHicks,MST,SAMPA,16.7
PIEI04_2105,-35.761572,138.3031,20210520,10:05:00,The Pages,No-take,PIEI04,19.3,JHicks,Yes,Yes,Pages Islands East In,NA,Stereo,65,54,256176.49519898213,6039141.165910672,JHicks,MST,SAMPA,16.7
PIWO04_2105,-35.77642283,138.2885324,20210520,11:40:00,The Pages,Fished,PIWO04,16,JHicks,Yes,Yes,Pages Islands West Out,NA,Stereo,65,54,255186.62291456494,6037676.246743512,JHicks,MST,SAMPA,16.8
PIWO03_2105,-35.778659,138.288747,20210520,11:44:00,The Pages,Fished,PIWO03,16,JHicks,Yes,Yes,Pages Islands West Out,NA,Stereo,65,54,255020.13449642825,6037640.044035424,JHicks,MST,SAMPA,16.8
PIWO02_2105,-35.774804,138.2898635,20210520,11:49:00,The Pages,Fished,PIWO02,17.6,JHicks,Yes,Yes,Pages Islands West Out,NA,Stereo,65,54,254931.02715273175,6037209.537291873,JHicks,MST,SAMPA,16.8
PIWO01_2105,-35.77451943,138.2917145,20210520,11:52:00,The Pages,Fished,PIWO01,15,JHicks,Yes,Yes,Pages Islands West Out,NA,Stereo,65,54,254904.7557126508,6037457.103748066,JHicks,MST,SAMPA,16.7
PIWI01_2105,-35.759643,138.297353,20210520,12:00:00,The Pages,No-take,PIWI01,15.5,JHicks,Yes,Yes,Pages Islands West In,NA,Stereo,65,54,255650.88865609883,6039340.865751529,JHicks,MST,SAMPA,16.9
PIWI02_2105,-35.761248,138.298091,20210520,12:05:00,The Pages,No-take,PIWI02,15,JHicks,Yes,Yes,Pages Islands West In,NA,Stereo,65,54,255722.53894174952,6039164.632478534,JHicks,MST,SAMPA,16.8
PIWI03_2105,-35.758069,138.296884,20210520,12:09:00,The Pages,No-take,PIWI03,15.5,JHicks,Yes,No,Pages Islands West In,NA,Stereo,65,54,255603.65757959656,6039514.330321623,JHicks,MST,SAMPA,16.7
PIWI04_2105,-35.757021,138.298161,20210520,12:15:00,The Pages,No-take,PIWI04,17.4,JHicks,No,No,Pages Islands West In,NA,Stereo,65,54,255715.9356390026,6039633.790894045,JHicks,MST,SAMPA,16.7
PINI01_2105,-35.727605,138.312397,20210520,14:08:00,The Pages,No-take,PINI01,26.4,JHicks,Yes,Yes,Pages Islands North In,NA,Stereo,65,54,256913.8789725464,6042932.872941178,JHicks,MST,SAMPA,16.6
PINI02_2105,-35.730019,138.312365,20210520,14:13:00,The Pages,No-take,PINI02,27.7,JHicks,Yes,Yes,Pages Islands North In,NA,Stereo,65,54,256918.3258070765,6042664.963374888,JHicks,MST,SAMPA,16.6
PINI03_2105,-35.732478,138.312964,20210520,14:17:00,The Pages,No-take,PINI03,26.5,JHicks,Yes,Yes,Pages Islands North In,NA,Stereo,65,54,256979.9922232552,6042393.625741071,JHicks,MST,SAMPA,16.8
PINI04_2105,-35.735056,138.312754,20210520,14:21:00,The Pages,No-take,PINI04,26.5,JHicks,Yes,Yes,Pages Islands North In,NA,Stereo,65,54,256968.8354289781,6042107.079079917,JHicks,MST,SAMPA,16.6
PINO01_2105,-35.709226,138.310727,20210520,14:28:00,The Pages,Fished,PINO01,27.2,JHicks,Yes,Yes,Pages Islands North Out,NA,Stereo,65,54,256706.8796584576,6044967.854987481,JHicks,MST,SAMPA,16.6
PINO02_2105,-35.712068,138.313315,20210520,14:33:00,The Pages,Fished,PINO02,17.2,JHicks,Yes,Yes,Pages Islands North Out,NA,Stereo,65,54,256949.70258596426,6044658.956867318,JHicks,MST,SAMPA,16.7
PINO03_2105,-35.713413,138.307781,20210520,14:38:00,The Pages,Fished,PINO03,27.2,JHicks,Yes,Yes,Pages Islands North Out,NA,Stereo,65,54,256452.8736,6044495.7737568645,JHicks,MST,SAMPA,16.7
PINO04_2105,-35.714619,138.311343,20210520,14:44:00,The Pages,Fished,PINO04,27.1,JHicks,Yes,Yes,Pages Islands North Out,NA,Stereo,65,54,256779.30619781054,6044370.601360256,JHicks,MST,SAMPA,16.7
