Sample,Family,Genus,Species,Count,Code,Filename,Frame,Time (mins),TapeReader,Depth,Comment,Habitat,Soak time,Bias,FOV,Vis,Has fed
PN_I01_2110,Kyphosidae,Kyphosus,sydneyanus,25,37361001,GH021770.MP4,10846,24.8673,TClarke,5.8,Starts at 1:45,Reef; Ecklonia; Profile,60,1,2,1,No
PN_I01_2110,Labridae,Austrolabrus,maculatus,1,37384025,GH011770.MP4,20959,13.9727,TClarke,5.8,Starts at 1:45,Reef; Ecklonia; Profile,60,1,2,1,No
PN_I01_2110,Labridae,Notolabrus,tetricus,1,37384003,GH021770.MP4,7114,22.3793,TClarke,5.8,Starts at 1:45,Reef; Ecklonia; Profile,60,1,2,1,No
PN_I01_2110,Monacanthidae,Meuschenia,freycineti,1,37465036,GH021770.MP4,11431,25.2573,TClarke,5.8,Starts at 1:45,Reef; Ecklonia; Profile,60,1,2,1,No
PN_I01_2110,Monacanthidae,Meuschenia,hippocrepis,7,37465004,GH031770.MP4,14299,44.806,TClarke,5.8,Starts at 1:45,Reef; Ecklonia; Profile,60,1,2,1,No
PN_I01_2110,Labridae,Siphonognathus,beddomei,1,37385006,GH011770.MP4,7258,4.8387,TClarke,5.8,Starts at 1:45,Reef; Ecklonia; Profile,60,1,2,1,No
PN_I01_2110,Plesiopidae,Trachinops,noarlungae,1,37316017,GH011770.MP4,10862,7.2413,TClarke,5.8,Starts at 1:45,Reef; Ecklonia; Profile,60,1,2,1,No
PN_I01_2110,Scorpididae,Scorpis,aequipinnis,5,37361004,GH031770.MP4,4370,38.1867,TClarke,5.8,Starts at 1:45,Reef; Ecklonia; Profile,60,1,2,1,No
PN_I01_2110,Scorpididae,Scorpis,lineolata,1,37361009,GH021770.MP4,25258,34.4753,TClarke,5.8,Starts at 1:45,Reef; Ecklonia; Profile,60,1,2,1,No
PN_I01_2110,Sparidae,Chrysophrys,auratus,1,37353001,GH021770.MP4,17117,29.048,TClarke,5.8,Starts at 1:45,Reef; Ecklonia; Profile,60,1,2,1,No
PN_I02_2110,Dinolestidae,Dinolestes,lewini,3,37327002,GH012227.MP4,17779,11.8527,TClarke,8,Starts at 3:00. Facing Up. RHS camera failed at 3:00 - No measurements,Facing Up,60,1,1,2,No
PN_I02_2110,Gerreidae,Parequula,melbournensis,1,37349001,GH022227.MP4,5,17.64,TClarke,8,Starts at 3:00. Facing Up. RHS camera failed at 3:00 - No measurements,Facing Up,60,1,1,2,No
PN_I02_2110,Monacanthidae,Meuschenia,freycineti,2,37465036,GH032227.MP4,22934,50.5627,TClarke,8,Starts at 3:00. Facing Up. RHS camera failed at 3:00 - No measurements,Facing Up,60,1,1,2,No
PN_I02_2110,Monacanthidae,Meuschenia,hippocrepis,1,37465004,GH012227.MP4,13920,9.28,TClarke,8,Starts at 3:00. Facing Up. RHS camera failed at 3:00 - No measurements,Facing Up,60,1,1,2,No
