Sample,Family,Genus,Species,Count
BELLS101,Ambassidae,Ambassis,marianus,2
BELLS102,Ambassidae,Ambassis,marianus,1
BELLS31,Ambassidae,Ambassis,marianus,10
BELLS32,Ambassidae,Ambassis,marianus,47
BELLS41,Ambassidae,Ambassis,marianus,76
BELLS42,Ambassidae,Ambassis,marianus,39
BELLS51,Ambassidae,Ambassis,marianus,295
BELLS52,Ambassidae,Ambassis,marianus,7
BELLS61,Ambassidae,Ambassis,marianus,33
BELLS62,Ambassidae,Ambassis,marianus,16
BELLS71,Ambassidae,Ambassis,marianus,26
BELLS81,Ambassidae,Ambassis,marianus,37
BELLS82,Ambassidae,Ambassis,marianus,1
BELLS91,Ambassidae,Ambassis,marianus,2
BRISB101,Ambassidae,Ambassis,marianus,13
BRISB102,Ambassidae,Ambassis,marianus,9
BRISB42,Ambassidae,Ambassis,marianus,11
BRISB61,Ambassidae,Ambassis,marianus,7
BRISB81,Ambassidae,Ambassis,marianus,2
BRISB91,Ambassidae,Ambassis,marianus,4
CABBAT101,Ambassidae,Ambassis,marianus,4
CABBAT31,Ambassidae,Ambassis,marianus,4
CABBAT62,Ambassidae,Ambassis,marianus,1
CABOO32,Ambassidae,Ambassis,marianus,1
CABOO61,Ambassidae,Ambassis,marianus,10
CABOO62,Ambassidae,Ambassis,marianus,5
CABOO71,Ambassidae,Ambassis,marianus,2
CABOO81,Ambassidae,Ambassis,marianus,2
CABOO92,Ambassidae,Ambassis,marianus,1
COOCH22,Ambassidae,Ambassis,marianus,2
COOCH41,Ambassidae,Ambassis,marianus,12
COOCH42,Ambassidae,Ambassis,marianus,1
COOME11,Ambassidae,Ambassis,marianus,36
COOME71,Ambassidae,Ambassis,marianus,7
COOME72,Ambassidae,Ambassis,marianus,6
CURRU32,Ambassidae,Ambassis,marianus,28
LOGAN101,Ambassidae,Ambassis,marianus,4
LOGAN11,Ambassidae,Ambassis,marianus,38
LOGAN12,Ambassidae,Ambassis,marianus,4
LOGAN21,Ambassidae,Ambassis,marianus,5
LOGAN41,Ambassidae,Ambassis,marianus,12
LOGAN61,Ambassidae,Ambassis,marianus,8
LOGAN62,Ambassidae,Ambassis,marianus,27
LOGAN71,Ambassidae,Ambassis,marianus,15
LOGAN72,Ambassidae,Ambassis,marianus,25
LOGAN81,Ambassidae,Ambassis,marianus,29
LOGAN82,Ambassidae,Ambassis,marianus,7
LOGAN91,Ambassidae,Ambassis,marianus,17
LOGAN92,Ambassidae,Ambassis,marianus,23
MAROO72,Ambassidae,Ambassis,marianus,169
MCCOY101,Ambassidae,Ambassis,marianus,8
MCCOY11,Ambassidae,Ambassis,marianus,2
MCCOY12,Ambassidae,Ambassis,marianus,2
MCCOY21,Ambassidae,Ambassis,marianus,3
MCCOY31,Ambassidae,Ambassis,marianus,84
MCCOY32,Ambassidae,Ambassis,marianus,130
MCCOY42,Ambassidae,Ambassis,marianus,7
MCCOY52,Ambassidae,Ambassis,marianus,7
MCCOY62,Ambassidae,Ambassis,marianus,14
MCCOY71,Ambassidae,Ambassis,marianus,53
MCCOY72,Ambassidae,Ambassis,marianus,5
MCCOY81,Ambassidae,Ambassis,marianus,40
MCCOY82,Ambassidae,Ambassis,marianus,5
MCCOY91,Ambassidae,Ambassis,marianus,31
MCCOY92,Ambassidae,Ambassis,marianus,16
MOOLO12,Ambassidae,Ambassis,marianus,8
MOOLO22,Ambassidae,Ambassis,marianus,170
MOOLO62,Ambassidae,Ambassis,marianus,23
MOOLO71,Ambassidae,Ambassis,marianus,57
MOOLO81,Ambassidae,Ambassis,marianus,114
MOOLO82,Ambassidae,Ambassis,marianus,400
NERAN32,Ambassidae,Ambassis,marianus,2
NERAN72,Ambassidae,Ambassis,marianus,236
NERAN91,Ambassidae,Ambassis,marianus,212
NERAN92,Ambassidae,Ambassis,marianus,157
NOOSA51,Ambassidae,Ambassis,marianus,3
NUNDA101,Ambassidae,Ambassis,marianus,28
NUNDA102,Ambassidae,Ambassis,marianus,1
NUNDA12,Ambassidae,Ambassis,marianus,53
NUNDA21,Ambassidae,Ambassis,marianus,33
NUNDA32,Ambassidae,Ambassis,marianus,17
NUNDA81,Ambassidae,Ambassis,marianus,5
NUNDA82,Ambassidae,Ambassis,marianus,3
NUNDA91,Ambassidae,Ambassis,marianus,2
NUNDA92,Ambassidae,Ambassis,marianus,36
PIMPA101,Ambassidae,Ambassis,marianus,2
PIMPA11,Ambassidae,Ambassis,marianus,123
PIMPA21,Ambassidae,Ambassis,marianus,5
PIMPA61,Ambassidae,Ambassis,marianus,13
PIMPA71,Ambassidae,Ambassis,marianus,37
PIMPA81,Ambassidae,Ambassis,marianus,16
PIMPA82,Ambassidae,Ambassis,marianus,9
PIMPA91,Ambassidae,Ambassis,marianus,2
PIMPA92,Ambassidae,Ambassis,marianus,5
PINE72,Ambassidae,Ambassis,marianus,13
PINE82,Ambassidae,Ambassis,marianus,7
PINE91,Ambassidae,Ambassis,marianus,7
SALTW102,Ambassidae,Ambassis,marianus,6
SALTW22,Ambassidae,Ambassis,marianus,3
SALTW62,Ambassidae,Ambassis,marianus,6
SALTW71,Ambassidae,Ambassis,marianus,5
SALTW72,Ambassidae,Ambassis,marianus,2
SALTW91,Ambassidae,Ambassis,marianus,13
TALLE102,Ambassidae,Ambassis,marianus,5
TALLE91,Ambassidae,Ambassis,marianus,61
TINGA52,Ambassidae,Ambassis,marianus,2
TRIPC102,Ambassidae,Ambassis,marianus,8
TRIPC12,Ambassidae,Ambassis,marianus,31
TRIPC62,Ambassidae,Ambassis,marianus,29
WESTA101,Ambassidae,Ambassis,marianus,22
WESTA102,Ambassidae,Ambassis,marianus,72
WESTA11,Ambassidae,Ambassis,marianus,3
WESTA22,Ambassidae,Ambassis,marianus,210
WESTA31,Ambassidae,Ambassis,marianus,2
WESTA32,Ambassidae,Ambassis,marianus,201
WESTA51,Ambassidae,Ambassis,marianus,4
WESTA52,Ambassidae,Ambassis,marianus,4
WESTA61,Ambassidae,Ambassis,marianus,5
WESTA71,Ambassidae,Ambassis,marianus,109
WESTA72,Ambassidae,Ambassis,marianus,49
WESTA81,Ambassidae,Ambassis,marianus,67
WESTA82,Ambassidae,Ambassis,marianus,32
WESTA91,Ambassidae,Ambassis,marianus,78
WESTA92,Ambassidae,Ambassis,marianus,92
BRISB22,Anguillidae,Anguilla,reinhardtii,1
BRISB51,Anguillidae,Anguilla,reinhardtii,1
COOMB82,Anguillidae,Anguilla,reinhardtii,3
CURRU101,Anguillidae,Anguilla,reinhardtii,1
LOGAN92,Anguillidae,Anguilla,reinhardtii,1
NERAN81,Anguillidae,Anguilla,reinhardtii,1
NUNDA72,Anguillidae,Anguilla,reinhardtii,1
PINE82,Anguillidae,Anguilla,reinhardtii,1
PINE92,Anguillidae,Anguilla,reinhardtii,1
BELLS32,Ariidae,Neoarius,graeffei,1
BELLS72,Ariidae,Neoarius,graeffei,1
COOCH32,Ariidae,Neoarius,graeffei,1
COOCH72,Ariidae,Neoarius,graeffei,1
COOMB101,Ariidae,Neoarius,graeffei,1
COOMB102,Ariidae,Neoarius,graeffei,1
COOMB11,Ariidae,Neoarius,graeffei,3
COOMB12,Ariidae,Neoarius,graeffei,1
COOMB21,Ariidae,Neoarius,graeffei,1
COOMB31,Ariidae,Neoarius,graeffei,1
COOMB41,Ariidae,Neoarius,graeffei,2
COOMB42,Ariidae,Neoarius,graeffei,1
COOMB51,Ariidae,Neoarius,graeffei,3
COOMB52,Ariidae,Neoarius,graeffei,2
COOMB61,Ariidae,Neoarius,graeffei,1
COOMB62,Ariidae,Neoarius,graeffei,1
COOMB71,Ariidae,Neoarius,graeffei,2
COOMB72,Ariidae,Neoarius,graeffei,2
COOMB81,Ariidae,Neoarius,graeffei,6
COOMB91,Ariidae,Neoarius,graeffei,2
