Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length
NOOSA11,-26.38076602,153.073593,20160701,13:00:00,Noosa,Fished,1,2,Ben,Yes,No
NOOSA21,-26.38147697,153.071724,20160701,13:00:00,Noosa,Fished,1,3,Ben,Yes,No
NOOSA31,-26.38210402,153.072685,20160701,13:00:00,Noosa,Fished,1,4,Ben,Yes,No
NOOSA41,-26.38397201,153.071614,20160701,13:00:00,Noosa,Fished,1,5,Ben,Yes,No
NOOSA51,-26.38570698,153.071336,20160701,13:00:00,Noosa,Fished,1,6,Ben,Yes,No
NOOSA61,-26.38621601,153.072932,20160701,13:00:00,Noosa,Fished,1,7,Ben,Yes,No
NOOSA71,-26.392973,153.069928,20160701,13:00:00,Noosa,Fished,1,8,Ben,Yes,No
NOOSA81,-26.39400297,153.065885,20160701,13:00:00,Noosa,Fished,1,9,Ben,Yes,No
NOOSA91,-26.39504802,153.061748,20160701,13:00:00,Noosa,Fished,1,10,Ben,Yes,No
NOOSA101,-26.39444201,153.056989,20160701,13:00:00,Noosa,Fished,1,11,Ben,Yes,No
NOOSA12,-26.38076602,153.073593,20160702,13:00:00,Noosa,Fished,1,12,Ben,Yes,No
NOOSA22,-26.38147697,153.071724,20160702,13:00:00,Noosa,Fished,1,13,Ben,Yes,No
NOOSA32,-26.38210402,153.072685,20160702,13:00:00,Noosa,Fished,1,14,Ben,Yes,No
NOOSA42,-26.38397201,153.071614,20160702,13:00:00,Noosa,Fished,1,15,Ben,Yes,No
NOOSA52,-26.38570698,153.071336,20160702,13:00:00,Noosa,Fished,1,16,Ben,Yes,No
NOOSA62,-26.38621601,153.072932,20160702,13:00:00,Noosa,Fished,1,17,Ben,Yes,No
NOOSA72,-26.392973,153.069928,20160702,13:00:00,Noosa,Fished,1,18,Ben,Yes,No
NOOSA82,-26.39400297,153.065885,20160702,13:00:00,Noosa,Fished,1,19,Ben,Yes,No
NOOSA92,-26.39504802,153.061748,20160702,13:00:00,Noosa,Fished,1,20,Ben,Yes,No
NOOSA102,-26.39444201,153.056989,20160702,13:00:00,Noosa,Fished,1,21,Ben,Yes,No
MAROO11,-26.64314096,153.098607,20160701,13:00:00,Maroochy,Fished,2,22,Ben,Yes,No
MAROO21,-26.64087801,153.092844,20160701,13:00:00,Maroochy,Fished,2,23,Ben,Yes,No
MAROO31,-26.64347196,153.089839,20160701,13:00:00,Maroochy,Fished,2,24,Ben,Yes,No
MAROO41,-26.63941604,153.080219,20160701,13:00:00,Maroochy,Fished,2,25,Ben,Yes,No
MAROO51,-26.63968996,153.075873,20160701,13:00:00,Maroochy,Fished,2,26,Ben,Yes,No
MAROO61,-26.64049496,153.069553,20160701,13:00:00,Maroochy,Fished,2,27,Ben,Yes,No
MAROO71,-26.64068104,153.064043,20160701,13:00:00,Maroochy,Fished,2,28,Ben,Yes,No
MAROO81,-26.64053201,153.059994,20160701,13:00:00,Maroochy,Fished,2,29,Ben,Yes,No
MAROO91,-26.63928302,153.058073,20160701,13:00:00,Maroochy,Fished,2,30,Ben,Yes,No
MAROO101,-26.63501102,153.056198,20160701,13:00:00,Maroochy,Fished,2,31,Ben,Yes,No
MAROO12,-26.64314096,153.098607,20160702,13:00:00,Maroochy,Fished,2,32,Ben,Yes,No
MAROO22,-26.64087801,153.092844,20160702,13:00:00,Maroochy,Fished,2,33,Ben,Yes,No
MAROO32,-26.64347196,153.089839,20160702,13:00:00,Maroochy,Fished,2,34,Ben,Yes,No
MAROO42,-26.63941604,153.080219,20160702,13:00:00,Maroochy,Fished,2,35,Ben,Yes,No
MAROO52,-26.63968996,153.075873,20160702,13:00:00,Maroochy,Fished,2,36,Ben,Yes,No
MAROO62,-26.64049496,153.069553,20160702,13:00:00,Maroochy,Fished,2,37,Ben,Yes,No
MAROO72,-26.64068104,153.064043,20160702,13:00:00,Maroochy,Fished,2,38,Ben,Yes,No
MAROO82,-26.64053201,153.059994,20160702,13:00:00,Maroochy,Fished,2,39,Ben,Yes,No
MAROO92,-26.63928302,153.058073,20160702,13:00:00,Maroochy,Fished,2,40,Ben,Yes,No
MAROO102,-26.63501102,153.056198,20160702,13:00:00,Maroochy,Fished,2,41,Ben,Yes,No
MOOLO11,-26.686163,153.118865,20160701,13:00:00,Mooloolah,Fished,3,42,Ben,Yes,No
MOOLO21,-26.69784,153.114578,20160701,13:00:00,Mooloolah,Fished,3,43,Ben,Yes,No
MOOLO31,-26.70623498,153.115588,20160701,13:00:00,Mooloolah,Fished,3,44,Ben,Yes,No
MOOLO41,-26.70924702,153.118035,20160701,13:00:00,Mooloolah,Fished,3,45,Ben,Yes,No
MOOLO51,-26.71136596,153.114513,20160701,13:00:00,Mooloolah,Fished,3,46,Ben,Yes,No
MOOLO61,-26.71398103,153.113974,20160701,13:00:00,Mooloolah,Fished,3,47,Ben,Yes,No
MOOLO71,-26.71402596,153.116778,20160701,13:00:00,Mooloolah,Fished,3,48,Ben,Yes,No
MOOLO81,-26.71595003,153.117277,20160701,13:00:00,Mooloolah,Fished,3,49,Ben,Yes,No
MOOLO91,-26.71633903,153.119814,20160701,13:00:00,Mooloolah,Fished,3,50,Ben,Yes,No
MOOLO101,-26.718893,153.1202,20160701,13:00:00,Mooloolah,Fished,3,51,Ben,Yes,No
MOOLO12,-26.686163,153.118865,20160702,13:00:00,Mooloolah,Fished,3,52,Ben,Yes,No
MOOLO22,-26.69784,153.114578,20160702,13:00:00,Mooloolah,Fished,3,53,Ben,Yes,No
MOOLO32,-26.70623498,153.115588,20160702,13:00:00,Mooloolah,Fished,3,54,Ben,Yes,No
MOOLO42,-26.70924702,153.118035,20160702,13:00:00,Mooloolah,Fished,3,55,Ben,Yes,No
MOOLO52,-26.71136596,153.114513,20160702,13:00:00,Mooloolah,Fished,3,56,Ben,Yes,No
MOOLO62,-26.71398103,153.113974,20160702,13:00:00,Mooloolah,Fished,3,57,Ben,Yes,No
MOOLO72,-26.71402596,153.116778,20160702,13:00:00,Mooloolah,Fished,3,58,Ben,Yes,No
MOOLO82,-26.71595003,153.117277,20160702,13:00:00,Mooloolah,Fished,3,59,Ben,Yes,No
MOOLO92,-26.71633903,153.119814,20160702,13:00:00,Mooloolah,Fished,3,60,Ben,Yes,No
MOOLO102,-26.718893,153.1202,20160702,13:00:00,Mooloolah,Fished,3,61,Ben,Yes,No
WESTA11,-26.89672597,153.096257,20160701,13:00:00,Westaways,Fished,4,62,Ben,Yes,No
WESTA21,-26.897178,153.094431,20160701,13:00:00,Westaways,Fished,4,63,Ben,Yes,No
WESTA31,-26.89740297,153.092604,20160701,13:00:00,Westaways,Fished,4,64,Ben,Yes,No
WESTA41,-26.89868599,153.093224,20160701,13:00:00,Westaways,Fished,4,65,Ben,Yes,No
WESTA51,-26.90024201,153.092146,20160701,13:00:00,Westaways,Fished,4,66,Ben,Yes,No
WESTA61,-26.90160801,153.09185,20160701,13:00:00,Westaways,Fished,4,67,Ben,Yes,No
WESTA71,-26.90266396,153.093263,20160701,13:00:00,Westaways,Fished,4,68,Ben,Yes,No
WESTA81,-26.90325203,153.095698,20160701,13:00:00,Westaways,Fished,4,69,Ben,Yes,No
WESTA91,-26.90421604,153.096918,20160701,13:00:00,Westaways,Fished,4,70,Ben,Yes,No
WESTA101,-26.905403,153.0977,20160701,13:00:00,Westaways,Fished,4,71,Ben,Yes,No
WESTA12,-26.89672597,153.096257,20160702,13:00:00,Westaways,Fished,4,72,Ben,Yes,No
WESTA22,-26.897178,153.094431,20160702,13:00:00,Westaways,Fished,4,73,Ben,Yes,No
WESTA32,-26.89740297,153.092604,20160702,13:00:00,Westaways,Fished,4,74,Ben,Yes,No
WESTA42,-26.89868599,153.093224,20160702,13:00:00,Westaways,Fished,4,75,Ben,Yes,No
WESTA52,-26.90024201,153.092146,20160702,13:00:00,Westaways,Fished,4,76,Ben,Yes,No
WESTA62,-26.90160801,153.09185,20160702,13:00:00,Westaways,Fished,4,77,Ben,Yes,No
WESTA72,-26.90266396,153.093263,20160702,13:00:00,Westaways,Fished,4,78,Ben,Yes,No
WESTA82,-26.90325203,153.095698,20160702,13:00:00,Westaways,Fished,4,79,Ben,Yes,No
WESTA92,-26.90421604,153.096918,20160702,13:00:00,Westaways,Fished,4,80,Ben,Yes,No
WESTA102,-26.905403,153.0977,20160702,13:00:00,Westaways,Fished,4,81,Ben,Yes,No
COOCH12,-26.91279198,153.072347,20160701,13:00:00,Coochin,Fished,5,82,Ben,Yes,No
COOCH22,-26.91151801,153.070726,20160701,13:00:00,Coochin,Fished,5,83,Ben,Yes,No
COOCH32,-26.90989201,153.068597,20160701,13:00:00,Coochin,Fished,5,84,Ben,Yes,No
COOCH42,-26.90720201,153.066311,20160701,13:00:00,Coochin,Fished,5,85,Ben,Yes,No
COOCH52,-26.90444704,153.064547,20160701,13:00:00,Coochin,Fished,5,86,Ben,Yes,No
COOCH62,-26.90191504,153.063709,20160701,13:00:00,Coochin,Fished,5,87,Ben,Yes,No
COOCH72,-26.89969299,153.063533,20160701,13:00:00,Coochin,Fished,5,88,Ben,Yes,No
COOCH82,-26.89712402,153.06232,20160701,13:00:00,Coochin,Fished,5,89,Ben,Yes,No
COOCH92,-26.89475597,153.062261,20160701,13:00:00,Coochin,Fished,5,90,Ben,Yes,No
COOCH102,-26.89332199,153.060025,20160701,13:00:00,Coochin,Fished,5,91,Ben,Yes,No
COOCH11,-26.91279198,153.072347,20160702,13:00:00,Coochin,Fished,5,92,Ben,Yes,No
COOCH21,-26.91151801,153.070726,20160702,13:00:00,Coochin,Fished,5,93,Ben,Yes,No
COOCH31,-26.90989201,153.068597,20160702,13:00:00,Coochin,Fished,5,94,Ben,Yes,No
COOCH41,-26.90720201,153.066311,20160702,13:00:00,Coochin,Fished,5,95,Ben,Yes,No
COOCH51,-26.90444704,153.064547,20160702,13:00:00,Coochin,Fished,5,96,Ben,Yes,No
COOCH61,-26.90191504,153.063709,20160702,13:00:00,Coochin,Fished,5,97,Ben,Yes,No
COOCH71,-26.89969299,153.063533,20160702,13:00:00,Coochin,Fished,5,98,Ben,Yes,No
COOCH81,-26.89712402,153.06232,20160702,13:00:00,Coochin,Fished,5,99,Ben,Yes,No
COOCH91,-26.89475597,153.062261,20160702,13:00:00,Coochin,Fished,5,100,Ben,Yes,No
COOCH101,-26.89332199,153.060025,20160702,13:00:00,Coochin,Fished,5,101,Ben,Yes,No
TRIPC11,-26.96992001,153.069041,20160701,13:00:00,Tripcony,Fished,6,102,Ben,Yes,No
TRIPC21,-26.96682097,153.068141,20160701,13:00:00,Tripcony,Fished,6,103,Ben,Yes,No
TRIPC31,-26.96510696,153.071946,20160701,13:00:00,Tripcony,Fished,6,104,Ben,Yes,No
TRIPC41,-26.96453003,153.067387,20160701,13:00:00,Tripcony,Fished,6,105,Ben,Yes,No
TRIPC51,-26.96367399,153.065098,20160701,13:00:00,Tripcony,Fished,6,106,Ben,Yes,No
TRIPC61,-26.96189702,153.072372,20160701,13:00:00,Tripcony,Fished,6,107,Ben,Yes,No
TRIPC71,-26.96210297,153.063073,20160701,13:00:00,Tripcony,Fished,6,108,Ben,Yes,No
TRIPC81,-26.95917802,153.069147,20160701,13:00:00,Tripcony,Fished,6,109,Ben,Yes,No
TRIPC91,-26.95694399,153.06651,20160701,13:00:00,Tripcony,Fished,6,110,Ben,Yes,No
TRIPC101,-26.95246898,153.068122,20160701,13:00:00,Tripcony,Fished,6,111,Ben,Yes,No
TRIPC12,-26.96992001,153.069041,20160702,13:00:00,Tripcony,Fished,6,112,Ben,Yes,No
TRIPC22,-26.96682097,153.068141,20160702,13:00:00,Tripcony,Fished,6,113,Ben,Yes,No
TRIPC32,-26.96510696,153.071946,20160702,13:00:00,Tripcony,Fished,6,114,Ben,Yes,No
TRIPC42,-26.96453003,153.067387,20160702,13:00:00,Tripcony,Fished,6,115,Ben,Yes,No
TRIPC52,-26.96367399,153.065098,20160702,13:00:00,Tripcony,Fished,6,116,Ben,Yes,No
TRIPC62,-26.96189702,153.072372,20160702,13:00:00,Tripcony,Fished,6,117,Ben,Yes,No
TRIPC72,-26.96210297,153.063073,20160702,13:00:00,Tripcony,Fished,6,118,Ben,Yes,No
TRIPC82,-26.95917802,153.069147,20160702,13:00:00,Tripcony,Fished,6,119,Ben,Yes,No
TRIPC92,-26.95694399,153.06651,20160702,13:00:00,Tripcony,Fished,6,120,Ben,Yes,No
TRIPC102,-26.95246898,153.068122,20160702,13:00:00,Tripcony,Fished,6,121,Ben,Yes,No
BELLS11,-26.84464199,153.107173,20160701,13:00:00,Bells,Fished,7,122,Ben,Yes,No
BELLS21,-26.84631201,153.10016,20160701,13:00:00,Bells,Fished,7,123,Ben,Yes,No
BELLS31,-26.85004396,153.097464,20160701,13:00:00,Bells,Fished,7,124,Ben,Yes,No
BELLS41,-26.85314996,153.093949,20160701,13:00:00,Bells,Fished,7,125,Ben,Yes,No
