OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
SBMP_20180325_S10_1_BRUV	0	S10_1_SBMP_20180325_BRUV_L561 (1).MP4	1891	S10_1_SBMP_20180325_BRUV_R562 (1).MP4	1733	1.05161		-1	111.49189	-6.45092	-877.80443	0.42273	0.38121	1.37934	1.50542	884.88003	7.27514					1	AD	Passing	SYNC		
SBMP_20180325_S10_1_BRUV	1	S10_1_SBMP_20180325_BRUV_L561 (1).MP4	4262	S10_1_SBMP_20180325_BRUV_R562 (1).MP4	4104	2.37015	Soak time	1.00712	-492.89337	-261.09726	-1116.39458	0.984	0.66343	2.05427	3.87814	1247.97937	26.69519	Labridae	Halichoeres	brownfieldi	37384108	8	AD	Passing			
SBMP_20180325_S10_1_BRUV	2	S10_1_SBMP_20180325_BRUV_L561 (1).MP4	6580	S10_1_SBMP_20180325_BRUV_R562 (1).MP4	6422	3.65921	Soak time	2.29618	-481.38387	-339.54846	-1099.11122	0.93326	0.7418	1.95218	2.70608	1247.02409	28.37073	Apogonidae	Apogon	victoriae		1	AD	Passing			
SBMP_20180325_S10_1_BRUV	3	S10_1_SBMP_20180325_BRUV_L561 (1).MP4	9120	S10_1_SBMP_20180325_BRUV_R562 (1).MP4	8962	5.07173	Soak time	3.70871	342.35678	-197.05817	-1111.15678	0.79864	0.60322	2.09998	0.82321	1179.28346	19.72787	Labridae	Cheilinus	chlorourus	37384064	1	AD	Passing			
SBMP_20180325_S10_1_BRUV	6	S10_1_SBMP_20180325_BRUV_L561 (1).MP4	29397	S10_1_SBMP_20180325_BRUV_R562 (1).MP4	29239	16.348	Soak time	14.98497	-831.30646	108.72705	-1539.33563	1.91852	0.69904	3.62829	3.80056	1752.83946	28.53563	Labridae	Choerodon	cephalotes	37384004	1	AD	Passing			
SBMP_20180325_S10_1_BRUV	7	S10_1_SBMP_20180325_BRUV_L561 (1).MP4	30856	S10_1_SBMP_20180325_BRUV_R562 (1).MP4	30698	17.15936	Soak time	15.79634	-616.27785	-300.99318	-1281.43697	1.29252	0.79405	2.61521	2.27623	1453.43592	28.29489	Labridae	Choerodon	cauteroma	37384005	1	AD	Passing			
SBMP_20180325_S10_1_BRUV	9	S10_1_SBMP_20180325_BRUV_L561 (2).MP4	3172	S10_1_SBMP_20180325_BRUV_R562 (2).MP4	3014	21.65942	Soak time	20.29639	135.68296	92.85723	-953.44755	0.4729	0.44445	1.61742	2.19564	967.5198	9.61121	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20180325_S10_1_BRUV	10	S10_1_SBMP_20180325_BRUV_L561 (2).MP4	3173	S10_1_SBMP_20180325_BRUV_R562 (2).MP4	3015	21.65997	Soak time	20.29694	-773.50313	-173.9157	-1496.6945	1.79919	0.73444	3.52169	1.5571	1693.70842	27.98058	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20180325_S10_1_BRUV	11	S10_1_SBMP_20180325_BRUV_L561 (2).MP4	3173	S10_1_SBMP_20180325_BRUV_R562 (2).MP4	3015	21.65997	Soak time	20.29694	-826.3096	-429.5425	-1602.08495	1.93249	1.1712	3.86494	4.2981	1853.09754	30.31435	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20180325_S10_1_BRUV	13	S10_1_SBMP_20180325_BRUV_L561 (2).MP4	3267	S10_1_SBMP_20180325_BRUV_R562 (2).MP4	3109	21.71225	Soak time	20.34922	-84.42165	-115.17991	-494.7242	0.2316	0.23862	0.42859	1.90896	514.92277	16.35382	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20180325_S10_1_BRUV	14	S10_1_SBMP_20180325_BRUV_L561 (2).MP4	3320	S10_1_SBMP_20180325_BRUV_R562 (2).MP4	3162	21.74172	Soak time	20.37869	-66.17476	-96.49188	-881.63517	0.40638	0.40915	1.40501	0.1949	889.36514	7.81895	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20180325_S10_1_BRUV	15	S10_1_SBMP_20180325_BRUV_L561 (2).MP4	5050	S10_1_SBMP_20180325_BRUV_R562 (2).MP4	4892	22.70379	Soak time	21.34076	-410.02095	32.63024	-1552.21275	1.25986	0.6775	4.26886	2.59786	1605.78527	14.82001	Lethrinidae	Lethrinus	laticaudis	37351006	1	AD	Passing			
SBMP_20180325_S10_1_BRUV	20	S10_1_SBMP_20180325_BRUV_L561 (2).MP4	10125	S10_1_SBMP_20180325_BRUV_R562 (2).MP4	9967	25.52606	Soak time	24.16303	-520.16951	-74.79793	-1154.24166	1.08066	0.51259	2.23703	2.51098	1268.24479	24.52574	Latidae	Psammoperca	waigiensis	37310001	1	AD	Passing			
SBMP_20180325_S10_1_BRUV	21	S10_1_SBMP_20180325_BRUV_L561 (2).MP4	10785	S10_1_SBMP_20180325_BRUV_R562 (2).MP4	10627	25.89309	Soak time	24.53006	-950.92298	-34.32366	-1727.7721	2.39183	0.72427	4.52184	5.12018	1972.46776	28.85585	Lethrinidae	Lethrinus	spp	37351902	1	AD	Passing			
SBMP_20180325_S10_1_BRUV	23	S10_1_SBMP_20180325_BRUV_L561 (2).MP4	10882	S10_1_SBMP_20180325_BRUV_R562 (2).MP4	10724	25.94703	Soak time	24.584	-442.35097	12.62174	-1401.90056	1.19968	0.60643	3.47598	3.36398	1470.08805	17.51288	Lethrinidae	Lethrinus	nebulosus	37351008	1	AD	Passing			
SBMP_20180325_S10_1_BRUV	24	S10_1_SBMP_20180325_BRUV_L561 (2).MP4	16120	S10_1_SBMP_20180325_BRUV_R562 (2).MP4	15962	28.85994	Soak time	27.49691	-247.5942	9.1112	-932.58045	0.55747	0.40489	1.54699	0.30422	964.93119	14.86999	Mullidae	Upeneus	tragula	37355014	1	AD	Passing			
SBMP_20180325_S10_1_BRUV	27	S10_1_SBMP_20180325_BRUV_L561 (2).MP4	34618	S10_1_SBMP_20180325_BRUV_R562 (2).MP4	34460	39.14689	Soak time	37.78386	677.85552	-38.96051	-2006.69604	2.44364	0.86647	6.97976	4.36519	2118.45109	18.71387	Labridae	Choerodon	cyanodus	37384072	1	AD	Passing			
SBMP_20180325_S10_1_BRUV	28	S10_1_SBMP_20180325_BRUV_L561 (2).MP4	34719	S10_1_SBMP_20180325_BRUV_R562 (2).MP4	34561	39.20305	Soak time	37.84002	-483.39657	-56.7016	-1491.20713	1.36465	0.65475	3.9267	0.5972	1568.62552	18.11493	Labridae	Choerodon	cyanodus	37384072	1	AD	Passing			
SBMP_20180325_S10_1_BRUV	31	S10_1_SBMP_20180325_BRUV_L561 (2).MP4	35012	S10_1_SBMP_20180325_BRUV_R562 (2).MP4	34854	39.36599	Soak time	38.00297	-406.31544	32.79613	-1189.83758	0.95414	0.52025	2.49209	0.40937	1257.72863	18.88876	Siganidae	Siganus	fuscescens	37438001	15	AD	Passing			
SBMP_20180325_S10_1_BRUV	48	S10_1_SBMP_20180325_BRUV_L561 (3).MP4	10912	S10_1_SBMP_20180325_BRUV_R562 (3).MP4	10754	45.85915	Soak time	44.49612	496.42328	185.19642	-1456.92001	1.35708	0.78969	3.61764	0.70996	1550.27407	19.87799	Terapontidae	Pelates	octolineatus	37321020	34	AD	Passing			
SBMP_20180325_S11_4_BRUV	0	S10_2_SBMP_20180325_BRUV_L427 (1).MP4	970	S10_2_SBMP_20180325_BRUV_R428 (1).MP4	719	-1		-1	-47.94734	-29.73448	-735.71419	0.33931	0.32468	1.02367	1.74576	737.87428	4.53943					1	AD	Passing	SYNC		
SBMP_20180325_S11_4_BRUV	1	S11_4_SBMP_20180325_BRUV_L427 (1).MP4	970	S10_2_SBMP_20180325_BRUV_R428 (1).MP4	719	0.53943		-1	-49.23882	-29.6316	-725.06834	0.33493	0.32015	0.99522	0.31334	727.34214	4.6826					1	AD	Passing	SYNC 1		
SBMP_20180325_S11_4_BRUV	2	S11_4_SBMP_20180325_BRUV_L427 (1).MP4	4180	S10_2_SBMP_20180325_BRUV_R428 (1).MP4	3929	2.32454	Soak time	0.97653	-317.64786	-226.63901	-806.40873	0.56788	0.47814	1.14639	1.69678	895.85738	25.98582	Labridae	Halichoeres	brownfieldi	37384108	4	AD	Passing			
SBMP_20180325_S11_4_BRUV	3	S11_4_SBMP_20180325_BRUV_L427 (1).MP4	20662	S10_2_SBMP_20180325_BRUV_R428 (1).MP4	20411	11.49037	Soak time	10.14235	-61.74992	-97.67298	-459.8226	0.21318	0.22006	0.39194	0.05729	474.12012	14.34465	Monacanthidae	Monacanthus	chinensis	37465009	1	AD	Passing			
SBMP_20180325_S11_4_BRUV	5	S11_4_SBMP_20180325_BRUV_L427 (1).MP4	29249	S10_2_SBMP_20180325_BRUV_R428 (1).MP4	28998	16.26569	Soak time	14.91768	-276.37988	-5.20083	-1905.57694	1.23905	0.8209	6.61958	1.99793	1925.52236	8.26394	Tetraodontidae	Lagocephalus	lunaris	37467012	1	AD	Passing			
SBMP_20180325_S11_4_BRUV	7	S11_4_SBMP_20180325_BRUV_L427 (1).MP4	33552	S10_2_SBMP_20180325_BRUV_R428 (1).MP4	33301	18.65864	Soak time	17.31063	-685.21961	-78.26417	-1311.31167	1.61515	0.59115	2.98941	1.76229	1481.61719	27.77495	Mullidae	Upeneus	tragula	37355014	1	AD	Passing			
SBMP_20180325_S11_4_BRUV	8	S11_4_SBMP_20180325_BRUV_L427 (1).MP4	33552	S10_2_SBMP_20180325_BRUV_R428 (1).MP4	33301	18.65864	Soak time	17.31063	-675.7682	-156.41353	-1315.95862	1.60231	0.6656	3.01695	4.26851	1487.5735	27.85799	Mullidae	Upeneus	tragula	37355014	1	AD	Passing			
SBMP_20180325_S11_4_BRUV	9	S11_4_SBMP_20180325_BRUV_L427 (2).MP4	7438	S10_2_SBMP_20180325_BRUV_R428 (2).MP4	7187	24.03179	Soak time	22.68377	-433.13429	-57.28962	-1372.97366	1.20865	0.61117	3.50539	1.18055	1440.81369	17.69101	Labridae	Choerodon	cephalotes	37384004	1	AD	Passing			
SBMP_20180325_S11_4_BRUV	10	S11_4_SBMP_20180325_BRUV_L427 (2).MP4	8371	S10_2_SBMP_20180325_BRUV_R428 (2).MP4	8120	24.55064	Soak time	23.20262	-666.94374	-100.75664	-1396.08078	1.7144	0.65021	3.48647	2.63956	1550.48619	25.83068	Labridae	Choerodon	cauteroma	37384005	1	AD	Passing			
SBMP_20180325_S11_4_BRUV	11	S11_4_SBMP_20180325_BRUV_L427 (2).MP4	8444	S10_2_SBMP_20180325_BRUV_R428 (2).MP4	8193	24.59123	Soak time	23.24322	-901.8759	-275.18493	-1647.41945	2.50434	1.01925	4.58328	3.12621	1898.18274	29.86833	Labridae	Choerodon	cauteroma	37384005	1	AD	Passing			
SBMP_20180325_S11_4_BRUV	12	S11_4_SBMP_20180325_BRUV_L427 (2).MP4	27848	S10_2_SBMP_20180325_BRUV_R428 (2).MP4	27597	35.38201	Soak time	34.034	-446.6305	-10.68285	-1431.14998	1.29053	0.62244	3.80708	1.27805	1499.26088	17.34557	Labridae	Choerodon	cyanodus	37384072	1	AD	Passing			
SBMP_20180325_S11_4_BRUV	13	S11_4_SBMP_20180325_BRUV_L427 (2).MP4	27849	S10_2_SBMP_20180325_BRUV_R428 (2).MP4	27598	35.38257	Soak time	34.03456	-529.46089	-105.71182	-1229.21128	1.25718	0.58039	2.74808	1.75941	1342.55882	23.76917	Labridae	Choerodon	cyanodus	37384072	1	AD	Passing			
