OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
SBMP_20180325_S10_1_BRUV	0	0	1470.33457	563.78855	850.55762	542.37885
SBMP_20180325_S10_1_BRUV	1	0	429.44238	926.56388	27.36059	839.73568
SBMP_20180325_S10_1_BRUV	2	0	435.39033	1059.77974	11.89591	959.86784
SBMP_20180325_S10_1_BRUV	3	0	1660.66914	846.87225	1222.89963	854.00881
SBMP_20180325_S10_1_BRUV	4	0	1505.42751	337.77974	1290.70632	359.11013
SBMP_20180325_S10_1_BRUV	4	1	1811.74721	314.58590	1610.11152	347.21586
SBMP_20180325_S10_1_BRUV	5	0	205.79926	345.52423	126.09665	283.08370
SBMP_20180325_S10_1_BRUV	5	1	467.50929	292.00000	368.77323	249.77974
SBMP_20180325_S10_1_BRUV	6	0	141.56134	396.07930	8.32714	349.69163
SBMP_20180325_S10_1_BRUV	7	0	303.34572	934.88987	9.51673	837.35683
SBMP_20180325_S10_1_BRUV	8	0	896.00372	546.41850	325.94796	497.20705
SBMP_20180325_S10_1_BRUV	8	1	1215.76208	701.76211	597.76952	686.92070
SBMP_20180325_S10_1_BRUV	9	0	1463.19703	393.70044	925.50186	375.85903
SBMP_20180325_S10_1_BRUV	10	0	190.33457	729.11894	16.65428	645.85903
SBMP_20180325_S10_1_BRUV	11	0	147.50929	1003.87665	9.51673	893.25991
SBMP_20180325_S10_1_BRUV	12	0	585.58364	542.57709	85.05576	462.88546
SBMP_20180325_S10_1_BRUV	12	1	787.81413	641.89427	322.97398	578.25991
SBMP_20180325_S10_1_BRUV	13	0	1340.66914	922.99559	11.89591	837.35683
SBMP_20180325_S10_1_BRUV	14	0	1146.76580	727.92952	522.23048	676.78414
SBMP_20180325_S10_1_BRUV	15	0	637.62082	498.37004	435.39033	462.68722
SBMP_20180325_S10_1_BRUV	16	0	556.01115	279.06608	249.81413	240.06608
SBMP_20180325_S10_1_BRUV	16	1	826.64312	400.38767	465.72491	360.79295
SBMP_20180325_S10_1_BRUV	17	0	626.43494	279.90749	399.42751	238.48018
SBMP_20180325_S10_1_BRUV	17	1	1245.08550	447.62115	928.08550	446.37004
SBMP_20180325_S10_1_BRUV	18	0	22.60223	420.07930	29.73978	345.26432
SBMP_20180325_S10_1_BRUV	18	1	443.71747	451.59912	433.01115	399.38326
SBMP_20180325_S10_1_BRUV	19	0	1196.07435	417.35242	848.76580	407.91189
SBMP_20180325_S10_1_BRUV	19	1	1425.66543	426.86784	1061.70260	434.07930
SBMP_20180325_S10_1_BRUV	20	0	409.21933	638.72247	51.15242	568.54626
SBMP_20180325_S10_1_BRUV	21	0	79.80149	554.88423	10.71960	495.34730
SBMP_20180325_S10_1_BRUV	22	0	486.20818	335.06167	184.38662	280.01762
SBMP_20180325_S10_1_BRUV	22	1	737.80669	466.49339	367.58364	427.50661
SBMP_20180325_S10_1_BRUV	23	0	579.33086	516.21145	329.51673	474.58150
SBMP_20180325_S10_1_BRUV	24	0	813.68030	524.53744	270.03717	463.87665
SBMP_20180325_S10_1_BRUV	25	0	1381.71004	168.30396	1368.02974	185.55066
SBMP_20180325_S10_1_BRUV	25	1	1846.84015	111.80617	1833.75465	145.70485
SBMP_20180325_S10_1_BRUV	26	0	1210.59851	312.22467	1119.40520	315.19824
SBMP_20180325_S10_1_BRUV	26	1	1755.43123	192.09251	1663.04833	225.99119
SBMP_20180325_S10_1_BRUV	27	0	1550.03717	584.00881	1463.19703	613.74449
SBMP_20180325_S10_1_BRUV	28	0	544.83271	598.28194	327.13755	545.94714
SBMP_20180325_S10_1_BRUV	29	0	550.78067	553.08370	311.67286	494.80176
SBMP_20180325_S10_1_BRUV	29	1	770.85502	619.69163	498.43866	585.19824
SBMP_20180325_S10_1_BRUV	30	0	41.68734	497.13561	1.19107	407.65601
SBMP_20180325_S10_1_BRUV	30	1	179.85112	493.56340	141.73697	422.54024
SBMP_20180325_S10_1_BRUV	31	0	589.57816	489.39361	244.16873	433.42889
SBMP_20180325_S10_1_BRUV	32	0	1501.85874	404.85022	974.15613	408.38767
SBMP_20180325_S10_1_BRUV	32	1	1748.69888	335.86344	1220.99628	353.07930
SBMP_20180325_S10_1_BRUV	33	0	929.34201	512.49780	364.49071	464.38767
SBMP_20180325_S10_1_BRUV	33	1	1115.51301	613.59912	580.40149	580.95154
SBMP_20180325_S10_1_BRUV	34	0	568.83643	450.00881	71.37546	377.87225
SBMP_20180325_S10_1_BRUV	34	1	800.80669	609.98678	300.37175	542.60793
SBMP_20180325_S10_1_BRUV	35	0	1201.95167	397.24670	779.21933	375.30837
SBMP_20180325_S10_1_BRUV	35	1	1322.69517	550.08811	851.78439	541.23348
SBMP_20180325_S10_1_BRUV	36	0	684.18216	524.79295	319.40520	465.52423
SBMP_20180325_S10_1_BRUV	36	1	801.35688	657.41410	391.37546	599.33480
SBMP_20180325_S10_1_BRUV	37	0	1634.14392	249.45976	1403.67246	264.34399
SBMP_20180325_S10_1_BRUV	37	1	1771.11663	208.97464	1575.78164	234.57552
SBMP_20180325_S10_1_BRUV	38	0	1169.42432	420.15877	940.47891	419.22822
SBMP_20180325_S10_1_BRUV	38	1	1373.09677	407.65601	1126.88089	415.65601
SBMP_20180325_S10_1_BRUV	39	0	1005.65261	273.69791	801.12407	263.83682
SBMP_20180325_S10_1_BRUV	39	1	1164.66005	254.05072	961.91811	253.71555
SBMP_20180325_S10_1_BRUV	40	0	1369.52357	217.73319	1148.91563	216.80265
SBMP_20180325_S10_1_BRUV	40	1	1568.43176	209.39802	1341.86849	227.51929
SBMP_20180325_S10_1_BRUV	41	0	884.10670	196.47189	597.02481	169.08490
SBMP_20180325_S10_1_BRUV	41	1	1066.93548	97.64057	797.12407	81.56560
SBMP_20180325_S10_1_BRUV	42	0	1048.42680	156.58214	729.02978	136.33958
SBMP_20180325_S10_1_BRUV	42	1	1205.05211	269.10695	905.30769	257.19956
SBMP_20180325_S10_1_BRUV	43	0	1047.23573	269.70232	783.81886	258.39030
SBMP_20180325_S10_1_BRUV	43	1	1204.45658	145.86549	948.78164	138.72106
SBMP_20180325_S10_1_BRUV	44	0	555.46650	609.54576	12.50620	527.34950
SBMP_20180325_S10_1_BRUV	44	1	796.65757	557.15325	251.31514	490.43660
SBMP_20180325_S10_1_BRUV	45	0	467.32754	385.09151	15.48387	307.65821
SBMP_20180325_S10_1_BRUV	45	1	694.22581	340.43881	241.78660	289.79713
SBMP_20180325_S10_1_BRUV	46	0	1265.90819	509.36053	1015.90323	515.74862
SBMP_20180325_S10_1_BRUV	46	1	1389.18362	483.16428	1153.47146	502.05513
SBMP_20180325_S10_1_BRUV	47	0	1742.53102	299.42558	1593.64764	340.83572
SBMP_20180325_S10_1_BRUV	47	1	1891.41439	314.30981	1768.73449	367.62734
SBMP_20180325_S10_1_BRUV	48	0	1636.52605	352.45865	1409.03226	358.41235
SBMP_20180325_S10_1_BRUV	49	0	575.20596	266.13010	188.78412	213.06725
SBMP_20180325_S10_1_BRUV	49	1	756.84367	286.37266	422.23325	245.81257
SBMP_20180325_S10_1_BRUV	50	0	478.13400	334.00221	185.80645	273.19956
SBMP_20180325_S10_1_BRUV	50	1	687.16625	203.02095	381.14144	169.00992
SBMP_20180325_S10_1_BRUV	51	0	592.47643	375.67806	136.37717	310.70783
SBMP_20180325_S10_1_BRUV	51	1	780.66501	509.04079	388.28784	451.21499
SBMP_20180325_S10_1_BRUV	52	0	761.91811	449.45424	432.92556	410.72657
SBMP_20180325_S10_1_BRUV	52	1	907.22829	611.39471	584.19107	568.49945
SBMP_20180325_S10_1_BRUV	53	0	731.54591	388.72657	346.57320	339.87762
SBMP_20180325_S10_1_BRUV	53	1	919.73449	484.58104	532.97519	444.66262
SBMP_20180325_S10_1_BRUV	54	0	773.20844	272.03859	428.03722	234.92282
SBMP_20180325_S10_1_BRUV	54	1	978.66749	354.19956	656.12655	328.99118
SBMP_20180325_S10_1_BRUV	55	0	817.87345	261.32194	440.54342	227.77839
SBMP_20180325_S10_1_BRUV	55	1	974.49876	284.54135	639.45161	260.52370
SBMP_20180325_S10_1_BRUV	56	0	920.90074	388.73098	590.61787	359.35502
SBMP_20180325_S10_1_BRUV	56	1	1133.50620	451.24476	809.17866	430.20397
SBMP_20180325_S10_1_BRUV	57	0	817.27792	354.19956	420.29529	310.53473
SBMP_20180325_S10_1_BRUV	57	1	979.85856	463.15215	573.94293	427.22712
SBMP_20180325_S10_1_BRUV	58	0	1000.14640	242.55899	619.23077	212.61632
SBMP_20180325_S10_1_BRUV	58	1	1112.70223	357.46527	774.06948	336.45314
