Sample,Site,Latitude,Longitude,Location,Date,Depth,Time,Successful.count,Successful.length,Observer,Observer.length,Status,DBCA_Zone,,
SBMP_20180323_NSB_1_BRUV,NSB,-26.158576,113.186245,Shark Bay,20180323,3,14:35:00,Yes,Yes,Lauren Peel,Caprice,Fished,General Use (IUCN II),,1
SBMP_20180323_NSB_2_BRUV,NSB,-26.160241,113.186084,Shark Bay,20180323,2.4,14:40:00,Yes,Yes,Lauren Peel,Caprice,Fished,General Use (IUCN II),,1
SBMP_20180323_NSB_3_BRUV,NSB,-26.161193,113.187988,Shark Bay,20180323,2.6,14:46:00,Yes,Yes,Lauren Peel,Caprice,Fished,General Use (IUCN II),,1
SBMP_20180323_NSB_4_BRUV,NSB,-26.162403,113.189886,Shark Bay,20180323,2,14:55:00,Yes,Yes,Lauren Peel,Caprice,Fished,General Use (IUCN II),,1
SBMP_20180323_NSB_5_BRUV,NSB,-26.163592,113.191447,Shark Bay,20180323,1.5,15:04:00,Yes,Yes,Lauren Peel,Caprice,Fished,General Use (IUCN II),,1
SBMP_20180323_S2_1_BRUV,S2,-26.127264,113.255097,Shark Bay,20180323,4,15:40:00,Yes,Yes,Caprice,Tanika,Fished,General Use (IUCN II),,1
SBMP_20180323_S2_2_BRUV,S2,-26.129878,113.254575,Shark Bay,20180323,4,15:42:00,Yes,Yes,Caprice,Tanika,Fished,General Use (IUCN II),,1
SBMP_20180323_S2_3_BRUV,S2,-26.13226,113.253877,Shark Bay,20180323,4,15:44:00,Yes,Yes,Caprice,Tanika,Fished,General Use (IUCN II),,1
SBMP_20180323_WCR_2_BRUV,WCR,-26.151625,113.210978,Shark Bay,20180323,2.4,15:20:00,Yes,Yes,Lauren Peel,Caprice,Fished,General Use (IUCN II),,1
SBMP_20180323_WCR_4_BRUV,WCR,-26.147302,113.210275,Shark Bay,20180323,3.5,15:34:00,Yes,Yes,Lauren Peel,Caprice,Fished,General Use (IUCN II),,1
SBMP_20180323_WCR_5_BRUV,WCR,-26.145545,113.21014,Shark Bay,20180323,3.4,15:35:00,Yes,Yes,Lauren Peel,Caprice,Fished,General Use (IUCN II),,1
SBMP_20180324_H2_1_BRUV,H2,-25.974165,113.1879,Shark Bay,20180324,2,13:47:00,Yes,Yes,Lauren Peel,Caprice,Fished,General Use (IUCN II),,1
