OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
SBMP_20180325_S10_1_BRUV	1.09	2024 05 20 11:58:07	F:\SBMP_201803_BRUV_Seagrass\SBMP_BRUV_20180325\S10\S10_1\	S10_1_SBMP_20180325_BRUV.EMObs
SBMP_20180325_S11_4_BRUV	1.09	2024 05 20 11:58:07	F:\SBMP_201803_BRUV_Seagrass\SBMP_BRUV_20180325\S10\S10_2\	S10_2_SBMP_20180325_BRUV.EMObs
SBMP_20180325_S10_3_BRUV	1.09	2024 05 20 11:58:07	F:\SBMP_201803_BRUV_Seagrass\SBMP_BRUV_20180325\S10\S10_3\	S10_3_SBMP_20180325_BRUV.EMObs
SBMP_20180325_S10_4_BRUV	1.09	2024 05 20 11:58:07	F:\SBMP_201803_BRUV_Seagrass\SBMP_BRUV_20180325\S10\S10_4\	S10_4_SBMP_20180325_BRUV.EMObs
SBMP_20180325_S10_5_BRUV	1.09	2024 05 20 11:58:07	F:\SBMP_201803_BRUV_Seagrass\SBMP_BRUV_20180325\S10\S10_5\	S10_5_SBMP_20180325_BRUV.EMObs
SBMP_20180325_S11_1_BRUV	1.09	2024 05 20 11:58:07	F:\SBMP_201803_BRUV_Seagrass\SBMP_BRUV_20180325\S11\S11_1\	S11_1_SBMP_20180325_BRUV.EMObs
SBMP_20180325_S11_2_BRUV	1.09	2024 05 20 11:58:07	F:\SBMP_201803_BRUV_Seagrass\SBMP_BRUV_20180325\S11\S11_2\	S11_2_SBMP_20180325_BRUV.EMObs
SBMP_20180325_S11_3_BRUV	1.09	2024 05 20 11:58:07	F:\SBMP_201803_BRUV_Seagrass\SBMP_BRUV_20180325\S11\S11_3\	S11_3_SBMP_20180325_BRUV.EMObs
SBMP_20180325_S10_2_BRUV	1.09	2024 05 20 11:58:07	F:\SBMP_201803_BRUV_Seagrass\SBMP_BRUV_20180325\S11\S11_4\	S11_4_SBMP_20180325_BRUV.EMObs
SBMP_20180325_S11_5_BRUV	1.09	2024 05 20 11:58:07	F:\SBMP_201803_BRUV_Seagrass\SBMP_BRUV_20180325\S11\S11_5\	S11_5_SBMP_20180325_BRUV.EMObs
SBMP_20180325_S12_1_BRUV	1.09	2024 05 20 11:58:07	F:\SBMP_201803_BRUV_Seagrass\SBMP_BRUV_20180325\S12\S12_1\	S12_1_SBMP_20180325_BRUV.EMObs
SBMP_20180325_S12_2_BRUV	1.09	2024 05 20 11:58:07	F:\SBMP_201803_BRUV_Seagrass\SBMP_BRUV_20180325\S12\S12_2\	S12_2_SBMP_20180325_BRUV.EMObs
