OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
SBMP_20200320_H1-1_BRUV	Caprice	2.08	Reef	Date	2020-03-20	Time	13:37:57.000	Location	Shark Bay	Site	H1	Status	General Use	Latitude	-25.9796588	Longitude	113.1894586	Visibility	
SBMP_20200320_H1-2_BRUV	Caprice	2.5	Reef	Date	2020-03-20	Time	13:45:41.000	Location	Shark Bay	Site	H1	Status	General Use	Latitude	-25.981332	Longitude	113.1907119	Visibility	
SBMP_20200320_H1-3_BRUV	Caprice	2.3	Reef	Date	2020-03-20	Time	13:51:38.000	Location	Shark Bay	Site	H1	Status	General Use	Latitude	-25.98392787	Longitude	113.1906729	Visibility	
SBMP_20200320_H1-4_BRUV	Caprice	1.9	Reef	Date	2020-03-20	Time	13:57:00.000	Location	Shark Bay	Site	H1	Status	General Use	Latitude	-25.98624175	Longitude	113.1910889	Visibility	
SBMP_20200320_H1-5_BRUV	Caprice	1.2	Reef	Date	2020-03-20	Time	13:09:48.000	Location	Shark Bay	Site	H1	Status	General Use	Latitude	-25.98535563	Longitude	113.1884574	Visibility	
SBMP_20200320_H1-6_BRUV	Caprice	1.3	Reef	Date	2020-03-20	Time	13:16:03.000	Location	Shark Bay	Site	H1	Status	General Use	Latitude	-25.98209118	Longitude	113.18743	Visibility	
SBMP_20200320_H2-1_BRUV	Caprice	1.3	Reef	Date	2020-03-20	Time	15:26:33.000	Location	Shark Bay	Site	H2	Status	General Use	Latitude	-25.9741854	Longitude	113.1878252	Visibility	
SBMP_20200320_H2-2_BRUV	Caprice	1.6	Reef	Date	2020-03-20	Time	15:30:42.000	Location	Shark Bay	Site	H2	Status	General Use	Latitude	-25.97378422	Longitude	113.1869056	Visibility	
SBMP_20200320_H2-3_BRUV	Caprice	1.6	Reef	Date	2020-03-20	Time	15:34:17.000	Location	Shark Bay	Site	H2	Status	General Use	Latitude	-25.97325348	Longitude	113.1852645	Visibility	
SBMP_20200320_H2-4_BRUV	Caprice	2.1	Reef	Date	2020-03-20	Time	15:41:02.000	Location	Shark Bay	Site	H2	Status	General Use	Latitude	-25.97141432	Longitude	113.1853399	Visibility	
SBMP_20200320_H2-5_BRUV	Caprice	2.2	Reef	Date	2020-03-20	Time	15:45:17.000	Location	Shark Bay	Site	H2	Status	General Use	Latitude	-25.97108815	Longitude	113.1832498	Visibility	
SBMP_20200320_H2-6_BRUV	Caprice	2.6	Reef	Date	2020-03-20	Time	15:48:58.000	Location	Shark Bay	Site	H2	Status	General Use	Latitude	-25.96965792	Longitude	113.1814385	Visibility	
SBMP_20200320_S8-10_BRUV	Caprice	4.9	Seagrass	Date	2020-03-20	Time	15:58:21.000	Location	Shark Bay	Site	S8	Status	General Use	Latitude	-25.95238876	Longitude	113.1968964	Visibility	
SBMP_20200320_S8-1_BRUV	Caprice	4	Seagrass	Date	2020-03-20	Time		Location	Shark Bay	Site	S8	Status	General Use	Latitude	-25.92486386	Longitude	113.1875366	Visibility	
SBMP_20200320_S8-2_BRUV	Caprice	4.8	Seagrass	Date	2020-03-20	Time	15:27:34.000	Location	Shark Bay	Site	S8	Status	General Use	Latitude	-25.92706615	Longitude	113.1914353	Visibility	
SBMP_20200320_S8-3_BRUV	Caprice	5.2	Seagrass	Date	2020-03-20	Time	15:30:28.000	Location	Shark Bay	Site	S8	Status	General Use	Latitude	-25.92970741	Longitude	113.1939649	Visibility	
SBMP_20200320_S8-4_BRUV	Caprice	7	Seagrass	Date	2020-03-20	Time	15:33:57.000	Location	Shark Bay	Site	S8	Status	General Use	Latitude	-25.93196922	Longitude	113.1964499	Visibility	
SBMP_20200320_S8-5_BRUV	Caprice	7.5	Seagrass	Date	2020-03-20	Time	15:39:36.000	Location	Shark Bay	Site	S8	Status	General Use	Latitude	-25.93451376	Longitude	113.1996939	Visibility	
SBMP_20200320_S8-6_BRUV	Caprice	4.8	Seagrass	Date	2020-03-20	Time	15:45:41.000	Location	Shark Bay	Site	S8	Status	General Use	Latitude	-25.93937591	Longitude	113.1925513	Visibility	
SBMP_20200320_S8-7_BRUV	Caprice	4.9	Seagrass	Date	2020-03-20	Time	15:48:04.000	Location	Shark Bay	Site	S8	Status	General Use	Latitude	-25.941541	Longitude	113.1935929	Visibility	
SBMP_20200320_S8-8_BRUV	Caprice	6.2	Seagrass	Date	2020-03-20	Time	15:51:18.000	Location	Shark Bay	Site	S8	Status	General Use	Latitude	-25.94466959	Longitude	113.1964499	Visibility	
SBMP_20200320_S8-9_BRUV	Caprice	5	Seagrass	Date	2020-03-20	Time	15:54:53.000	Location	Shark Bay	Site	S8	Status	General Use	Latitude	-25.94828923	Longitude	113.1967029	Visibility	
SBMP_20200321_S2-1_BRUV	Caprice	3.6	Seagrass	Date	2020-03-21	Time	08:01:11.000	Location	Shark Bay	Site	S2	Status	General Use	Latitude	-26.13686914	Longitude	113.252885	Visibility	
SBMP_20200321_S2-2_BRUV	Caprice	4	Seagrass	Date	2020-03-21	Time	08:05:13.000	Location	Shark Bay	Site	S2	Status	General Use	Latitude	-26.13379636	Longitude	113.2538671	Visibility	
SBMP_20200321_S2-3_BRUV	Caprice	3.9	Seagrass	Date	2020-03-21	Time	08:08:26.000	Location	Shark Bay	Site	S2	Status	General Use	Latitude	-26.12968938	Longitude	113.2552659	Visibility	
SBMP_20200321_S2-4_BRUV	Caprice	3.4	Seagrass	Date	2020-03-21	Time	08:11:12.000	Location	Shark Bay	Site	S2	Status	General Use	Latitude	-26.12605858	Longitude	113.255742	Visibility	
SBMP_20200321_S2-5_BRUV	Caprice	4.1	Seagrass	Date	2020-03-21	Time	08:13:59.000	Location	Shark Bay	Site	S2	Status	General Use	Latitude	-26.12230129	Longitude	113.256367	Visibility	
SBMP_20200321_S3-1_BRUV	Caprice	2.9	Seagrass	Date	2020-03-21	Time	08:22:45.000	Location	Shark Bay	Site	S3	Status	General Use	Latitude	-26.10511451	Longitude	113.2521708	Visibility	
SBMP_20200321_S3-2_BRUV	Caprice	2.9	Seagrass	Date	2020-03-21	Time	08:26:03.000	Location	Shark Bay	Site	S3	Status	General Use	Latitude	-26.10154322	Longitude	113.2503553	Visibility	
SBMP_20200321_S3-3_BRUV	Caprice	2.8	Seagrass	Date	2020-03-21	Time	08:28:40.000	Location	Shark Bay	Site	S3	Status	General Use	Latitude	-26.09859875	Longitude	113.2486068	Visibility	
SBMP_20200321_S3-4_BRUV	Caprice	2.8	Seagrass	Date	2020-03-21	Time	08:31:58.000	Location	Shark Bay	Site	S3	Status	General Use	Latitude	-26.09422007	Longitude	113.2467912	Visibility	
SBMP_20200321_S4-1_BRUV	Caprice	4.2	Seagrass	Date	2020-03-21	Time	10:03:02.000	Location	Shark Bay	Site	S4	Status	General Use	Latitude	-26.07417891	Longitude	113.2317529	Visibility	
SBMP_20200321_S4-2_BRUV	Caprice	3.8	Seagrass	Date	2020-03-21	Time	10:06:05.000	Location	Shark Bay	Site	S4	Status	General Use	Latitude	-26.07044101	Longitude	113.2310053	Visibility	
SBMP_20200321_S4-3_BRUV	Caprice	3.6	Seagrass	Date	2020-03-21	Time	10:08:50.000	Location	Shark Bay	Site	S4	Status	General Use	Latitude	-26.06809147	Longitude	113.2296169	Visibility	
SBMP_20200321_S4-4_BRUV	Caprice	3.4	Seagrass	Date	2020-03-21	Time	10:10:33.000	Location	Shark Bay	Site	S4	Status	General Use	Latitude	-26.06574194	Longitude	113.2286558	Visibility	
SBMP_20200321_S4-5_BRUV	Caprice	3.7	Seagrass	Date	2020-03-21	Time	10:13:06.000	Location	Shark Bay	Site	S4	Status	General Use	Latitude	-26.0634992	Longitude	113.2278014	Visibility	
SBMP_20200321_S5-1_BRUV	Caprice	3.1	Seagrass	Date	2020-03-21	Time	10:28:41.000	Location	Shark Bay	Site	S5	Status	General Use	Latitude	-26.0559433	Longitude	113.2653139	Visibility	
SBMP_20200321_S5-2_BRUV	Caprice	3.4	Seagrass	Date	2020-03-21	Time	10:31:34.000	Location	Shark Bay	Site	S5	Status	General Use	Latitude	-26.05311317	Longitude	113.2669692	Visibility	
SBMP_20200321_S5-3_BRUV	Caprice	3.4	Seagrass	Date	2020-03-21	Time	10:34:17.000	Location	Shark Bay	Site	S5	Status	General Use	Latitude	-26.05017625	Longitude	113.2688382	Visibility	
SBMP_20200321_S5-4_BRUV	Caprice	3.5	Seagrass	Date	2020-03-21	Time	10:37:15.000	Location	Shark Bay	Site	S5	Status	General Use	Latitude	-26.04792016	Longitude	113.2703867	Visibility	
SBMP_20200321_SBD-1_BRUV	Caprice	2.3	Reef	Date	2020-03-21	Time	08:05:50.000	Location	Shark Bay	Site	SBD	Status	General Use	Latitude	-26.15499415	Longitude	113.1818924	Visibility	
SBMP_20200321_SBD-2_BRUV	Caprice	4.8	Reef	Date	2020-03-21	Time	08:09:30.000	Location	Shark Bay	Site	SBD	Status	General Use	Latitude	-26.1534154	Longitude	113.1801386	Visibility	
SBMP_20200321_SBD-3_BRUV	Caprice	2.7	Reef	Date	2020-03-21	Time	08:13:51.000	Location	Shark Bay	Site	SBD	Status	General Use	Latitude	-26.15277133	Longitude	113.1766747	Visibility	
SBMP_20200321_SBD-4_BRUV	Caprice	3.5	Reef	Date	2020-03-21	Time	08:17:26.000	Location	Shark Bay	Site	SBD	Status	General Use	Latitude	-26.15251918	Longitude	113.1743821	Visibility	
SBMP_20200321_SBD-5_BRUV	Caprice	3.7	Reef	Date	2020-03-21	Time	08:21:14.000	Location	Shark Bay	Site	SBD	Status	General Use	Latitude	-26.1503412	Longitude	113.1723404	Visibility	
SBMP_20200321_SBD-6_BRUV	Caprice	2.8	Reef	Date	2020-03-21	Time	08:26:33.000	Location	Shark Bay	Site	SBD	Status	General Use	Latitude	-26.14556775	Longitude	113.1689267	Visibility	
SBMP_20200321_SP1-1_BRUV	Caprice	3.6	Reef	Date	2020-03-21	Time	11:32:36.000	Location	Shark Bay	Site	SP1	Status	Sanctuary	Latitude	-26.12782347	Longitude	113.1881637	Visibility	
SBMP_20200321_SP1-2_BRUV	Caprice	2.5	Reef	Date	2020-03-21	Time	11:35:55.000	Location	Shark Bay	Site	SP1	Status	Sanctuary	Latitude	-26.12873678	Longitude	113.1858881	Visibility	
SBMP_20200321_SP1-3_BRUV	Caprice	4	Reef	Date	2020-03-21	Time	11:39:23.000	Location	Shark Bay	Site	SP1	Status	Sanctuary	Latitude	-26.12708488	Longitude	113.1836729	Visibility	
