OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
SBMP_20200320_H1-1_BRUV	0	H1-1_L22_02.MP4	50781	H1-1_R21_03.MP4	47023	14.11994	Soak time	2.93182	135.01616	5.24742	3.32912	1606.66641	20.15351	52.52052	2.30539	431.51164	-346.72931	-1508.29488	Mullidae	Upeneus	tragula	37355014	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	1	H1-1_L22_02.MP4	59246	H1-1_R21_03.MP4	55488	16.47368	Soak time	5.28556	226.26406	1.54234	5.49259	1608.95500	9.84276	3.13143	1.68101	-215.70773	-170.64164	-1585.27215	Lethrinidae	Lethrinus	laticaudis	37351006	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	3	H1-1_L22_02.MP4	59858	H1-1_R21_03.MP4	56100	16.64385	Soak time	5.45573	164.82892	0.89214	1.63794	927.09064	15.35044	15.88847	6.93021	-42.95913	-241.63236	-894.01643	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	4	H1-1_L22_02.MP4	59858	H1-1_R21_03.MP4	56100	16.64385	Soak time	5.45573	174.45385	1.96781	5.58153	994.16813	13.53669	45.14179	3.41668	-160.81999	-168.18910	-966.55038	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	5	H1-1_L22_02.MP4	59858	H1-1_R21_03.MP4	56100	16.64385	Soak time	5.45573	87.27637	1.09978	2.44243	1174.96181	17.02104	5.28297	12.99908	-236.79228	-249.44511	-1123.49535	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	6	H1-1_L22_02.MP4	59858	H1-1_R21_03.MP4	56100	16.64385	Soak time	5.45573	83.05460	1.56947	3.53618	1108.61200	14.72783	22.45081	3.16856	248.67060	-132.65231	-1072.18788	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	7	H1-1_L22_02.MP4	59858	H1-1_R21_03.MP4	56100	16.64385	Soak time	5.45573	171.70914	4.03005	10.87483	1296.11021	22.64275	83.69793	5.43996	410.59810	-283.53473	-1196.21024	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	8	H1-1_L22_02.MP4	59858	H1-1_R21_03.MP4	56100	16.64385	Soak time	5.45573	147.75199	1.92180	9.70559	1078.32858	8.44366	34.37510	8.53907	-31.44710	-155.18414	-1066.64028	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	9	H1-1_L22_02.MP4	59858	H1-1_R21_03.MP4	56100	16.64385	Soak time	5.45573	204.21011	4.41260	7.56681	1612.57317	21.06676	41.41388	0.24998	-534.05995	-225.32683	-1504.79235	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	10	H1-1_L22_02.MP4	59858	H1-1_R21_03.MP4	56100	16.64385	Soak time	5.45573	204.46167	3.53663	1.38909	1125.90788	8.45136	80.82754	2.27718	-126.67365	-106.46852	-1113.68164	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	11	H1-1_L22_02.MP4	59933	H1-1_R21_03.MP4	56175	16.66470	Soak time	5.47658	173.44274	2.87992	3.68782	1265.48785	13.50645	41.57647	12.33962	-139.91700	-260.34477	-1230.48906	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	12	H1-1_L22_02.MP4	59933	H1-1_R21_03.MP4	56175	16.66470	Soak time	5.47658	91.44276	1.16891	2.25789	1115.24361	12.41992	11.66836	10.10924	209.29992	-117.16122	-1089.14421	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	13	H1-1_L22_02.MP4	60058	H1-1_R21_03.MP4	56300	16.69946	Soak time	5.51134	176.51849	1.79461	5.04084	1338.50003	23.26626	2.63708	12.72328	485.60404	-209.10982	-1229.65204	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	15	H1-1_L22_02.MP4	69867	H1-1_R21_03.MP4	66109	19.42691	Soak time	8.23879	96.24293	1.41566	1.02814	1023.53738	23.51274	30.21016	24.84962	278.27892	-298.83958	-938.55448	Pseudochromidae	Labracinus	lineatus	37313003	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	16	H1-1_L22_02.MP4	70223	H1-1_R21_03.MP4	66465	19.52590	Soak time	8.33777	905.72694	7.99538	18.31776	1630.48017	16.30302	79.94442	9.90293	-342.26918	-303.88279	-1564.91937	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	17	H1-1_L22_02.MP4	70248	H1-1_R21_03.MP4	66490	19.53285	Soak time	8.34473	216.69669	5.79630	4.83403	1572.64836	12.61575	59.95787	0.47733	-240.81274	-244.93013	-1534.67955	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	19	H1-1_L22_02.MP4	77429	H1-1_R21_03.MP4	73671	21.52956	Soak time	10.34144	59.67043	2.77089	4.77251	1325.92082	13.09196	35.14998	15.42396	-231.47933	-191.36794	-1291.45718	Scorpididae	Microcanthus	strigatus		1	AD	Passing			
SBMP_20200320_H1-1_BRUV	20	H1-1_L22_03.MP4	15198	H1-1_R21_04.MP4	11440	26.78231	Soak time	15.59419	59.68439	2.88081	2.58635	1190.49059	27.49511	70.84809	0.21319	519.36750	-179.82377	-1056.02494	Pomacentridae	Abudefduf	bengalensis	37372003	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	21	H1-1_L22_03.MP4	27664	H1-1_R21_04.MP4	23906	30.24855	Soak time	19.06043	187.48129	4.03461	4.21538	1841.70313	14.19574	22.92451	6.37029	-413.57448	-181.50616	-1785.46411	Labridae	Choerodon	cephalotes	37384004	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	22	H1-1_L22_03.MP4	35404	H1-1_R21_04.MP4	31646	32.40070	Soak time	21.21258	67.57422	1.13304	0.77183	788.85442	19.10925	41.20468	5.36553	142.46132	-215.39870	-745.38545	Pomacentridae	Neopomacentrus	aktites	37372090	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	23	H1-1_L22_03.MP4	35404	H1-1_R21_04.MP4	31646	32.40070	Soak time	21.21258	51.82072	0.69979	2.82824	835.01401	18.12051	0.35249	17.30239	204.97124	-159.47604	-793.60102	Pomacentridae	Neopomacentrus	aktites	37372090	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	24	H1-1_L22_03.MP4	35404	H1-1_R21_04.MP4	31646	32.40070	Soak time	21.21258	53.79045	1.06842	1.58129	970.93679	21.99163	15.24077	13.87689	290.27928	-218.93833	-900.29006	Pomacentridae	Neopomacentrus	aktites	37372090	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	25	H1-1_L22_03.MP4	35418	H1-1_R21_04.MP4	31660	32.40459	Soak time	21.21647	47.24945	0.90147	1.42279	908.95434	26.49720	0.98360	4.42515	327.51907	-239.14174	-813.47432	Pomacentridae	Neopomacentrus	aktites	37372090	1	AD	Passing			
