OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
131	0	0	1477.1564	564.26966	370.04739	564.26966
131	0	1	1643.98104	594.60674	536.87204	594.60674
142	0	0	1477.1564	709.88764	288.15166	706.85393
142	0	1	1580.28436	555.16854	397.34597	561.23596
142	1	0	398.17062	958.65169	470.20853	884.64607
142	1	1	160.82464	989.74719	241.96209	908.1573
142	2	0	1289.09953	931.34831	488.34123	928.31461
142	2	1	533.83886	1019.32584	21.23223	958.65169
145	0	0	1446.82464	573.37079	269.95261	576.40449
145	0	1	1580.28436	679.55056	412.51185	685.61798
145	1	0	1031.27962	473.25843	800.75829	464.1573
145	1	1	700.66351	524.83146	436.77725	485.39326
145	2	0	627.8673	394.38202	794.69194	367.07865
145	2	1	806.82464	418.65169	958.48341	388.31461
145	3	0	867.48815	855.50562	363.98104	810
145	3	1	403.41232	867.64045	18.19905	806.96629
145	4	0	1002.82938	623.24157	935.53081	618.20225
145	4	1	1058.94313	611.10674	1028.04265	606.06742
145	5	0	0	516.75281	78.10427	447.90449
145	5	1	90.99526	546.33146	200.94787	498.7191
74	0	0	1480.18957	685.61798	285.11848	679.55056
74	0	1	1601.51659	682.58427	406.4455	673.48315
74	1	0	1167.77251	958.65169	1000.94787	952.58427
74	1	1	1173.83886	1046.62921	879.62085	1073.93258
74	2	0	1428.62559	937.41573	1185.97156	949.55056
74	2	1	1562.08531	901.01124	1355.82938	916.17978
83	0	0	1474.12322	673.48315	276.01896	673.48315
83	0	1	1598.48341	679.55056	397.34597	685.61798
83	1	0	899.52607	894.03371	620.59242	861.85955
83	1	1	677.34597	906.92697	412.06161	862.61798
83	2	0	619.66825	927.55618	341.10427	875.22472
83	2	1	848.67299	997.33146	497.3128	959.41011
83	3	0	1449.35071	917.48315	1117.3981	925.6573
83	3	1	1726.88626	999.39326	1335.78673	1033.35393
83	4	0	504.26066	826.68539	290.42654	770.89326
83	4	1	163.02844	843.37079	0	773.92697
83	5	0	1722.8436	780.34831	1579.75355	800.14045
83	5	1	1466.63033	803.40449	1334.06635	815.30899
94	0	0	1586.35071	558.20225	388.24645	558.20225
94	0	1	1483.22275	706.85393	279.05213	703.82022
94	1	0	920.85782	970.02809	455.30806	931.6573
94	1	1	688.81991	968.51124	206.58768	918.76404
94	2	0	377.03791	296.69663	463.64455	272.83146
94	2	1	270.87678	267.8764	357.48341	245.52809
94	3	0	499.26066	302.44382	635.01896	272.83146
94	3	1	437.83886	296.3764	573.59716	272.83146
94	4	0	266.41232	325.0618	450.19431	300.16292
94	4	1	201.19905	290.17416	397.11374	271.3427
94	5	0	1142.16114	532.61236	1267.37915	508.93258
94	5	1	1072.3981	518.96067	1201.40758	493.76404
94	6	0	1637.32227	615.79775	1830.52133	619.52247
94	6	1	1726.04265	660.54494	1919.24171	670.79213
94	7	0	1549.38863	814.46629	1361.01896	832.60112
94	7	1	1611.56872	970.70225	1291.25592	995.66292
94	8	0	1031.31754	913.90449	685.62085	897.97753
94	8	1	1249.70616	999.60674	900.21801	995.81461
95	0	0	1474.12322	685.61798	312.41706	682.58427
95	0	1	1601.51659	685.61798	430.7109	685.61798
95	1	0	1230.18957	580.88764	672.84834	528.19663
95	1	1	960.99526	473.94944	761.56872	428.8427
95	2	0	1342.48815	645.70787	807.37441	621.82584
95	2	1	1126.37441	578.20787	891.54502	542.19101
130	0	0	1507.48815	788.76404	172.891	822.13483
130	0	1	1650.04739	910.11236	312.41706	952.58427
130	1	0	1665.21327	891.91011	979.71564	946.51685
130	1	1	1853.27014	813.03371	1431.65877	882.80899
130	2	0	1498.38863	925.2809	1049.47867	1004.1573
130	2	1	1883.6019	846.40449	1322.46445	913.14607
130	3	0	432.56398	639.76404	662.49763	684.61236
130	3	1	473.73934	628.67416	703.4455	677.78652
144	0	0	1437.72512	882.80899	148.62559	922.24719
144	0	1	1610.61611	916.17978	336.68246	958.65169
144	1	0	990.72038	922	1007.30332	978.37079
144	1	1	971.00474	940.20225	982.27962	996.57303
144	2	0	1.51659	956.02809	38.67299	962.44382
144	2	1	149.38389	916.58989	167.58294	925.2809
144	3	0	145.59242	967.75281	45.49763	982.92135
144	3	1	497.44076	934.38202	360.94787	964.7191
144	4	0	799.42654	968.51124	752.47867	1013.25843
144	4	1	709.94787	958.65169	666.79147	996.57303
146	0	0	1461.99052	861.57303	175.92417	897.97753
146	0	1	1637.91469	901.01124	357.91469	946.51685
75	0	0	1465.0237	861.57303	181.99052	904.04494
75	0	1	1631.84834	901.01124	363.98104	934.38202
75	1	0	1736.49289	583.8764	1650.08057	634.91011
75	1	1	1839.62085	677.92135	1722.11848	744.88202
89	0	0	1458.95735	864.60674	163.79147	901.01124
89	0	1	1622.74882	894.94382	351.84834	934.38202
89	1	0	1824.45498	658.85955	1624.59242	715.23596
89	1	1	1655.35545	659.61798	1420.61137	715.99438
89	2	0	1648.53081	697.69663	1264.22275	756.58427
89	2	1	1867.67773	737.89326	1443.18009	799.81461
96	0	0	1431.65877	867.64045	145.59242	916.17978
96	0	1	1604.54976	901.01124	333.64929	946.51685
96	1	0	537.76777	774.24719	430.01896	810.12921
96	1	1	394.45024	767.42135	288.9763	802.54494
96	2	0	1717.53555	827.17416	1651.16114	904.03371
96	2	1	1610.61611	815.03933	1560.92417	906.30899
96	3	0	1083	736.14045	1047.1327	785.92697
96	3	1	904.80095	762.68539	843.15166	812.47191
96	4	0	473.17062	752.91011	395.39336	783.65169
96	4	1	305.58768	761.25281	209.61137	791.23596
96	5	0	1118.67299	734.92135	986.59716	780.61798
96	5	1	854.02844	703.82584	715.12796	754.07303
96	6	0	226.94787	849.82584	20.47393	872.71348
96	6	1	108.65403	761.08989	3.03318	787.76966
96	7	0	148.62559	623.24719	216.11374	662.11236
96	7	1	21.99052	666.47753	115.26066	700.03371
96	8	0	239.14692	340.85393	542.48815	401.88202
96	8	1	160.28436	317.3427	484.85782	390.50562
96	9	0	248.9763	399.54494	569.42654	462.64607
96	9	1	294.47393	413.95506	606.58294	471.74719
96	10	0	740.09479	1022.35955	333.64929	992.02247
96	10	1	1292.1327	955.61798	831.09005	1025.39326
129	0	0	1565.11848	810	251.75355	834.26966
129	0	1	1692.51185	797.86517	382.18009	837.30337
137	0	0	1510.52133	810	212.32227	834.26966
137	0	1	1643.98104	800.89888	342.74882	831.23596
137	1	0	1822.93839	825.16854	1904.83412	879.77528
137	1	1	1659.14692	797.86517	1768.34123	825.16854
143	0	0	1552.98578	806.96629	239.62085	834.26966
143	0	1	1677.34597	797.86517	373.08057	834.26966
143	1	0	316.66351	1070.89888	283.2654	1025.39326
143	1	1	356.85308	1004.91573	373.50237	954.85955
143	2	0	1570.71564	610.5618	1828.24645	617.05618
143	2	1	1386.45024	612.07865	1645.49763	611.74719
81	0	0	1513.5545	700.78652	188.05687	715.95506
81	0	1	1668.24645	816.06742	345.78199	837.30337
81	1	0	1631.84834	897.97753	916.01896	1019.32584
81	1	1	1088.90995	573.37079	451.94313	588.53933
85	0	0	1531.75355	810	221.4218	822.13483
85	0	1	1662.18009	810	351.84834	837.30337
85	1	0	1007.01422	925.2809	549.00474	913.14607
85	1	1	1003.98104	543.03371	679.43128	552.13483
98	0	0	1571.18483	803.93258	242.65403	834.26966
98	0	1	1701.61137	794.83146	373.08057	831.23596
98	1	0	1580.00948	954.10112	1166.98578	986.71348
98	1	1	1351.76303	1050.42135	963.76303	1067.10674
98	2	0	1461.11848	960.92697	1196.29384	974.85393
98	2	1	1223.01422	1004.91573	957.43128	1014.29213
98	3	0	1491.88626	993.53933	1218.94787	1020.49438
98	3	1	1243.16588	996.57303	1034.68246	1015.94382
98	4	0	1313.109	621.96067	1298.53555	627.23596
98	4	1	1214.53081	613.61798	1202.99052	612.82584
98	5	0	1704.64455	822.13483	1370.99526	870.67416
98	5	1	1841.13744	530.89888	1668.24645	552.13483
93	0	0	233.5545	861.57303	1568.15166	831.23596
93	0	1	348.81517	700.78652	1674.3128	670.44944
93	1	0	1471.09005	612.80899	1556.01896	609.77528
93	1	1	1832.03791	573.37079	1874.50237	570.33708
93	2	0	1095.46919	691.89326	1074.70142	690.86517
93	2	1	1012.81517	725.26404	954.1327	728.02809
138	0	0	1549.95261	664.38202	315.45024	676.51685
138	0	1	1680.37915	676.51685	439.81043	691.68539
138	1	0	652.87204	582.89326	368.10427	587.14045
138	1	1	739.31754	583.65169	471.99052	584.86517
149	0	0	1546.91943	679.55056	327.58294	691.68539
149	0	1	1674.3128	679.55056	451.94313	700.78652
149	1	0	1196.20853	667.96067	822.25118	676.96067
149	1	1	1298.5782	633.07303	981.49289	642.07303
149	2	0	928.70616	201.44944	991.74882	209.23596
149	2	1	1018.94313	234.0618	1088.81043	233.50562
149	3	0	66.72986	7.58427	144.07583	50.05618
149	3	1	0	25.78652	1.51659	99.35393
149	4	0	876.58768	494.49438	552.03791	506.62921
149	4	1	803.79147	191.1236	633.93365	194.1573
149	5	0	1628.81517	455.05618	1286.06635	464.1573
149	5	1	1425.59242	324.60674	1243.6019	324.60674
80	0	0	1543.88626	682.58427	321.51659	697.75281
80	0	1	1674.3128	691.68539	451.94313	700.78652
80	1	0	1269.59242	576.72472	1643.98104	586.97191
80	1	1	1314.33175	572.93258	1698.5782	584.69663
80	2	0	1234.01422	575.41011	1648.63033	584.17416
80	2	1	1265.86256	573.13483	1685.78673	584.17416
80	3	0	590.45498	593.93258	831.23697	599.17416
80	3	1	573.77251	594.69101	813.03791	597.6573
80	4	0	782.55924	988.98876	384.71564	982.92135
80	4	1	1119.24171	1028.42697	606.13744	1011.74157
80	5	0	797.28436	896.11236	399.01896	894.18539
80	5	1	700.98104	1018.2191	229.91943	995.81461
101	0	0	330.61611	697.75281	1546.91943	691.68539
101	0	1	458.00948	706.85393	1683.41232	691.68539
101	1	0	1610.8673	394	1270.11848	399.24157
101	1	1	1506.98104	378.07303	1178.36493	388.6236
101	2	0	303.31754	682.58427	882.65403	700.78652
101	2	1	670.33175	970.78652	1556.01896	949.55056
101	3	0	1082.8436	758.42697	1468.05687	737.19101
101	3	1	776.49289	655.2809	1101.04265	627.97753
101	4	0	727.96209	503.59551	864.45498	488.42697
101	4	1	1016.11374	567.30337	1131.37441	561.23596
101	5	0	688.53081	579.4382	1195.07109	576.40449
101	5	1	245.6872	579.4382	985.78199	573.37079
101	6	0	1209.91469	506.75843	1093.1327	500.16854
101	6	1	1297.87678	516.61798	1183.36967	510.78652
136	0	0	324.54976	679.55056	1552.98578	676.51685
136	0	1	451.94313	694.7191	1686.4455	676.51685
136	1	0	1443.32227	414.67978	1447.89573	415.10112
136	1	1	1576.0237	416.19663	1557.84834	411.30899
136	2	0	933.08531	260.06742	684.19905	254.82584
136	2	1	990.71564	245.6573	738.03791	234.34831
136	3	0	344.33175	608.7809	464.07583	609.77528
136	3	1	473.24171	476.81461	491.70616	496.00562
148	0	0	321.51659	688.65169	1556.01896	694.7191
148	0	1	451.94313	706.85393	1695.54502	688.65169
148	1	0	253.27014	688.43258	128.15166	713.7191
148	1	1	118.29384	742.2809	9.85782	756.94944
148	2	0	316.40284	629.1236	225.97156	635.38764
148	2	1	213.27488	541.90449	28.05687	544.3764
99	0	0	312.41706	694.7191	1549.95261	691.68539
99	0	1	436.77725	706.85393	1683.41232	688.65169
132	0	0	1543.88626	752.35955	233.5545	734.1573
132	0	1	1677.34597	746.29213	363.98104	737.19101
132	1	0	1090.45972	217.17416	897.2891	234.41573
132	1	1	1000.98104	214.89888	807.05213	232.89888
135	0	0	1553.14692	1039.04494	1104.37441	1072.41573
135	0	1	1752.5782	1038.28652	1246.17536	1069.38202
135	1	0	1767.58294	451.93258	1722.8436	452.29775
135	1	1	1803.98104	402.63483	1806.25592	398.44944
135	2	0	1149.57346	406.51685	1361.89573	421.68539
135	2	1	1537.81991	303.37079	1780.47393	291.23596
135	3	0	668.56398	540.75281	846.60664	562.55056
135	3	1	733.77725	539.23596	905.75355	551.17416
147	0	0	1549.95261	761.46067	251.75355	749.32584
147	0	1	1677.34597	761.46067	379.14692	764.49438
147	1	0	1432.13744	880.55056	1119.21327	896.41011
147	1	1	1320.66825	824.42697	1070.68246	840.28652
147	2	0	726.72038	670.16854	693.22749	668.88764
147	2	1	653.16588	639.83146	640.14692	619.58989
147	3	0	1177.83886	543	946.01422	561.82584
147	3	1	1227.12796	518.73034	1010.46919	539.83146
147	4	0	1431.65877	1052.69663	958.48341	1067.86517
147	4	1	1525.6872	946.51685	1140.47393	970.78652
147	5	0	1146.04265	928.72472	794.47867	943.92697
147	5	1	907.93839	993.94944	548.06161	994.29775
147	6	0	1337.63033	740.22472	1216.30332	758.42697
147	6	1	1277.33649	696.96629	1237.53555	697.75281
147	7	0	691.5782	746.72472	562.96209	742.83146
147	7	1	551.29384	723.97191	465.90047	663.19663
77	0	0	1540.85308	737.19101	260.85308	758.42697
77	0	1	1680.37915	740.22472	397.34597	758.42697
77	1	0	231.27962	681.96629	231.27962	688.64045
77	1	1	67.48815	651.62921	97.06161	662.09551
77	2	0	710.47867	125.89888	394.87204	166.99438
77	2	1	785.54976	93.28652	560.93839	128.31461
77	3	0	1126.53081	128.41573	929.95735	146.31461
77	3	1	1187.95261	126.14045	1043.70142	142.52247
77	4	0	626.63507	6.82584	485.47393	59.91573
77	4	1	795.7346	15.16854	661.3981	56.1236
77	5	0	996.2654	34.12921	844.95735	62.19101
77	5	1	1078.91943	25.78652	955.66825	50.81461
77	6	0	1461.37915	15.92697	1356.80095	12.89326
77	6	1	1576.63981	6.06742	1489.50237	0
77	7	0	67.48815	124.28652	93.27014	194.18539
77	7	1	433.74408	230.46629	327.58294	276.09551
91	0	0	1528.72038	752.35955	272.98578	761.46067
91	0	1	1668.24645	746.29213	412.51185	767.52809
91	1	0	1500.48815	972.30337	1755.45024	1029.18539
91	1	1	1574.04265	992.7809	1850.99526	1061.03933
91	2	0	1074.82938	998.84831	1135.50711	1019.32584
91	2	1	1159	988.98876	1217.40284	1014.77528
91	3	0	1219.66825	1032.97753	1319.81043	1065.58989
91	3	1	1058.15166	1024.63483	1156.01896	1042.07865
92	0	0	1531.75355	627.97753	263.88626	649.21348
92	0	1	1677.34597	749.32584	415.54502	767.52809
92	1	0	1069.19431	760.93258	1285.77725	784.44382
92	1	1	1001.70616	770.79213	1217.53081	788.99438
92	2	0	1121.88152	1021.60112	966.58768	1039.80337
92	2	1	1228.04265	1028.42697	1027.25118	1049.66292
92	3	0	725.82938	817.3764	954.88152	828.03371
92	3	1	769.81043	815.85955	995.07109	827.27528
92	4	0	727.1564	837.13483	947.3981	845.20787
92	4	1	796.16114	858.37079	1010.33649	870.23596
92	5	0	831.36967	920.68539	795.6019	930.27528
92	5	1	719.14218	918.41011	714.46445	918.14045
92	6	0	44.73934	930.3764	72.03791	901.26404
92	6	1	130.42654	913.69101	202.46445	886.85393
92	7	0	958.88152	1003.39888	968.44076	1029.94382
92	7	1	1162.86256	1017.05056	1132.99052	1031.46067
92	8	0	488.41232	787.94382	737.14692	793.89888
92	8	1	531.63507	767.46629	779.61137	771.90449
92	9	0	468.23697	779.52247	712.12322	783.58427
92	9	1	533.45024	764.35393	768.99526	770.69101
180	0	0	1480.18957	676.51685	279.05213	679.55056
180	0	1	1601.51659	685.61798	406.4455	688.65169
182	0	0	1471.09005	640.11236	285.11848	634.04494
182	0	1	1598.48341	631.01124	412.51185	637.07865
182	1	0	1337.63033	291.23596	788.62559	263.93258
182	1	1	912.98578	15.16854	236.58768	21.23596
69	0	0	1483.22275	682.58427	291.18483	676.51685
69	0	1	1610.61611	679.55056	415.54502	673.48315
69	1	0	487.12322	906.79775	510.77251	850.87079
69	1	1	606.93365	880.25281	629.82464	833.42697
69	2	0	1210.37915	545.30337	1417.23697	529.20787
