OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
131	Lainey			Lights	Yes	CATAMI_Sup	"low - Moderate relief, 70% rock covered in biota, 30% coarse sand veneer over rock"	CATAMI_biota	"Soft coral, sponge"										
142	Lainey		underscored - couldn't really ID schooling fish in far background 	Lights	Yes	CATAMI_Sup	"Moderate - High relief, rock covered in biota"	CATAMI_biota	Soft coral dominated										
145	Lainey			Lights	Yes	CATAMI_Sup	"Low relief, bedrock covered in biota"	CATAMI_biota	"Soft coral, sponge"										
74	Lainey			Survey - Project	Yes	Bait Type	"Low - moderate relief, 60% coarse sand, 40% rock covered in biota"	Camera Type	"Brittle stars, soft coral"	Camera Pair		Lights		Drop Date		Bait Arm Length		Camera Hight	
83	Lainey		Poor visibility 	Lights	Yes	CATAMI_Sup	"low relief, coarse sand veneer over bedrock"	CATAMI_biota	"sponges, soft corals, brittle stars"										
94	Lainey			Lights	Yes	CATAMI_Sup	"Low-moderate relief, coarse sand veneer over rock"	CATAMI_biota	"Brittle stars, sponge"										
95	Lainey			Lights	Yes	CATAMI_Sup	"Flat - Low relief, coarse sand forming 2D parallel waves"	CATAMI_biota	"not much benthic, but appears to be lots of krill in the water column "										
130	Lainey			Lights	Yes	CATAMI_Sup	"Low relief, coarse sand/biogenic gravel forming 3D waves, with interspersed boulders "	CATAMI_biota	hard to see...sea whips?										
144	Lainey			Lights	Yes	CATAMI_Sup	"Low relief, coarse sand veneer over rock forming 3D ripples "	CATAMI_biota	Sponge										
146	Lainey		"I think frame has fallen backwards, facing up."	Lights	Yes	CATAMI_Sup	"Low-Moderaterelief, 60% rock covered in biota, 40% coarse sand veneer over rock"	CATAMI_biota	sponge										
75	Lainey			Lights	Yes	CATAMI_Sup	"Low relief, rock covered in biota"	CATAMI_biota	Brittle stars										
89	Lainey		Cam looks a little zoomed in maybe?	Lights	Yes	CATAMI_Sup	"Low relief, coarse sand forming 3D waves"	CATAMI_biota	Nil...										
96	Lainey			Lights	Yes	CATAMI_Sup	"Low-Moderate relief, 80% coarse sand veneer over rock, 20% rock covered in biota"	CATAMI_biota	"Sponge, brittle star"										
129	Lainey			Lights	Yes	CATAMI_Sup	"Moderate-High relief, rock covered in biota"	CATAMI_biota	Sponge										
137	Lainey		No bait bag	Lights	Yes	CATAMI_Sup	"Moderate - High relief, rock covered in biota"	CATAMI_biota	"Soft coral,  sponge dominated"										
143	Lainey			Lights	Yes	CATAMI_Sup	"Flat-Low relief, biogenic gravel/coarse sand forming 3D waves"	CATAMI_biota											
81	Lainey		Bad vis	Lights	Yes	CATAMI_Sup	"High relief, rock covered in biota"	CATAMI_biota	"Sponge, sea whips"										
85	Lainey		"Frame has fallen back, facing up into water column"	Lights	Yes	CATAMI_Sup	"Low-moderate relief, bedrock covered in biota"	CATAMI_biota	"soft corals, sponge"										
98	Lainey		"Cam cuts out 8mins from end, nothing new observed from cam 287 during the additional  time"	Lights	Yes	CATAMI_Sup	"Moderate-high relief, bedrock covered in biota"	CATAMI_biota	"Sponge, soft coral and brittle star dominated"										
93	Lainey		"Both cams - Video stops at ~34min (FT), using cam 287 'cause it runs slighty longer"	Lights	Yes	CATAMI_Sup	"Moderate relief, bedrock covered in biota"	CATAMI_biota	"Sponge, brittle star"										
138	Lainey			Lights	Yes	CATAMI_Sup	"Flat - Low relief, coarse sand forming 2D parrallel waves"	CATAMI_biota											
149	Lainey			Lights	Yes	CATAMI_Sup	"Low - High relief, 75% biogenic gravel/coarse sand veneer over bedrock, 25% rock covered in biota"	CATAMI_biota	"Sponge, "										
80	Lainey			Lights	Yes	CATAMI_Sup	"Flat-High relief, 65% coarse sand forming 3D ripples, 35% rock covered in biota"	CATAMI_biota											
101	Lainey		"Using cam 405, 404 is blurry/obscured"	Lights	Yes	CATAMI_Sup	"Flat-Low relief, 30% rock covered in biota, 70% sand forming 2D ripples"	CATAMI_biota	Soft corals										
136	Lainey		Cam 404 bit out of focus/blurry - using 405	Lights	YEs	CATAMI_Sup	"Moderate - high relief, rock covered in Biota"	CATAMI_biota	"Soft coral, sponge"										
148	Lainey		Using cam 405 - cam 404 is blurry	Lights	Yes	CATAMI_Sup	"Moderate-High relief, bedrock covered in biota"	CATAMI_biota	"Sponge, soft coral"										
