OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
131	0	TasFracture_20150430_282_283_282_131.avi	3977	TasFracture_20150430_282_283_283_131.avi	3848	2.65133	NA	-1	69.04404	0.41224	0.68913	771.79356	3.43473	0.74094	11.11957	41.68645	-20.00761	-770.40718	Unknown	Unknown	spp	NA	1	NA	NA	Diode	NA	NA
142	0	TasFracture_20150430_282_283_282_142.avi	5264	TasFracture_20150430_282_283_283_142.avi	4608	3.50933	NA	-1	70.39929	0.38757	1.07373	736.64473	3.19921	1.65089	53.22595	11.83802	-39.36925	-735.49669	Unknown	Unknown	spp	NA	1	NA	NA	Diode	NA	NA
142	1	TasFracture_20150430_282_283_282_142.avi	34019	TasFracture_20150430_282_283_283_142.avi	33363	22.67933	Bottom time	19.018	285.69995	5.6495	4.94275	2782.10248	19.14096	29.95576	1.32919	-766.79711	-494.15653	-2628.29332	Moridae	Pseudophycis	barbata	37224003	1	AD	Attracted	NA	NA	NA
142	2	TasFracture_20150430_282_283_282_142.avi	56231	TasFracture_20150430_282_283_283_142.avi	55575	37.48733	Bottom time	33.826	480.44795	1.24144	3.77513	1148.23912	15.6018	36.14986	8.92591	-202.97112	-232.74859	-1105.93123	Moridae	Pseudophycis	bachus	37224006	1	AD	Feeding	NA	NA	NA
145	0	TasFracture_20150430_282_283_282_145.avi	4245	TasFracture_20150430_282_283_283_145.avi	4795	2.83	NA	-1	68.40096	0.39641	1.44545	742.40565	3.00468	6.15892	38.50644	8.74048	-37.92076	-741.38503	Unknown	Unknown	spp	NA	1	NA	NA	Diode	NA	NA
145	1	TasFracture_20150430_282_283_282_145.avi	45316	TasFracture_20150430_282_283_283_145.avi	45866	30.21067	Bottom time	27.08533	302.19002	1.62192	4.67817	1640.40879	4.85013	18.7755	5.32504	-130.93905	45.73374	-1634.53492	Moridae	Pseudophycis	bachus	37224006	1	AD	Attracted	NA	NA	NA
145	2	TasFracture_20150430_282_283_282_145.avi	45316	TasFracture_20150430_282_283_283_145.avi	45866	30.21067	Bottom time	27.08533	310.007	5.03909	2.25803	3412.11219	5.29028	15.30155	9.27595	-179.2965	258.51021	-3397.57779	Moridae	Pseudophycis	bachus	37224006	1	AD	Attracted	NA	NA	NA
145	3	TasFracture_20150430_282_283_282_145.avi	45326	TasFracture_20150430_282_283_283_145.avi	45876	30.21733	Bottom time	27.092	327.42976	1.39793	3.52355	1367.76995	16.39868	25.69636	2.19802	-336.51535	-189.3874	-1312.12975	Moridae	Pseudophycis	barbata	37224003	1	AD	Feeding	NA	NA	NA
145	4	TasFracture_20150430_282_283_282_145.avi	69985	TasFracture_20150430_282_283_283_145.avi	70535	46.65667	Bottom time	43.53133	160.06104	6.4069	8.54485	2232.32945	3.68225	55.40304	2.64833	115.48021	-84.96138	-2227.72096	Sebastidae	Helicolenus	percoides	37287001	1	AD	Attracted	NA	NA	NA
145	5	TasFracture_20150430_282_283_282_145.avi	69985	TasFracture_20150430_282_283_283_145.avi	70535	46.65667	Bottom time	43.53133	235.79162	8.25037	12.87223	2643.35351	21.71302	83.27546	10.42734	-975.93545	62.41676	-2455.80373	Sebastidae	Helicolenus	percoides	37287001	1	AD	Attracted	NA	NA	NA
