Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment
1,-43.6765,146.8719,20150502,12:22:00,NA,Fished,1,85.686996,Lainey,Yes,Yes,NA
2,-43.6716,146.8755,20150502,12:27:00,NA,Fished,2,96.622002,Lainey,Yes,Yes,NA
5,-43.6735,146.8522,20150502,12:08:00,NA,Fished,5,102.211998,Lainey,Yes,Yes,NA
8,-43.6813,146.6832,20150502,7:35:00,NA,Fished,8,84.773003,Lainey,Yes,Yes,NA
9,-43.691,146.7119,20150502,10:05:00,NA,Fished,9,92.691002,Lainey,Yes,Yes,NA
10,-43.6886,146.6816,20150502,8:46:00,NA,Fished,10,98.579002,Lainey,Yes,Yes,NA
11,-43.6795,146.7059,20150502,9:12:00,NA,Fished,11,76.112999,Jac,Yes,Yes,NA
12,-43.6876,146.6927,20150502,8:50:00,NA,Fished,12,96.126999,Lainey,Yes,Yes,NA
13,-43.6881,146.7132,20150502,10:13:00,NA,Fished,13,69.237999,Jac,Yes,Yes,NA
14,-43.6858,146.6799,20150502,8:43:00,NA,Fished,14,90.380997,Lainey,Yes,Yes,NA
15,-43.6803,146.686,20150502,7:38:00,NA,Fished,15,84.111,Lainey,Yes,Yes,NA
16,-43.6814,146.7067,20150502,10:28:00,NA,Fished,16,76.774002,Lainey,Yes,Yes,NA
17,-43.6828,146.7026,20150502,10:35:00,NA,Fished,17,77.181999,Lainey,Yes,Yes,NA
18,-43.679,146.6764,20150502,7:29:00,NA,Fished,18,84.768997,Lainey,Yes,Yes,NA
19,-43.6887,146.7097,20150502,10:08:00,NA,Fished,19,82.212997,Lainey,Yes,Yes,NA
20,-43.6754,146.6936,20150502,9:08:00,NA,Fished,20,80.929001,Lainey,Yes,Yes,NA
37,-43.6776,146.6594,20150502,7:17:00,NA,Fished,37,97.167999,Lainey,Yes,Yes,NA
38,-43.6808,146.6571,20150502,7:22:00,NA,Fished,38,100.466003,Lainey,Yes,Yes,NA
40,-43.764,146.482,20150429,9:32:00,NA,No-take,40,124.750999,Jac,Yes,Yes,NA
41,-43.7675,146.4762,20150429,9:01:00,NA,No-take,41,133.658005,Jac,Yes,Yes,NA
42,-43.7666,146.4776,20150429,9:18:00,NA,No-take,42,120.457001,Jac,Yes,Yes,NA
49,-43.7503,146.3666,20150429,13:01:00,NA,Fished,49,69.325996,Jac,Yes,Yes,NA
50,-43.7585,146.3767,20150429,10:00:00,NA,Fished,50,94.973,Jac,Yes,Yes,NA
51,-43.7639,146.3688,20150429,11:55:00,NA,Fished,51,88.612999,Jac,Yes,Yes,NA
52,-43.7731,146.3717,20150429,12:04:00,NA,Fished,52,83.175003,Jac,Yes,Yes,NA
53,-43.7511,146.378,20150429,10:14:00,NA,Fished,53,63.801998,Jac,Yes,Yes,NA
54,-43.7755,146.3656,20150429,12:45:00,NA,Fished,54,138.218994,Jac,Yes,Yes,NA
55,-43.7609,146.3703,20150429,11:48:00,NA,Fished,55,95.732002,Jac,Yes,Yes,NA
67,-43.7531,146.3064,20150501,8:05:00,NA,Fished,67,93.676002,Lainey,Yes,Yes,NA
68,-43.755,146.3089,20150501,7:58:00,NA,Fished,68,81.771004,Lainey,Yes,Yes,NA
69,-43.7631,146.3131,20150501,7:35:00,NA,Fished,69,121.889,Lainey,Yes,Yes,NA
74,-43.7513,146.292,20150430,15:12:00,NA,No-take,74,125.691002,Lainey,Yes,Yes,NA
75,-43.7487,146.2933,20150430,14:23:00,NA,No-take,75,123.886002,Lainey,Yes,Yes,NA
76,-43.7557,146.2983,20150501,9:06:00,NA,No-take,76,126.375,Lainey,Yes,Yes,NA
77,-43.7374,146.2908,20150430,12:27:00,NA,No-take,77,129.966003,Lainey,Yes,Yes,NA
78,-43.753,146.2753,20150501,10:28:00,NA,No-take,78,128.938004,Lainey,Yes,Yes,NA
79,-43.7574,146.2935,20150501,9:28:00,NA,No-take,79,142.026993,Jac,Yes,Yes,NA
80,-43.7547,146.2833,20150430,15:43:00,NA,No-take,80,124.774002,Lainey,Yes,Yes,NA
81,-43.7522,146.3,20150430,15:20:00,NA,No-take,81,110.195999,Lainey,Yes,Yes,NA
82,-43.7571,146.282,20150501,9:35:00,NA,No-take,82,140.222,Lainey,Yes,Yes,NA
83,-43.7467,146.2923,20150430,13:57:00,NA,No-take,83,126.394997,Lainey,Yes,Yes,NA
84,-43.7615,146.3031,20150501,7:43:00,NA,No-take,84,140.095001,Lainey,Yes,Yes,NA
85,-43.7458,146.2981,20150430,13:48:00,NA,No-take,85,121.650002,Lainey,Yes,Yes,NA
86,-43.751,146.2955,20150430,15:15:00,NA,No-take,86,123.633003,Lainey,Yes,Yes,NA
87,-43.7553,146.2762,20150501,10:24:00,NA,No-take,87,137.151001,Lainey,Yes,Yes,NA
88,-43.758,146.2993,20150501,7:51:00,NA,No-take,88,127.320999,Lainey,Yes,Yes,NA
89,-43.7423,146.2893,20150430,13:01:00,NA,No-take,89,133.867004,Lainey,Yes,Yes,NA
90,-43.7571,146.3006,20150501,8:56:00,NA,No-take,90,101.011002,Lainey,Yes,Yes,NA
91,-43.7545,146.2904,20150430,16:42:00,NA,No-take,91,131.503006,Lainey,Yes,Yes,NA
92,-43.7467,146.2956,20150430,13:55:00,NA,No-take,92,123.991997,Lainey,Yes,Yes,NA
93,-43.7536,146.2962,20150430,16:37:00,NA,No-take,93,119.529999,Lainey,Yes,Yes,NA
94,-43.7353,146.2913,20150430,12:21:00,NA,No-take,94,126.250999,Lainey,Yes,Yes,NA
95,-43.7562,146.2885,20150430,16:45:00,NA,No-take,95,140.880005,Lainey,Yes,Yes,NA
96,-43.7533,146.2846,20150430,15:39:00,NA,No-take,96,133.975006,Lainey,Yes,Yes,NA
97,-43.7584,146.2769,20150501,10:20:00,NA,No-take,97,141.684006,Lainey,Yes,Yes,NA
98,-43.742,146.2928,20150430,12:30:00,NA,No-take,98,120.268997,Lainey,Yes,Yes,NA
99,-43.7446,146.2902,20150430,13:07:00,NA,No-take,99,133.237,Lainey,Yes,Yes,NA
100,-43.7595,146.3054,20150501,8:52:00,NA,No-take,100,104.416,Lainey,Yes,Yes,NA
101,-43.749,146.2966,20150430,14:19:00,NA,No-take,101,110.57,Lainey,Yes,Yes,NA
129,-43.7165,146.3114,20150430,9:23:00,NA,Fished,129,108.573998,Lainey,Yes,Yes,NA
130,-43.71,146.3127,20150430,8:06:00,NA,Fished,130,99.233002,Lainey,Yes,Yes,NA
131,-43.7107,146.3183,20150430,8:22:00,NA,Fished,131,87.324997,Lainey,Yes,Yes,NA
132,-43.7143,146.3172,20150430,9:28:00,NA,Fished,132,100.690002,Lainey,Yes,Yes,NA
135,-43.7054,146.2933,20150430,8:03:00,NA,Fished,135,107.171997,Lainey,Yes,Yes,NA
136,-43.7045,146.3044,20150430,7:45:00,NA,Fished,136,100.422997,Lainey,Yes,Yes,NA
137,-43.7069,146.3001,20150430,7:57:00,NA,Fished,137,81.886002,Lainey,Yes,Yes,NA
138,-43.7111,146.291,20150430,9:00:00,NA,Fished,138,97.056,Lainey,Yes,Yes,NA
142,-43.7139,146.298,20150430,11:06:00,NA,No-take,142,102.572998,Lainey,Yes,Yes,NA
143,-43.7182,146.2914,20150430,10:50:00,NA,No-take,143,116.967003,Lainey,Yes,Yes,NA
