OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
131	0	Bottom time	TasFracture_20150430_282_283_282_131.avi	4182	2.788				0
142	0	Bottom time	TasFracture_20150430_282_283_282_142.avi	5492	3.66133				0
145	0	Bottom time	TasFracture_20150430_282_283_282_145.avi	4688	3.12533				0
74	0	Bottom time	TasFracture_20150430_282_283_282_74.avi	4927	3.28467				0
83	0	Bottom time	TasFracture_20150430_282_283_282_83.avi	5647	3.76467				0
94	0	Bottom time	TasFracture_20150430_282_283_282_94.avi	6178	4.11867				0
95	0	Bottom time	TasFracture_20150430_282_283_282_95.avi	7565	5.04333				0
130	0	Bottom time	TasFracture_20150430_284_285_284_130.avi	12296	8.19733				0
144	0	Bottom time	TasFracture_20150430_284_285_284_144.avi	6665	4.44333				0
146	0	Bottom time	TasFracture_20150430_284_285_284_146.avi	7646	5.09733				0
75	0	Bottom time	TasFracture_20150430_284_285_284_75.avi	5769	3.846				0
89	0	Bottom time	TasFracture_20150430_284_285_284_89.avi	7198	4.79867				0
96	0	Bottom time	TasFracture_20150430_284_285_284_96.avi	5307	3.538				0
129	0	Bottom time	TasFracture_20150430_286_287_286_129.avi	5245	3.49667				0
137	0	Bottom time	TasFracture_20150430_286_287_286_137.avi	11764	7.84267				0
143	0	Bottom time	TasFracture_20150430_286_287_286_143.avi	6933	4.622				0
81	0	Bottom time	TasFracture_20150430_286_287_286_81.avi	5895	3.93				0
85	0	Bottom time	TasFracture_20150430_286_287_286_85.avi	8065	5.37667				0
98	0	Bottom time	TasFracture_20150430_286_287_286_98.avi	5743	3.82867				0
93	0	Bottom time	TasFracture_20150430_286_287_287_93.avi	4771	3.18067				0
138	0	Bottom time	TasFracture_20150430_404_405_404_138.avi	3792	2.528				0
149	0	Bottom time	TasFracture_20150430_404_405_404_149.avi	5980	3.98667				0
80	0	Bottom time	TasFracture_20150430_404_405_404_80.avi	8278	5.51867				0
101	0	Bottom time	TasFracture_20150430_404_405_405_101.avi	7073	4.71533				0
136	0	Bottom time	TasFracture_20150430_404_405_405_136.avi	8121	5.414				0
148	0	Bottom time	TasFracture_20150430_404_405_405_148.avi	5008	3.33867				0
99	0	Bottom time	TasFracture_20150430_404_405_405_99.avi	8077	5.38467				0
132	0	Bottom time	TasFracture_20150430_4046_407_406_132.avi	5046	3.364				0
135	0	Bottom time	TasFracture_20150430_4046_407_406_135.avi	9684	6.456				0
147	0	Bottom time	TasFracture_20150430_4046_407_406_147.avi	4801	3.20067				0
77	0	Bottom time	TasFracture_20150430_4046_407_406_77.avi	6831	4.554				0
86	0	Bottom time	TasFracture_20150430_4046_407_406_86.avi	4583	3.05533				0
91	0	Bottom time	TasFracture_20150430_4046_407_406_91.avi	5817	3.878				0
92	0	Bottom time	TasFracture_20150430_4046_407_406_92.avi	7981	5.32067				0
180	0	Bottom time	TasFracture_20150501_282_283_282_180.avi	9152	6.10133				0
182	0	Bottom time	TasFracture_20150501_282_283_282_182.avi	4108	2.73867				0
69	0	Bottom time	TasFracture_20150501_282_283_282_69.avi	6424	4.28267				0
87	0	Bottom time	TasFracture_20150501_282_283_282_87.avi	11312	7.54133				0
90	0	Bottom time	TasFracture_20150501_282_283_282_90.avi	5965	3.97667				0
179	0	Bottom time	TasFracture_20150501_284_285_284_179.avi	4006	2.67067				0
184	0	Bottom time	TasFracture_20150501_284_285_284_184.avi	4891	3.26067				0
67	0	Bottom time	TasFracture_20150501_284_285_284_67.avi	4886	3.25733				0
