Sample,Latitude,Longitude,Date,Location,Status,Site,Depth,Observer,Observer.count,Observer.length,Successful.count,Successful.length,ReportID,Year,Comments,Date1,Time
APO_001,-38.92799828,143.5194884,20230513,Apollo CMR,Fished,Apollo CMR,62,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_001,2023,NA,13/05/2023,9:53:00
APO_002,-38.9138801,143.5098785,20230513,Apollo CMR,Fished,Apollo CMR,51,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_002,2023,NA,13/05/2023,9:38:00
APO_003,-38.92494358,143.5159757,20230513,Apollo CMR,Fished,Apollo CMR,56,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_003,2023,NA,13/05/2023,9:51:00
APO_004,-38.91826939,143.5171301,20230513,Apollo CMR,Fished,Apollo CMR,52,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_004,2023,NA,13/05/2023,9:30:00
APO_005,-38.9289975,143.524945,20230513,Apollo CMR,Fished,Apollo CMR,66,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_005,2023,NA,13/05/2023,11:09:00
APO_006,-38.91451806,143.5048102,20230513,Apollo CMR,Fished,Apollo CMR,50,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_006,2023,NA,13/05/2023,9:41:00
APO_007,-38.91446896,143.5174201,20230513,Apollo CMR,Fished,Apollo CMR,50,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_007,2023,NA,13/05/2023,9:35:00
APO_008,-38.91964739,143.5218293,20230513,Apollo CMR,Fished,Apollo CMR,60,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_008,2023,NA,13/05/2023,9:27:00
APO_009,-38.92049873,143.5104578,20230513,Apollo CMR,Fished,Apollo CMR,49,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_009,2023,NA,13/05/2023,9:44:00
APO_010,-38.92656863,143.5080651,20230513,Apollo CMR,Fished,Apollo CMR,55,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_010,2023,NA,13/05/2023,9:47:00
APO_011,-38.93760736,143.5217666,20230513,Apollo CMR,Fished,Apollo CMR,68,Sasha Whitmarsh,Sasha Whitmarsh,Sasha Whitmarsh,Yes,Yes,2023APO_011,2023,Lights,13/05/2023,13:26:00
APO_012,-38.94150569,143.508107,20230511,Apollo CMR,Fished,Apollo CMR,64,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_012,2023,No lights,11/05/2023,13:48:00
APO_013,-38.95304222,143.5166972,20230511,Apollo CMR,Fished,Apollo CMR,72,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_013,2023,NA,11/05/2023,13:31:00
APO_014,-38.9446462,143.5145632,20230511,Apollo CMR,Fished,Apollo CMR,62,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_014,2023,NA,11/05/2023,14:01:00
APO_015,-38.95322675,143.5110588,20230511,Apollo CMR,Fished,Apollo CMR,67,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_015,2023,NA,11/05/2023,13:34:00
APO_016,-38.94471013,143.5032129,20230511,Apollo CMR,Fished,Apollo CMR,62,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_016,2023,NA,11/05/2023,13:41:00
APO_017,-38.94677217,143.5224181,20230511,Apollo CMR,Fished,Apollo CMR,73,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_017,2023,NA,11/05/2023,14:05:00
APO_018,-38.95379492,143.5065876,20230511,Apollo CMR,Fished,Apollo CMR,66,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_018,2023,NA,11/05/2023,13:37:00
APO_019,-38.9383985,143.5047276,20230511,Apollo CMR,Fished,Apollo CMR,58,Scott Gray,Scott Gray,Scott Gray,Yes,Yes,2023APO_019,2023,NA,11/05/2023,13:44:00
