"Sample","Family","Genus","Species","Count","Stage","Caabcode"
11212,"Carcharhinidae","Carcharhinus","amblyrhynchos",1,"AD",37018030
11212,"Carcharhinidae","Carcharhinus","melanopterus",1,"AD",37018036
11212,"Carcharhinidae","Triaenodon","obesus",2,"AD",37018038
11212,"Serranidae","Epinephelus","fuscoguttatus",1,"AD",37311021
11212,"Serranidae","Plectropomus","leopardus",3,"AD",37311078
11212,"Serranidae","Cephalopholis","cyanostigma",2,"AD",37311136
11212,"Echeneidae","Echeneis","naucrates",4,"JUV",37336001
11212,"Carangidae","Caranx","ignobilis",15,"AD",37337027
11212,"Lutjanidae","Lutjanus","carponotatus",2,"AD",37346011
11212,"Caesionidae","Caesio","cuning",20,"AD",37346018
11212,"Caesionidae","Caesio","caerulaurea",3,"AD",37346024
11212,"Haemulidae","Plectorhinchus","multivittatus",1,"AD",37350018
11212,"Lethrinidae","Lethrinus","atkinsoni",1,"AD",37351013
11212,"Chaetodontidae","Coradion","chrysozonus",1,"AD",37365004
11212,"Pomacanthidae","Chaetodontoplus","duboulayi",1,"AD",37365009
11212,"Pomacanthidae","Pomacanthus","sexstriatus",1,"AD",37365010
11212,"Chaetodontidae","Chaetodon","aureofasciatus",1,"AD",37365013
11212,"Chaetodontidae","Chaetodon","auriga",1,"AD",37365019
11212,"Chaetodontidae","Chaetodon","rainfordi",1,"AD",37365053
11212,"Chaetodontidae","Chaetodon","lunulatus",1,"AD",37365059
11212,"Pomacentridae","Abudefduf","bengalensis",2,"AD",37372003
11212,"Pomacentridae","Acanthochromis","polyacanthus",1,"AD",37372015
11212,"Pomacentridae","Hemiglyphidodon","plagiometopon",1,"AD",37372081
11212,"Pomacentridae","Neoglyphidodon","nigroris",2,"AD",37372085
11212,"Pomacentridae","Pomacentrus","moluccensis",7,"AD",37372118
11212,"Labridae","Labroides","dimidiatus",1,"AD",37384028
11212,"Labridae","Oxycheilinus","digramma",1,"AD",37384065
11212,"Labridae","Cheilinus","fasciatus",1,"AD",37384066
11212,"Labridae","Choerodon","fasciatus",3,"AD",37384073
11212,"Labridae","Cirrhilabrus","punctatus",40,"AD",37384083
11212,"Labridae","Epibulus","insidiator",1,"AD",37384104
11212,"Labridae","Scarus","rubroviolaceus",1,"AD",37386028
11212,"Labridae","Chlorurus","sordidus",2,"AD",37386030
11212,"Acanthuridae","Acanthurus","grammoptilus",1,"AD",37437002
11212,"Acanthuridae","Naso","vlamingii",1,"AD",37437032
11212,"Siganidae","Siganus","argenteus",6,"AD",37438007
11212,"Siganidae","Siganus","doliatus",4,"AD",37438009
11212,"Siganidae","Siganus","lineatus",1,"AD",37438010
11212,"Siganidae","Siganus","puellus",2,"AD",37438011
11213,"Carcharhinidae","Galeocerdo","cuvier",1,"AD",37018022
11213,"Carcharhinidae","Carcharhinus","amblyrhynchos",1,"AD",37018030
11213,"Carcharhinidae","Carcharhinus","melanopterus",1,"AD",37018036
11213,"Serranidae","Plectropomus","leopardus",1,"AD",37311078
11213,"Serranidae","Plectropomus","leopardus",3,"JUV",37311078
11213,"Serranidae","Cephalopholis","cyanostigma",1,"AD",37311136
11213,"Pseudochromidae","Pseudochromis","fuscus",1,"AD",37313006
11213,"Echeneidae","Echeneis","naucrates",3,"JUV",37336001
11213,"Carangidae","Turrum","caeruleopinnatum",1,"AD",37337021
11213,"Lutjanidae","Lutjanus","carponotatus",2,"AD",37346011
11213,"Nemipteridae","Scolopsis","regina",1,"AD",37347006
11213,"Nemipteridae","Scolopsis","bilineata",1,"AD",37347031
11213,"Lethrinidae","Lethrinus","laticaudis",8,"JUV",37351006
11213,"Lethrinidae","Lethrinus","microdon",1,"AD",37351011
