"Sample","Latitude","Longitude","Date","Time","Site","Location","Status","Depth","Successful.count","Successful.length","Observer","OpcodeCam","Timeonseabed","Endsamplingtime","Timebaitgone","Visibility","cruisenum","CampaignID"
11221,-11.353397,143.326176,20190124,10:15:28,NA,"11-049 Reef","No-take",6,"Yes","No","Mike Cappo","2019_11-049_7 7",6.48333,67.4,NA,1,"122","Northern GBR 2019"
11232,-13.876661,144.071026,20190114,14:06:13,NA,"13-124 Reef","Fished",5,"Yes","No","Mike Cappo","2019_13124_17 17",4.95,65.13333,NA,6,"123","Northern GBR 2019"
11234,-13.850868,144.069697,20190114,14:38:38,NA,"13-124 Reef","Fished",15,"Yes","No","Mike Cappo","2019_13124_19 19",2.53333,63.68333,NA,7,"123","Northern GBR 2019"
11240,-13.886344,144.070494,20190114,15:46:48,NA,"13-124 Reef","Fished",8.8,"Yes","No","Mike Cappo","2019_13124_24 24",6.63333,67.01667,NA,4,"122","Northern GBR 2019"
11266,-13.902774,144.235009,20190115,10:57:21,NA,"Corbett Reef","No-take",4,"Yes","No","Mike Cappo","2019_Corbett_4 4",3.36666,64.43333,NA,8,"123","Northern GBR 2019"
11272,-13.967163,144.458992,20190109,08:05:02,NA,"Davie Reef","Fished",15,"Yes","No","Mike Cappo","2019_Davie_1 1",5.68333,66.16666,NA,4,"123","Northern GBR 2019"
11282,-13.981746,144.469359,20190109,08:41:01,NA,"Davie Reef","Fished",10,"Yes","No","Mike Cappo","2019_Davie_19 19",7.13333,67.83334,NA,7,"123","Northern GBR 2019"
11293,-13.964661,144.449384,20190109,10:00:55,NA,"Davie Reef","Fished",11,"Yes","No","Mike Cappo","2019_Davie_8 8",9.1,70.81667,NA,1,"123","Northern GBR 2019"
11303,-12.37456,143.760289,20190119,08:46:37,NA,"Lagoon Reef","Fished",9.5,"Yes","No","Mike Cappo","2019_Lagoon_17 17",7.83333,68.61667,NA,3,"122","Northern GBR 2019"
11314,-12.393402,143.740479,20190119,08:50:03,NA,"Lagoon Reef","Fished",13.8,"Yes","No","Mike Cappo","2019_Lagoon_5 5",5.55,66.83334,NA,9,"123","Northern GBR 2019"
11319,-12.336704,143.854373,20190120,08:09:07,NA,"Mantis Reef","No-take",7,"Yes","No","Mike Cappo","2019_Mantis_1 1",12.96667,74.7,NA,10,"122","Northern GBR 2019"
11322,-12.296274,143.885383,20190120,08:36:09,NA,"Mantis Reef","No-take",19,"Yes","No","Mike Cappo","2019_Mantis_15 15",5.78333,66.13333,NA,10,"123","Northern GBR 2019"
11327,-12.325123,143.853726,20190120,08:40:34,NA,"Mantis Reef","No-take",3,"Yes","No","Mike Cappo","2019_Mantis_2 2",15.65,76.63333,NA,4,"122","Northern GBR 2019"
11329,-12.294997,143.888856,20190121,10:22:08,NA,"Mantis Reef","No-take",15,"Yes","No","Mike Cappo","2019_Mantis_21 21",10.08333,70.48333,NA,4,"122","Northern GBR 2019"
11338,-14.191233,144.900076,20190106,15:44:01,NA,"Sandbank1 Reef","No-take",22,"Yes","No","Mike Cappo","2019_SANDBANK1_14 14",5.33333,65.46667,NA,7,"122","Northern GBR 2019"
11345,-14.205086,144.901948,20190106,16:30:15,NA,"Sandbank1 Reef","No-take",10,"Yes","No","Mike Cappo","2019_SANDBANK1_20 20",5.68333,67.48333,37.3,8,"123","Northern GBR 2019"
11351,-14.205962,144.882311,20190106,15:20:44,NA,"Sandbank1 Reef","No-take",7.6,"Yes","No","Mike Cappo","2019_SANDBANK1_5 5",7.08333,68.06667,NA,10,"123","Northern GBR 2019"
11214,-11.362477,143.34809,20190124,11:14:04,NA,"11-049 Reef","No-take",6.4,"Yes","No","Mike Cappo","2019_11-049_11 11",10.46667,70.9,NA,3,"123","Northern GBR 2019"
11220,-11.367063,143.347084,20190124,11:04:30,NA,"11-049 Reef","No-take",5.1,"Yes","No","Mike Cappo","2019_11-049_6 6",7.63333,68.23333,NA,3,"122","Northern GBR 2019"
11225,-13.852793,144.09187,20190114,14:45:23,NA,"13-124 Reef","Fished",7,"Yes","No","Mike Cappo","2019_13124_10 10",6.65,67.81667,NA,7,"123","Northern GBR 2019"
11233,-13.884046,144.067018,20190114,14:14:03,NA,"13-124 Reef","Fished",22,"Yes","No","Mike Cappo","2019_13124_18 18",3.58333,64.01667,NA,5,"122","Northern GBR 2019"
11239,-13.879713,144.068888,20190114,15:32:48,NA,"13-124 Reef","Fished",12,"Yes","No","Mike Cappo","2019_13124_23 23",3.5,64.96667,NA,2,"123","Northern GBR 2019"
11246,-13.867766,144.092721,20190114,14:19:25,NA,"13-124 Reef","Fished",11,"Yes","No","Mike Cappo","2019_13124_8 8",4.93333,65.21667,NA,6,"123","Northern GBR 2019"
11249,-13.888681,144.223878,20190115,10:24:47,NA,"Corbett Reef","No-take",8.8,"Yes","No","Mike Cappo","2019_Corbett_10 10",2.71666,63.85,NA,6,"123","Northern GBR 2019"
11259,-13.90626,144.242653,20190115,11:20:07,NA,"Corbett Reef","No-take",22.3,"Yes","No","Mike Cappo","2019_Corbett_2 2",6.15,66.35,NA,5,"123","Northern GBR 2019"
11269,-13.89435,144.235529,20190115,10:56:40,NA,"Corbett Reef","No-take",15,"Yes","No","Mike Cappo","2019_Corbett_7 7",2.3,63.63334,NA,8,"123","Northern GBR 2019"
11286,-13.984979,144.459322,20190109,11:04:49,NA,"Davie Reef","Fished",10.8,"Yes","No","Mike Cappo","2019_Davie_22 22",6.6,56.43333,NA,2,"122","Northern GBR 2019"
11290,-13.980372,144.43892,20190109,08:41:27,NA,"Davie Reef","Fished",28,"Yes","No","Mike Cappo","2019_Davie_5 5",5.06666,65.88333,NA,3,"123","Northern GBR 2019"
11298,-12.398333,143.751486,20190119,10:57:17,NA,"Lagoon Reef","Fished",17.9,"Yes","No","Mike Cappo","2019_Lagoon_12 12",6.55,66.9,NA,6,"122","Northern GBR 2019"
11332,-12.32359,143.865832,20190120,09:26:46,NA,"Mantis Reef","No-take",9.1,"Yes","No","Mike Cappo","2019_Mantis_5 5",7.31666,67.78333,NA,2,"122","Northern GBR 2019"
11340,-14.192992,144.90652,20190106,16:01:03,NA,"Sandbank1 Reef","No-take",23,"Yes","No","Mike Cappo","2019_SANDBANK1_16 16",6.13333,67.15,NA,8,"123","Northern GBR 2019"
11215,-11.363154,143.351316,20190124,11:27:04,NA,"11-049 Reef","No-take",7.8,"Yes","No","Mike Cappo","2019_11-049_12 12",9.95,70,NA,3,"122","Northern GBR 2019"
11216,-11.360066,143.322517,20190124,10:27:21,NA,"11-049 Reef","No-take",15,"Yes","No","Mike Cappo","2019_11-049_2 2",6.25,67.23333,NA,2,"122","Northern GBR 2019"
11227,-13.851884,144.074016,20190114,15:09:54,NA,"13-124 Reef","Fished",6.7,"Yes","No","Mike Cappo","2019_13124_12 12",2.11666,62.23333,NA,6,"123","Northern GBR 2019"
11242,-13.855737,144.093375,20190114,13:19:58,NA,"13-124 Reef","Fished",8,"Yes","No","Mike Cappo","2019_13124_4 4",6.95,67.51667,NA,4,"123","Northern GBR 2019"
11251,-13.888271,144.218728,20190115,10:05:33,NA,"Corbett Reef","No-take",18,"Yes","No","Mike Cappo","2019_Corbett_12 12",2.38333,62.76667,NA,4,"122","Northern GBR 2019"
11254,-13.894742,144.21633,20190115,08:25:17,NA,"Corbett Reef","No-take",12,"Yes","No","Mike Cappo","2019_Corbett_15 15",7.21666,69.6,NA,1,"123","Northern GBR 2019"
11255,-13.897546,144.213965,20190115,08:33:26,NA,"Corbett Reef","No-take",5,"Yes","No","Mike Cappo","2019_Corbett_16 16",7.75,67.85,NA,5,"122","Northern GBR 2019"
11270,-13.894701,144.229553,20190115,10:48:19,NA,"Corbett Reef","No-take",6.2,"Yes","No","Mike Cappo","2019_Corbett_8 8",6.7,67.53333,NA,7,"122","Northern GBR 2019"
11289,-13.973996,144.441378,20190109,08:32:28,NA,"Davie Reef","Fished",20,"Yes","No","Mike Cappo","2019_Davie_4 4",4.05,64.61667,NA,4,"122","Northern GBR 2019"
11300,-12.368486,143.769161,20190119,08:19:13,NA,"Lagoon Reef","Fished",9,"Yes","No","Mike Cappo","2019_Lagoon_14 14",9.38333,70.51667,NA,6,"123","Northern GBR 2019"
11305,-12.372757,143.764608,20190119,10:29:23,NA,"Lagoon Reef","Fished",3.8,"Yes","No","Mike Cappo","2019_Lagoon_19 19",3.4,64.13333,NA,12,"123","Northern GBR 2019"
11312,-12.391105,143.745713,20190119,08:25:44,NA,"Lagoon Reef","Fished",5.7,"Yes","No","Mike Cappo","2019_Lagoon_3 3",6.1,66.51667,NA,10,"123","Northern GBR 2019"
11321,-12.303346,143.879449,20190120,08:21:35,NA,"Mantis Reef","No-take",25,"Yes","No","Mike Cappo","2019_Mantis_14 14",7.01666,67.61667,NA,3,"123","Northern GBR 2019"
11323,-12.293136,143.891796,20190120,08:48:17,NA,"Mantis Reef","No-take",15,"Yes","No","Mike Cappo","2019_Mantis_16 16",5,68,NA,4,"122","Northern GBR 2019"
11325,-12.283748,143.905194,20190120,09:15:17,NA,"Mantis Reef","No-take",9,"Yes","No","Mike Cappo","2019_Mantis_18 18",3.73333,64.93333,NA,6,"122","Northern GBR 2019"
11337,-14.190448,144.896544,20190106,14:15:49,NA,"Sandbank1 Reef","No-take",18,"Yes","No","Mike Cappo","2019_SANDBANK1_13 13",4.03333,64.46667,NA,6,"122","Northern GBR 2019"
11219,-11.36682,143.340656,20190124,10:54:45,NA,"11-049 Reef","No-take",5.6,"Yes","No","Mike Cappo","2019_11-049_5 5",7.16666,67.56667,NA,3,"123","Northern GBR 2019"
11224,-13.879063,144.093126,20190114,12:49:26,NA,"13-124 Reef","Fished",8,"Yes","No","Mike Cappo","2019_13124_1 1",7.45,67.5,NA,7,"122","Northern GBR 2019"
11226,-13.852077,144.082631,20190114,14:56:22,NA,"13-124 Reef","Fished",9,"Yes","No","Mike Cappo","2019_13124_11 11",5.81666,64.28333,NA,4,"122","Northern GBR 2019"
11250,-13.883372,144.22283,20190115,10:14:25,NA,"Corbett Reef","No-take",23,"Yes","No","Mike Cappo","2019_Corbett_11 11",1.76666,62.16667,15.86667,5,"122","Northern GBR 2019"
11258,-13.893105,144.199638,20190115,08:43:58,NA,"Corbett Reef","No-take",9,"Yes","No","Mike Cappo","2019_Corbett_19 19",2.66666,63.15,NA,4,"123","Northern GBR 2019"
11268,-13.896781,144.238872,20190115,10:38:35,NA,"Corbett Reef","No-take",18.4,"Yes","No","Mike Cappo","2019_Corbett_6 6",22.88333,83.5,NA,7,"123","Northern GBR 2019"
11274,-13.983834,144.439296,20190109,10:45:45,NA,"Davie Reef","Fished",13,"Yes","No","Mike Cappo","2019_Davie_11 11",2.4,63.06667,NA,3,"122","Northern GBR 2019"
11291,-13.98653,144.442854,20190109,08:50:08,NA,"Davie Reef","Fished",7,"Yes","No","Mike Cappo","2019_Davie_6 6",5.03333,65.16666,NA,6,"122","Northern GBR 2019"
11295,-12.382581,143.754795,20190119,07:57:22,NA,"Lagoon Reef","Fished",12.6,"Yes","No","Mike Cappo","2019_Lagoon_1 1",12.5,73.76667,NA,10,"122","Northern GBR 2019"
11310,-12.379958,143.766137,20190119,10:58:46,NA,"Lagoon Reef","Fished",7,"Yes","No","Mike Cappo","2019_Lagoon_23 23",4.15,65.35,NA,10,"123","Northern GBR 2019"
11313,-12.387425,143.74198,20190119,08:38:02,NA,"Lagoon Reef","Fished",19,"Yes","No","Mike Cappo","2019_Lagoon_4 4",4.16666,66.15,NA,11,"122","Northern GBR 2019"
11318,-12.387282,143.746421,20190119,10:02:52,NA,"Lagoon Reef","Fished",10.9,"Yes","No","Mike Cappo","2019_Lagoon_9 9",3.06666,63.45,NA,7,"123","Northern GBR 2019"
11326,-12.306024,143.877828,20190120,09:43:06,NA,"Mantis Reef","No-take",20,"Yes","No","Mike Cappo","2019_Mantis_19 19",6.45,67.38333,NA,4,"123","Northern GBR 2019"
11342,-14.199237,144.90509,20190106,16:15:23,NA,"Sandbank1 Reef","No-take",7,"Yes","No","Mike Cappo","2019_SANDBANK1_18 18",4.15,64.3,NA,2,"122","Northern GBR 2019"
11344,-14.190952,144.886469,20190106,14:41:06,NA,"Sandbank1 Reef","No-take",16,"Yes","No","Mike Cappo","2019_SANDBANK1_2 2",7.58333,68.18333,NA,7,"122","Northern GBR 2019"
11346,-14.207872,144.899903,20190106,14:58:38,NA,"Sandbank1 Reef","No-take",7,"Yes","No","Mike Cappo","2019_SANDBANK1_21 21",5.93333,66.68333,NA,8,"122","Northern GBR 2019"
11350,-14.200065,144.879157,20190106,15:07:26,NA,"Sandbank1 Reef","No-take",8.2,"Yes","No","Mike Cappo","2019_SANDBANK1_4 4",6.7,68.46667,NA,3,"122","Northern GBR 2019"
11353,-14.191352,144.890131,20190106,16:00:18,NA,"Sandbank1 Reef","No-take",20,"Yes","No","Mike Cappo","2019_SANDBANK1_7 7",9.53333,70.51667,NA,6,"123","Northern GBR 2019"
11217,-11.36452,143.327645,20190124,10:37:29,NA,"11-049 Reef","No-take",12,"Yes","No","Mike Cappo","2019_11-049_3 3",6.2,70.05,NA,4,"123","Northern GBR 2019"
11222,-11.354984,143.332713,20190124,10:29:11,NA,"11-049 Reef","No-take",4.6,"Yes","No","Mike Cappo","2019_11-049_8 8",8.55,68.95,NA,2,"123","Northern GBR 2019"
