OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
WP_001	0	20210525_WP_001_Rig7_7L (1).MP4	10195	20210525_WP_001_Rig7_7R (1).MP4	10137	5.66955	Analysis	0.29696	168.44665	4.36877	6.51606	2208.66583	14.11728	19.71698	12.47467	528.99446	-101.85006	-2141.96083	Mullidae	Upeneichthys	vlamingii	37355029	1	AD	Passing			
WP_001	1	20210525_WP_001_Rig7_7L (1).MP4	14800	20210525_WP_001_Rig7_7R (1).MP4	14742	8.23044	Analysis	2.85785	167.39399	1.08989	3.33721	1132.10412	16.05581	1.31223	2.02633	299.16558	-92.40054	-1087.94386	Serranidae	Caesioperca	spp.		1	AD	Passing			
WP_001	2	20210525_WP_001_Rig7_7L (1).MP4	14800	20210525_WP_001_Rig7_7R (1).MP4	14742	8.23044	Analysis	2.85785	180.32304	1.18610	2.05382	1175.83261	17.25141	3.02003	10.55618	346.47831	39.39698	-1122.93499	Serranidae	Caesioperca	spp.		1	AD	Passing			
WP_001	3	20210525_WP_001_Rig7_7L (1).MP4	14800	20210525_WP_001_Rig7_7R (1).MP4	14742	8.23044	Analysis	2.85785	183.51846	0.54666	1.18966	739.56900	3.62259	2.96752	5.53430	-10.64541	-45.50018	-738.09126	Serranidae	Caesioperca	spp.		1	AD	Passing			
WP_001	4	20210525_WP_001_Rig7_7L (1).MP4	14800	20210525_WP_001_Rig7_7R (1).MP4	14742	8.23044	Analysis	2.85785	156.17257	1.07315	0.91519	1162.81768	12.18856	3.55429	6.62974	-243.45038	31.69830	-1136.60551	Serranidae	Caesioperca	spp.		1	AD	Passing			
WP_001	5	20210525_WP_001_Rig7_7L (1).MP4	14811	20210525_WP_001_Rig7_7R (1).MP4	14753	8.23656	Analysis	2.86397	177.47299	2.49681	3.67238	1752.25909	20.68182	12.27898	0.36937	571.89330	-236.48474	-1639.33674	Serranidae	Caesioperca	spp.		1	AD	Passing			
WP_001	6	20210525_WP_001_Rig7_7L (1).MP4	14835	20210525_WP_001_Rig7_7R (1).MP4	14777	8.24991	Analysis	2.87732	164.19095	2.17191	3.51054	1578.27021	20.54105	13.99748	4.66583	-534.69585	-144.13103	-1477.92539	Serranidae	Caesioperca	spp.		1	AD	Passing			
WP_001	7	20210525_WP_001_Rig7_7L (1).MP4	14887	20210525_WP_001_Rig7_7R (1).MP4	14829	8.27883	Analysis	2.90624	167.71696	1.45227	4.58016	1095.46370	11.83783	27.62307	6.23221	-93.47946	-204.36085	-1072.16554	Serranidae	Caesioperca	spp.		1	AD	Passing			
WP_001	8	20210525_WP_001_Rig7_7L (1).MP4	14892	20210525_WP_001_Rig7_7R (1).MP4	14834	8.28161	Analysis	2.90902	138.79048	1.18720	1.20793	1262.63765	13.86843	1.74396	6.89508	-274.87491	126.64186	-1225.83011	Serranidae	Caesioperca	spp.		1	AD	Passing			
WP_001	9	20210525_WP_001_Rig7_7L (1).MP4	14946	20210525_WP_001_Rig7_7R (1).MP4	14888	8.31164	Analysis	2.93905	211.81566	0.52511	2.60717	711.28844	3.28229	3.13917	23.04398	-4.17917	-40.51008	-710.12162	Serranidae	Caesioperca	spp.		1	AD	Passing			
WP_001	10	20210525_WP_001_Rig7_7L (1).MP4	15010	20210525_WP_001_Rig7_7R (1).MP4	14952	8.34723	Analysis	2.97464	364.07401	0.91228	0.60187	1057.79980	11.40728	1.41064	14.32651	-142.55207	-153.13148	-1036.90408	Cheilodactylidae	Nemadactylus	macropterus		1	AD	Passing			
WP_001	11	20210525_WP_001_Rig7_7L (1).MP4	17604	20210525_WP_001_Rig7_7R (1).MP4	17546	9.78978	Analysis	4.41719	252.56914	1.64244	2.39651	1084.15367	11.67008	37.76299	25.62930	-160.47303	-149.46592	-1061.74268	Monacanthidae	Thamnaconus	degeni	37465037	1	AD	Passing			
WP_001	12	20210525_WP_001_Rig7_7L (1).MP4	18474	20210525_WP_001_Rig7_7R (1).MP4	18416	10.27360	Analysis	4.90101	341.64213	0.79247	3.67405	899.47268	3.67888	9.52970	9.85006	-5.37638	-57.46320	-897.61917	Dinolestidae	Dinolestes	lewini	37327002	1	AD	Passing			
WP_001	13	20210525_WP_001_Rig7_7L (1).MP4	31527	20210525_WP_001_Rig7_7R (1).MP4	31469	17.53252	Analysis	12.15993	303.35158	2.69321	1.86532	1354.25529	16.02048	39.93756	5.14663	-88.41833	-363.13950	-1301.66020	Neosebastidae	Neosebastes	scorpaenoides	37287005	1	AD	Passing			
WP_001	14	20210525_WP_001_Rig7_7L (2).MP4	6057	20210525_WP_001_Rig7_7R (2).MP4	5999	21.00265	Analysis	15.63006	331.79491	5.42991	3.98806	2247.79774	11.35454	28.03146	19.93316	-228.67408	378.88578	-2203.80316	Labridae	Ophthalmolepis	lineolatus		1	AD	Feeding			
WP_001	15	20210525_WP_001_Rig7_7L (2).MP4	12274	20210525_WP_001_Rig7_7R (2).MP4	12216	24.45999	Analysis	19.08740	151.62488	1.34834	0.53920	1523.84561	14.88132	6.44586	26.98630	70.19421	385.00396	-1472.73561	Cyttidae	Cyttus	australis	37264002	1	AD	Passing			
WP_001	16	20210525_WP_001_Rig7_7L (2).MP4	13596	20210525_WP_001_Rig7_7R (2).MP4	13538	25.19517	Analysis	19.82258	320.45857	1.24680	4.35708	1242.89365	14.37691	7.62121	20.33069	308.54919	6.12412	-1203.97031	Labridae	Notolabrus	tetricus	37384003	1	AD	Passing			
WP_001	17	20210525_WP_001_Rig7_7L (2).MP4	13596	20210525_WP_001_Rig7_7R (2).MP4	13538	25.19517	Analysis	19.82258	382.51300	2.47881	10.57125	1898.83696	16.89137	14.38560	40.50845	192.78474	516.94465	-1816.91609	Labridae	Notolabrus	tetricus	37384003	1	AD	Passing			
WP_001	18	20210525_WP_001_Rig7_7L (2).MP4	13646	20210525_WP_001_Rig7_7R (2).MP4	13588	25.22298	Analysis	19.85039	290.52661	1.16398	2.85332	1437.00675	6.09214	0.38271	20.75572	82.58098	-128.21269	-1428.89128	Labridae	Notolabrus	tetricus	37384003	1	AD	Passing			
