OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
WP_001	0	Analysis	20210525_WP_001_Rig7_7L (1).MP4	9661	5.37259				0
WP_002	0	Analysis	20210523_WP_002_Rig7_7L (1).MP4	7247	4.03014				0
WP_003	0	Analysis	20210523_WP_003_Rig4_4L (1).MP4	5244	2.91625				0
WP_005	0	Analysis	20210523_WP_005_Rig5_5L (1).MP4	6521	3.62640				0
WP_012	0	Analysis	20210521_WP_012_Rig3_3L (1).MP4	6964	3.87276				0
WP_017	0	Analysis	20210521_WP_017_Rig7_7L (1).MP4	13437	7.47246				0
WP_020	0	Analysis	20210523_WP_020_Rig8_8L (1).MP4	8068	4.48670				0
WP_025	0	Analysis	20210521_WP_025_Rig7_7L (1).MP4	5207	2.89567				0
WP_026	0	Analysis	20210522_WP_026_Rig6_6L (1).MP4	4940	2.74719				0
WP_027	0	Analysis	20210521_WP_027_Rig4_4L (1).MP4	10169	5.65509				0
WP_029	0	Analysis	20210522_WP_029_Rig2_2L (1).MP4	7149	3.97564				0
WP_031	0	Analysis	20210524_WP_031_Rig7_7L (1).MP4	6868	3.81937				0
WP_032	0	Analysis	20210523_WP_032_Rig4_4L (1).MP4	8228	4.57568				0
WP_037	0	Analysis	20210523_WP_037_Rig7_7L (1).MP4	9734	5.41319				0
WP_038	0	Analysis	20210524_WP_038_Rig9_9L (1).MP4	5669	3.15259				0
WP_044	0	Analysis	20210524_WP_044_Rig10_10L (1).MP4	4045	2.24947				0
WP_045	0	Analysis	20210521_WP_045_Rig5_5L (1).MP4	6855	3.81214				0
WP_048	0	Analysis	20210522_WP_048_Rig10_10L (1).MP4	10392	5.77911				0
WP_050	0	Analysis	20210522_WP_050_Rig1_1L (1).MP4	6407	3.56300				0
WP_051	0	Analysis	20210522_WP_051_Rig10_10L (1).MP4	3998	2.22333				0
WP_052	0	Analysis	20210521_WP_052_Rig9_9L (1).MP4	3727	2.07263				0
