OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
WP_001	1.09	2023 11 01 16:12:32	E:\20210525\BRUVS\	WP_001.EMObs
WP_002	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_002.EMObs
WP_003	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_003.EMObs
WP_005	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_005.EMObs
WP_012	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_012.EMObs
WP_017	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_017.EMObs
WP_020	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_020.EMObs
WP_025	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_025.EMObs
WP_026	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_026.EMObs
WP_027	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_027.EMObs
WP_029	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_029.EMObs
WP_031	1.09	2023 11 01 16:12:32	E:\20210521_Wilson_Promontory_BRUVS\20210524\BRUVS\	WP_031.EMObs
WP_032	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_032.EMObs
WP_037	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_037.EMObs
WP_038	1.09	2023 11 01 16:12:32	E:\20210521_Wilson_Promontory_BRUVS\20210524\BRUVS\	WP_038.EMObs
WP_044	1.09	2023 11 01 16:12:32	E:\20210521_Wilson_Promontory_BRUVS\20210524\BRUVS\	WP_044.EMObs
WP_045	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_045.EMObs
WP_048	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_048.EMObs
WP_050	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_050.EMObs
WP_051	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_051.EMObs
WP_052	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_052.EMObs
WP_053	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_053.EMObs
WP_054	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_054.EMObs
WP_060	1.09	2023 11 01 16:12:32	E:\20210521_Wilson_Promontory_BRUVS\20210524\BRUVS\	WP_060.EMObs
WP_062	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_062.EMObs
WP_065	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_065.EMObs
WP_066	1.09	2023 11 01 16:12:32	E:\20210525\BRUVS\	WP_066.EMObs
WP_068	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_068.EMObs
WP_069	1.09	2023 11 01 16:12:32	E:\20210525\BRUVS\	WP_069.EMObs
WP_070	1.09	2023 11 01 16:12:32	E:\20210525\BRUVS\	WP_070.EMObs
WP_077	1.09	2023 11 01 16:12:32	E:\20210525\BRUVS\	WP_077.EMObs
WP_078	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_078.EMObs
WP_079	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_079.EMObs
WP_081	1.09	2023 11 01 16:12:32	E:\20210525\BRUVS\	WP_081.EMObs
WP_085	1.09	2023 11 01 16:12:32	N:\BRUV\03_Data\2021\20210521_Wilson_Promontory_BRUVS\01_Footage\02_Processing\20210524_WP_085_Rig3_3L\	WP_085.EMObs
WP_089	1.09	2023 11 01 16:12:32	E:\20210525\BRUVS\	WP_089.EMObs
WP_092	1.09	2023 11 01 16:12:32	E:\20210521_Wilson_Promontory_BRUVS\20210524\BRUVS\	WP_092.EMObs
WP_093	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_093.EMObs
WP_094	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_094.EMObs
WP_095	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_095.EMObs
WP_096	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_096.EMObs
WP_097	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_097.EMObs
WP_098	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_098.EMObs
WP_099	1.09	2023 11 01 16:12:32	E:\20210521_Wilson_Promontory_BRUVS\20210524\BRUVS\	WP_099.EMObs
WP_101	1.09	2023 11 01 16:12:32	E:\20210521_Wilson_Promontory_BRUVS\20210524\BRUVS\	WP_101.EMObs
WP_103	1.09	2023 11 01 16:12:32	E:\20210521_Wilson_Promontory_BRUVS\20210524\BRUVS\	WP_103.EMObs
WP_105	1.09	2023 11 01 16:12:32	E:\20210521_Wilson_Promontory_BRUVS\20210524\BRUVS\	WP_105.EMObs
WP_106	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_106.EMObs
WP_107	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_107.EMObs
WP_108	1.09	2023 11 01 16:12:32	E:\20210521_Wilson_Promontory_BRUVS\20210524\BRUVS\	WP_108.EMObs
WP_110	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_110.EMObs
WP_111	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_111.EMObs
WP_113	1.09	2023 11 01 16:12:32	E:\20210521_Wilson_Promontory_BRUVS\20210524\BRUVS\	WP_113.EMObs
WP_114	1.09	2023 11 01 16:12:32	E:\20210521_Wilson_Promontory_BRUVS\20210524\BRUVS\	WP_114.EMObs
WP_115	1.09	2023 11 01 16:12:32	E:\20210525\BRUVS\	WP_115.EMObs
WP_116	1.09	2023 11 01 16:12:32	E:\20210521_Wilson_Promontory_BRUVS\20210524\BRUVS\	WP_116.EMObs
WP_117	1.09	2023 11 01 16:12:32	E:\20210521_Wilson_Promontory_BRUVS\20210524\BRUVS\	WP_117.EMObs
WP_118	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_118.EMObs
WP_119	1.09	2023 11 01 16:12:32	E:\20210521_Wilson_Promontory_BRUVS\20210524\BRUVS\	WP_119.EMObs
WP_120	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_120.EMObs
WP_121	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_121.EMObs
WP_122	1.09	2023 11 01 16:12:32	E:\20210525\BRUVS\	WP_122.EMObs
WP_123	1.09	2023 11 01 16:12:32	E:\20210523\BRUVS\	WP_123.EMObs
WP_124	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_124.EMObs
WP_125	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_125.EMObs
WP_126	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_126.EMObs
WP_127	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_127.EMObs
WP_128	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_128.EMObs
WP_129	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_129.EMObs
WP_130	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_130.EMObs
WP_131	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_131.EMObs
WP_132	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_132.EMObs
WP_133	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_133.EMObs
WP_134	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_134.EMObs
WP_136	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_136.EMObs
WP_137	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_137.EMObs
WP_138	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_138.EMObs
WP_139	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_139.EMObs
WP_140	1.09	2023 11 01 16:12:32	E:\20210522\BRUVS\	WP_140.EMObs
WP_141	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_141.EMObs
WP_142	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_142.EMObs
WP_144	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_144.EMObs
WP_145	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_145.EMObs
WP_146	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_146.EMObs
WP_147	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_147.EMObs
WP_148	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_148.EMObs
WP_150	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_150.EMObs
WP_151	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_151.EMObs
WP_152	1.09	2023 11 01 16:12:32	E:\20210521\BRUVS\	WP_152.EMObs
