campaignid,sample,caab_code,number,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species
2012-08_Flinders_CMR_BRUV,10_1014_S3D2_150812_repeat_LHCan_84_Join,82003001,4,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,10_1014_S3D2_150812_repeat_LHCan_84_Join,82003003,1,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,10_10_S3D2_150812_repeat_LHCam_224_join,82003001,8,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,10_10_S3D2_150812_repeat_LHCam_224_join,82003004,1,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,10_477_S3D2_150812_repeat_LHCam_226_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,10_586_S3D2_150812_repeat_LHCam_174_Join,82003001,7,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,10_586_S3D2_150812_repeat_LHCam_174_Join,82003003,3,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,10_reef_S3D2_150812_repeat_LHCam_178_Join,82003001,15,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,10_reef_S3D2_150812_repeat_LHCam_178_Join,82003006,2,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,15_159_S1D1_130812_RHCam_85_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,15_15_S2D1_130812_LHCam_174_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,15_207_S1D1_130812_LHCam_226_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,15_911_S1D1_1130812_LHCam_178_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,15_reef_S2D1_130812_LHCam_224_Join,82003003,3,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,15_reef_S2D1_130812_LHCam_224_Join,82003004,2,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,15_reef_S2D1_130812_LHCam_224_Join,82003006,5,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,16_16_S3D1_1408412_LHCam_84_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2012-08_Flinders_CMR_BRUV,16_236_S3D1_140812_LHCam_226_Join,82003001,10,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
