campaignid,sample,caab_code,number,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_1_15_Pilchard,80300902,14,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_1_15_Pilchard,80300929,1,Biota,Macroalgae,Encrusting,Red,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_1_25_pilchards,10000915,6,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_1_5_Pilchards,80300902,16,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_2_15_Pilchards,80300902,10,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_2_15_Pilchards,80300910,2,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_2_15_Pilchards,80300929,7,Biota,Macroalgae,Encrusting,Red,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,INSIDE_2_25_PILCHARDS,80300902,9,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,INSIDE_2_25_PILCHARDS,80300910,3,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_2_5_Pilchards,80300902,19,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_3_15_Pilchards,80300902,15,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_3_25_Pilchards,10000000,4,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_3_25_Pilchards,80300902,2,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_3_25_Pilchards,80300910,1,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_3_5_Pilchards,80300902,17,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_4_15_Pilchards,80300902,13,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_4_15_Pilchards,80300910,2,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_4_25_Pilchards,10000904,1,Biota,Sponges,Massive forms,Simple,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_4_25_Pilchards,10000915,1,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_4_25_Pilchards,82001014,18,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_4_5_Pilchards,80300902,30,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Outside_1_15_Pilchards,80300902,14,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Outside_1_25_Pilchards,80300000,2,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Outside_1_25_Pilchards,80300902,1,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Outside_1_25_Pilchards,82001014,5,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Outside_2_15_Pilchards,80300902,18,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Outside_2_25_Pilchards,2,6,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Outside_2_25_Pilchards,10000000,7,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
