campaignid,sample,caab_code,number,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_1_15_Pilchard,82003000,15,Physical,Relief,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_1_15_Pilchard,82003006,3,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_1_15_Pilchard,82003007,2,Physical,Relief,High,Wall,4,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_1_25_pilchards,82003000,14,Physical,Relief,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_1_25_pilchards,82003003,5,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_1_25_pilchards,82003004,1,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_1_5_Pilchards,82003000,20,Physical,Relief,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_2_15_Pilchards,82003000,7,Physical,Relief,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_2_15_Pilchards,82003007,10,Physical,Relief,High,Wall,4,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_2_15_Pilchards,82003008,3,Physical,Relief,High,Caves,5,NA,NA,NA,,,
2013-05_Aidans_Hons_pilchards_stereoBRUVs,INSIDE_2_25_PILCHARDS,82003000,12,Physical,Relief,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,INSIDE_2_25_PILCHARDS,82003003,5,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,INSIDE_2_25_PILCHARDS,82003004,3,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_2_5_Pilchards,82003000,20,Physical,Relief,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_3_15_Pilchards,82003000,20,Physical,Relief,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_3_25_Pilchards,82003000,10,Physical,Relief,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_3_25_Pilchards,82003003,10,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_3_5_Pilchards,82003000,40,Physical,Relief,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_4_15_Pilchards,82003000,17,Physical,Relief,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_4_15_Pilchards,82003003,2,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_4_15_Pilchards,82003004,1,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_4_25_Pilchards,82003001,20,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Inside_4_5_Pilchards,82003000,40,Physical,Relief,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05_Aidans_Hons_pilchards_stereoBRUVs,Outside_1_15_Pilchards,82003000,20,Physical,Relief,NA,NA,NA,NA,NA,NA,NA,NA,NA
