campaignid,sample,caab_code,number,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species
2014-04_Tasman_Fracture_CMR_stereoBRUVs,166,10000000,2,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,166,10000915,2,Biota,Sponges,Erect forms,Branching,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,166,82001007,5,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Biologenic,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,166,82001014,11,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,52,2,19,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,52,10000913,1,Biota,Sponges,Erect forms,Laminar,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,40,82001007,3,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Biologenic,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,40,82001014,8,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,162,2,2,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,41,82001014,10,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,51,2,20,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,160,82001014,20,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,164,2,20,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,50,2,15,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,50,82001014,1,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,163,2,8,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,163,82001014,7,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,54,82001014,13,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,161,2,10,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,161,10000000,1,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,161,10000907,1,Biota,Sponges,Cup-likes,Barrels,NA,NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,161,82001015,7,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA
2014-04_Tasman_Fracture_CMR_stereoBRUVs,165,2,6,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,
2014-04_Tasman_Fracture_CMR_stereoBRUVs,165,10000000,3,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA
