campaignid,opcode,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species,caab_code,count
2014-12_Geographe-bay_stereo-BRUVs,1,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,82001005,10
2014-12_Geographe-bay_stereo-BRUVs,10,Biota,Seagrasses,NA,NA,NA,NA,NA,NA,NA,NA,NA,63600901,9
2014-12_Geographe-bay_stereo-BRUVs,10,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,82001005,6
2014-12_Geographe-bay_stereo-BRUVs,100,Biota,Seagrasses,NA,NA,NA,NA,NA,NA,NA,NA,NA,63600901,8
2014-12_Geographe-bay_stereo-BRUVs,100,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000000,1
2014-12_Geographe-bay_stereo-BRUVs,10000,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,82001005,10
2014-12_Geographe-bay_stereo-BRUVs,10001,Biota,Seagrasses,NA,NA,NA,NA,NA,NA,NA,NA,NA,63600901,2
2014-12_Geographe-bay_stereo-BRUVs,10001,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,82001005,8
2014-12_Geographe-bay_stereo-BRUVs,10002,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,82001005,10
2014-12_Geographe-bay_stereo-BRUVs,10003,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,82001005,10
2014-12_Geographe-bay_stereo-BRUVs,10004,Biota,Seagrasses,NA,NA,NA,NA,NA,NA,NA,NA,NA,63600901,7
2014-12_Geographe-bay_stereo-BRUVs,10004,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,82001005,3
2014-12_Geographe-bay_stereo-BRUVs,10005,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000,5
2014-12_Geographe-bay_stereo-BRUVs,10005,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000000,1
2014-12_Geographe-bay_stereo-BRUVs,10005,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,82001005,4
2014-12_Geographe-bay_stereo-BRUVs,101,Biota,Seagrasses,NA,NA,NA,NA,NA,NA,NA,NA,NA,63600901,10
2014-12_Geographe-bay_stereo-BRUVs,101,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,82001005,5
2014-12_Geographe-bay_stereo-BRUVs,102,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,82001005,10
2014-12_Geographe-bay_stereo-BRUVs,103,Biota,Seagrasses,NA,NA,NA,NA,NA,NA,NA,NA,NA,63600901,10
2014-12_Geographe-bay_stereo-BRUVs,1038,Biota,Seagrasses,NA,NA,NA,NA,NA,NA,NA,NA,NA,63600901,10
2014-12_Geographe-bay_stereo-BRUVs,104,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000000,2
2014-12_Geographe-bay_stereo-BRUVs,104,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,82001005,12
2014-12_Geographe-bay_stereo-BRUVs,106,Biota,Seagrasses,NA,NA,NA,NA,NA,NA,NA,NA,NA,63600901,10
2014-12_Geographe-bay_stereo-BRUVs,107,Biota,Seagrasses,NA,NA,NA,NA,NA,NA,NA,NA,NA,63600901,13
2014-12_Geographe-bay_stereo-BRUVs,107,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,82001005,1
2014-12_Geographe-bay_stereo-BRUVs,108,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,82001005,10
2014-12_Geographe-bay_stereo-BRUVs,11,Biota,Seagrasses,NA,NA,NA,NA,NA,NA,NA,NA,NA,63600901,7
2014-12_Geographe-bay_stereo-BRUVs,11,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,82001005,3
2014-12_Geographe-bay_stereo-BRUVs,110,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,82001005,10
2014-12_Geographe-bay_stereo-BRUVs,1108,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000,1
2014-12_Geographe-bay_stereo-BRUVs,1108,Biota,Seagrasses,NA,NA,NA,NA,NA,NA,NA,NA,NA,63600901,11
2014-12_Geographe-bay_stereo-BRUVs,1108,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,82001005,3
2014-12_Geographe-bay_stereo-BRUVs,111,Biota,Seagrasses,NA,NA,NA,NA,NA,NA,NA,NA,NA,63600901,9
2014-12_Geographe-bay_stereo-BRUVs,111,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,82001005,1
2014-12_Geographe-bay_stereo-BRUVs,112,Biota,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000,4
2014-12_Geographe-bay_stereo-BRUVs,112,Biota,Seagrasses,NA,NA,NA,NA,NA,NA,NA,NA,NA,63600901,10
