campaignid,opcode,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species,caab_code,count
2014-12_Geographe-bay_stereo-BRUVs,1,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA,82003001,10
2014-12_Geographe-bay_stereo-BRUVs,10,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,82003003,6
2014-12_Geographe-bay_stereo-BRUVs,10,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,82003004,9
2014-12_Geographe-bay_stereo-BRUVs,100,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,82003004,9
2014-12_Geographe-bay_stereo-BRUVs,10000,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA,82003001,10
2014-12_Geographe-bay_stereo-BRUVs,10001,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA,82003001,5
2014-12_Geographe-bay_stereo-BRUVs,10001,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,82003003,3
2014-12_Geographe-bay_stereo-BRUVs,10001,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,82003004,2
2014-12_Geographe-bay_stereo-BRUVs,10002,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA,82003001,10
2014-12_Geographe-bay_stereo-BRUVs,10003,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,82003003,10
2014-12_Geographe-bay_stereo-BRUVs,10004,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,82003003,3
2014-12_Geographe-bay_stereo-BRUVs,10004,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,82003004,7
2014-12_Geographe-bay_stereo-BRUVs,10005,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA,82003001,3
2014-12_Geographe-bay_stereo-BRUVs,10005,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,82003003,1
2014-12_Geographe-bay_stereo-BRUVs,10005,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,82003004,6
2014-12_Geographe-bay_stereo-BRUVs,101,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,82003003,4
2014-12_Geographe-bay_stereo-BRUVs,101,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,82003004,11
2014-12_Geographe-bay_stereo-BRUVs,102,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,82003003,10
2014-12_Geographe-bay_stereo-BRUVs,103,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,82003004,10
2014-12_Geographe-bay_stereo-BRUVs,1038,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,82003004,10
2014-12_Geographe-bay_stereo-BRUVs,104,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,82003003,11
2014-12_Geographe-bay_stereo-BRUVs,104,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,82003004,3
2014-12_Geographe-bay_stereo-BRUVs,106,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,82003004,10
2014-12_Geographe-bay_stereo-BRUVs,107,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,82003003,1
2014-12_Geographe-bay_stereo-BRUVs,107,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,82003004,13
2014-12_Geographe-bay_stereo-BRUVs,108,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA,82003001,10
2014-12_Geographe-bay_stereo-BRUVs,11,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,82003003,3
2014-12_Geographe-bay_stereo-BRUVs,11,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,82003004,7
2014-12_Geographe-bay_stereo-BRUVs,110,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,82003003,10
2014-12_Geographe-bay_stereo-BRUVs,1108,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,82003003,3
2014-12_Geographe-bay_stereo-BRUVs,1108,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,82003004,12
2014-12_Geographe-bay_stereo-BRUVs,111,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,82003003,1
2014-12_Geographe-bay_stereo-BRUVs,111,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,82003004,9
2014-12_Geographe-bay_stereo-BRUVs,112,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,82003004,14
2014-12_Geographe-bay_stereo-BRUVs,113,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA,82003001,7
2014-12_Geographe-bay_stereo-BRUVs,113,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,82003003,3
2014-12_Geographe-bay_stereo-BRUVs,114,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA,82003001,10
2014-12_Geographe-bay_stereo-BRUVs,115,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA,82003001,9
2014-12_Geographe-bay_stereo-BRUVs,115,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,82003004,1
2014-12_Geographe-bay_stereo-BRUVs,116,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,82003003,10
2014-12_Geographe-bay_stereo-BRUVs,119,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,82003004,8
