campaignid,sample,level_1,level_5,level_2,level_3,level_4,level_6,level_7,level_8,family,genus,species,count
2019-08-Ningaloo-deep_stereo-BRUVS,1.01,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,11
2019-08-Ningaloo-deep_stereo-BRUVS,1.01,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,8
2019-08-Ningaloo-deep_stereo-BRUVS,1.02,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,3
2019-08-Ningaloo-deep_stereo-BRUVS,1.02,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,22
2019-08-Ningaloo-deep_stereo-BRUVS,1.03,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,25
2019-08-Ningaloo-deep_stereo-BRUVS,1.04,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,14
2019-08-Ningaloo-deep_stereo-BRUVS,1.04,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,11
2019-08-Ningaloo-deep_stereo-BRUVS,1.05,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,20
2019-08-Ningaloo-deep_stereo-BRUVS,1.06,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,14
2019-08-Ningaloo-deep_stereo-BRUVS,1.06,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,11
2019-08-Ningaloo-deep_stereo-BRUVS,10.01,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,4
2019-08-Ningaloo-deep_stereo-BRUVS,10.01,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,10
2019-08-Ningaloo-deep_stereo-BRUVS,10.01,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,5
2019-08-Ningaloo-deep_stereo-BRUVS,10.01,Physical,5,Relief,High,Caves,NA,NA,NA,,,,15
2019-08-Ningaloo-deep_stereo-BRUVS,10.02,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,10
2019-08-Ningaloo-deep_stereo-BRUVS,10.02,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,8
2019-08-Ningaloo-deep_stereo-BRUVS,10.02,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,10
2019-08-Ningaloo-deep_stereo-BRUVS,10.02,Physical,4,Relief,High,Wall,NA,NA,NA,NA,NA,NA,4
2019-08-Ningaloo-deep_stereo-BRUVS,10.03,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,7
2019-08-Ningaloo-deep_stereo-BRUVS,10.03,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,5
2019-08-Ningaloo-deep_stereo-BRUVS,10.03,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,2
2019-08-Ningaloo-deep_stereo-BRUVS,10.03,Physical,4,Relief,High,Wall,NA,NA,NA,NA,NA,NA,6
2019-08-Ningaloo-deep_stereo-BRUVS,10.03,Physical,5,Relief,High,Caves,NA,NA,NA,,,,10
2019-08-Ningaloo-deep_stereo-BRUVS,10.04,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,3
2019-08-Ningaloo-deep_stereo-BRUVS,10.04,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,2
2019-08-Ningaloo-deep_stereo-BRUVS,10.04,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,9
2019-08-Ningaloo-deep_stereo-BRUVS,10.04,Physical,4,Relief,High,Wall,NA,NA,NA,NA,NA,NA,8
2019-08-Ningaloo-deep_stereo-BRUVS,10.04,Physical,5,Relief,High,Caves,NA,NA,NA,,,,3
2019-08-Ningaloo-deep_stereo-BRUVS,10.07,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,2
2019-08-Ningaloo-deep_stereo-BRUVS,10.07,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,4
2019-08-Ningaloo-deep_stereo-BRUVS,10.07,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,9
2019-08-Ningaloo-deep_stereo-BRUVS,10.07,Physical,4,Relief,High,Wall,NA,NA,NA,NA,NA,NA,6
2019-08-Ningaloo-deep_stereo-BRUVS,10.07,Physical,5,Relief,High,Caves,NA,NA,NA,,,,1
2019-08-Ningaloo-deep_stereo-BRUVS,10.08,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,11
2019-08-Ningaloo-deep_stereo-BRUVS,10.08,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,11
2019-08-Ningaloo-deep_stereo-BRUVS,10.09,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,3
2019-08-Ningaloo-deep_stereo-BRUVS,10.09,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,17
2019-08-Ningaloo-deep_stereo-BRUVS,10.09,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,1
2019-08-Ningaloo-deep_stereo-BRUVS,10.11,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,16
2019-08-Ningaloo-deep_stereo-BRUVS,10.11,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,3
2019-08-Ningaloo-deep_stereo-BRUVS,10.12,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,2
2019-08-Ningaloo-deep_stereo-BRUVS,10.12,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,5
2019-08-Ningaloo-deep_stereo-BRUVS,10.12,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,10
2019-08-Ningaloo-deep_stereo-BRUVS,10.12,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,3
2019-08-Ningaloo-deep_stereo-BRUVS,10.13,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,4
2019-08-Ningaloo-deep_stereo-BRUVS,10.13,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,13
2019-08-Ningaloo-deep_stereo-BRUVS,10.13,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,14
2019-08-Ningaloo-deep_stereo-BRUVS,10.13,Physical,4,Relief,High,Wall,NA,NA,NA,NA,NA,NA,4
2019-08-Ningaloo-deep_stereo-BRUVS,10.14,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,22
2019-08-Ningaloo-deep_stereo-BRUVS,10.14,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,3
2019-08-Ningaloo-deep_stereo-BRUVS,10.14,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,1
2019-08-Ningaloo-deep_stereo-BRUVS,10.15,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,9
2019-08-Ningaloo-deep_stereo-BRUVS,10.15,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,6
2019-08-Ningaloo-deep_stereo-BRUVS,10.15,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,8
2019-08-Ningaloo-deep_stereo-BRUVS,10.15,Physical,4,Relief,High,Wall,NA,NA,NA,NA,NA,NA,3
2019-08-Ningaloo-deep_stereo-BRUVS,11.01,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,1
2019-08-Ningaloo-deep_stereo-BRUVS,11.01,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,24
2019-08-Ningaloo-deep_stereo-BRUVS,11.02,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,11
2019-08-Ningaloo-deep_stereo-BRUVS,11.02,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,6
2019-08-Ningaloo-deep_stereo-BRUVS,11.02,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,5
2019-08-Ningaloo-deep_stereo-BRUVS,11.02,Physical,4,Relief,High,Wall,NA,NA,NA,NA,NA,NA,2
2019-08-Ningaloo-deep_stereo-BRUVS,11.03,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,2
