campaignid,sample,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species,count
2021-05_Abrolhos_stereo-BRUVs,npz6.10,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Gravel (2-10mm),NA,NA,NA,NA,NA,NA,17
2021-05_Abrolhos_stereo-BRUVs,npz6.10,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,11
2021-05_Abrolhos_stereo-BRUVs,npz6.12,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,28
2021-05_Abrolhos_stereo-BRUVs,npz6.13,Biota,Bryozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2021-05_Abrolhos_stereo-BRUVs,npz6.13,Biota,Cnidaria,Corals,Black & Octocorals,Branching (3D),NA,NA,NA,NA,NA,NA,1
2021-05_Abrolhos_stereo-BRUVs,npz6.13,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,,11
2021-05_Abrolhos_stereo-BRUVs,npz6.13,Biota,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,2
2021-05_Abrolhos_stereo-BRUVs,npz6.13,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,7
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,15
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,5
2021-05_Abrolhos_stereo-BRUVs,npz6.14,Biota,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,3
2021-05_Abrolhos_stereo-BRUVs,npz6.15,Biota,Cnidaria,Hydroids,NA,NA,NA,NA,NA,NA,NA,NA,1
2021-05_Abrolhos_stereo-BRUVs,npz6.15,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,11
2021-05_Abrolhos_stereo-BRUVs,npz6.15,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,15
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Biota,Bryozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Biota,Cnidaria,Corals,Black & Octocorals,Fan (2D),NA,NA,NA,NA,NA,NA,1
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Biota,Sessile invertebrates,,,NA,NA,NA,NA,,,,9
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Biota,Sponges,Cup-likes,NA,NA,NA,NA,NA,NA,NA,NA,1
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Biota,Sponges,Erect forms,NA,NA,NA,NA,NA,NA,NA,NA,1
2021-05_Abrolhos_stereo-BRUVs,npz6.17,Biota,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,3
2021-05_Abrolhos_stereo-BRUVs,npz6.18,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,34
2021-05_Abrolhos_stereo-BRUVs,npz6.2,Biota,Macroalgae,Encrusting,Red,NA,NA,NA,NA,NA,NA,NA,3
2021-05_Abrolhos_stereo-BRUVs,npz6.2,Biota,Macroalgae,Erect fine branching,Green,NA,NA,NA,NA,NA,NA,NA,1
2021-05_Abrolhos_stereo-BRUVs,npz6.2,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,3
2021-05_Abrolhos_stereo-BRUVs,npz6.2,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,1
