campaignid,sample,level_1,level_5,level_2,level_3,level_4,level_6,level_7,level_8,family,genus,species,count
2021-05_PtCloates_stereo-BRUVS,1,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,6
2021-05_PtCloates_stereo-BRUVS,1,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,8
2021-05_PtCloates_stereo-BRUVS,1,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,6
2021-05_PtCloates_stereo-BRUVS,10,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,20
2021-05_PtCloates_stereo-BRUVS,11,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,8
2021-05_PtCloates_stereo-BRUVS,11,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,10
2021-05_PtCloates_stereo-BRUVS,11,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,1
2021-05_PtCloates_stereo-BRUVS,12,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,3
2021-05_PtCloates_stereo-BRUVS,12,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,13
2021-05_PtCloates_stereo-BRUVS,12,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,2
2021-05_PtCloates_stereo-BRUVS,13,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,3
2021-05_PtCloates_stereo-BRUVS,13,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,6
2021-05_PtCloates_stereo-BRUVS,13,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,10
2021-05_PtCloates_stereo-BRUVS,13,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,1
2021-05_PtCloates_stereo-BRUVS,14,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,17
2021-05_PtCloates_stereo-BRUVS,14,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,2
2021-05_PtCloates_stereo-BRUVS,15,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,6
2021-05_PtCloates_stereo-BRUVS,15,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,11
2021-05_PtCloates_stereo-BRUVS,15,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,3
2021-05_PtCloates_stereo-BRUVS,16,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,6
2021-05_PtCloates_stereo-BRUVS,16,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,9
2021-05_PtCloates_stereo-BRUVS,16,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,4
2021-05_PtCloates_stereo-BRUVS,16,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,2
2021-05_PtCloates_stereo-BRUVS,17,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,3
2021-05_PtCloates_stereo-BRUVS,17,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,9
2021-05_PtCloates_stereo-BRUVS,17,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,6
2021-05_PtCloates_stereo-BRUVS,17,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,1
2021-05_PtCloates_stereo-BRUVS,18,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,19
2021-05_PtCloates_stereo-BRUVS,19,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,19
2021-05_PtCloates_stereo-BRUVS,2,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,6
2021-05_PtCloates_stereo-BRUVS,2,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,10
2021-05_PtCloates_stereo-BRUVS,2,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,3
2021-05_PtCloates_stereo-BRUVS,21,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,1
2021-05_PtCloates_stereo-BRUVS,21,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,14
2021-05_PtCloates_stereo-BRUVS,21,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,5
