campaignid,opcode,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species,count,caab_code
2022-11_Investigator_stereo-BRUVs,CP1,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Seirococcaceae,Scytothalia,dorycarpa,9,54102005
2022-11_Investigator_stereo-BRUVs,CP2,Biota,Bryozoa,Soft,Foliaceous,NA,NA,NA,NA,NA,NA,NA,3,20000907
2022-11_Investigator_stereo-BRUVs,CP2,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,4,80300910
2022-11_Investigator_stereo-BRUVs,CP2,Biota,Macroalgae,Erect fine branching,NA,NA,NA,NA,NA,NA,NA,NA,2,80300907
2022-11_Investigator_stereo-BRUVs,CP2,Biota,Sponges,Cup-likes,Cups,NA,NA,NA,NA,NA,NA,NA,1,10000910
2022-11_Investigator_stereo-BRUVs,CP2,Biota,Sponges,Massive forms,Simple,NA,NA,NA,NA,NA,NA,NA,2,10000904
2022-11_Investigator_stereo-BRUVs,CP2,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Gravel (2-10mm),NA,NA,NA,NA,NA,NA,5,82001011
2022-11_Investigator_stereo-BRUVs,CP2,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Pebble (10-64mm),NA,NA,NA,NA,NA,NA,6,82001012
2022-11_Investigator_stereo-BRUVs,CP2,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,6,82001014
2022-11_Investigator_stereo-BRUVs,CP2,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,1,82001015
2022-11_Investigator_stereo-BRUVs,CP2,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,2,82001005
2022-11_Investigator_stereo-BRUVs,CP3,Biota,Macroalgae,Erect coarse branching,Red,NA,NA,NA,NA,NA,NA,NA,1,80300906
2022-11_Investigator_stereo-BRUVs,CP3,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,1,80300910
2022-11_Investigator_stereo-BRUVs,CP3,Biota,Macroalgae,Erect fine branching,NA,NA,NA,NA,NA,NA,NA,NA,1,80300907
2022-11_Investigator_stereo-BRUVs,CP3,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Pebble (10-64mm),NA,NA,NA,NA,NA,NA,1,82001012
2022-11_Investigator_stereo-BRUVs,CP3,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,27,82001014
2022-11_Investigator_stereo-BRUVs,CP4,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,33,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-02,Biota,Macroalgae,Articulated calcareous,Red,NA,NA,NA,NA,NA,NA,NA,1,80300913
2022-11_Investigator_stereo-BRUVs,INV-BV-02,Biota,Macroalgae,Erect coarse branching,NA,NA,NA,NA,NA,NA,NA,NA,2,80300903
2022-11_Investigator_stereo-BRUVs,INV-BV-02,Biota,Macroalgae,Erect fine branching,Green,NA,NA,NA,NA,NA,NA,NA,2,80300909
2022-11_Investigator_stereo-BRUVs,INV-BV-02,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,4,80300910
2022-11_Investigator_stereo-BRUVs,INV-BV-02,Biota,Macroalgae,Erect fine branching,NA,NA,NA,NA,NA,NA,NA,NA,5,80300907
2022-11_Investigator_stereo-BRUVs,INV-BV-02,Biota,Macroalgae,Filamentous / filiform,Red,NA,NA,NA,NA,NA,NA,NA,1,80300933
2022-11_Investigator_stereo-BRUVs,INV-BV-02,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Gravel (2-10mm),NA,NA,NA,NA,NA,NA,8,82001011
2022-11_Investigator_stereo-BRUVs,INV-BV-02,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Pebble (10-64mm),NA,NA,NA,NA,NA,NA,10,82001012
2022-11_Investigator_stereo-BRUVs,INV-BV-02,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,2,82001014
2022-11_Investigator_stereo-BRUVs,INV-BV-03,Biota,Bryozoa,Soft,Foliaceous,NA,NA,NA,NA,NA,NA,NA,6,20000907
2022-11_Investigator_stereo-BRUVs,INV-BV-03,Biota,Cnidaria,Corals,Black & Octocorals,Fan (2D),NA,NA,NA,NA,NA,NA,1,11168912
2022-11_Investigator_stereo-BRUVs,INV-BV-03,Biota,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,99900044
2022-11_Investigator_stereo-BRUVs,INV-BV-03,Biota,Sponges,Erect forms,Laminar,NA,NA,NA,NA,NA,NA,NA,3,10000913
2022-11_Investigator_stereo-BRUVs,INV-BV-03,Biota,Sponges,Massive forms,Simple,NA,NA,NA,NA,NA,NA,NA,4,10000904
2022-11_Investigator_stereo-BRUVs,INV-BV-03,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,1,82001014
