campaignid,sample,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species,count
2022-11_Investigator_stereo-BRUVs,CP1,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Seirococcaceae,Scytothalia,dorycarpa,9
2022-11_Investigator_stereo-BRUVs,CP2,Biota,Bryozoa,Soft,Foliaceous,NA,NA,NA,NA,NA,NA,NA,3
2022-11_Investigator_stereo-BRUVs,CP2,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,4
2022-11_Investigator_stereo-BRUVs,CP2,Biota,Macroalgae,Erect fine branching,NA,NA,NA,NA,NA,NA,NA,NA,2
2022-11_Investigator_stereo-BRUVs,CP2,Biota,Sponges,Cup-likes,Cups,NA,NA,NA,NA,NA,NA,NA,1
2022-11_Investigator_stereo-BRUVs,CP2,Biota,Sponges,Massive forms,Simple,NA,NA,NA,NA,NA,NA,NA,2
2022-11_Investigator_stereo-BRUVs,CP2,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Gravel (2-10mm),NA,NA,NA,NA,NA,NA,5
2022-11_Investigator_stereo-BRUVs,CP2,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Pebble (10-64mm),NA,NA,NA,NA,NA,NA,6
2022-11_Investigator_stereo-BRUVs,CP2,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,6
2022-11_Investigator_stereo-BRUVs,CP2,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,1
2022-11_Investigator_stereo-BRUVs,CP2,Physical,Substrate,Unconsolidated (soft),NA,NA,NA,NA,NA,NA,NA,NA,2
2022-11_Investigator_stereo-BRUVs,CP3,Biota,Macroalgae,Erect coarse branching,Red,NA,NA,NA,NA,NA,NA,NA,1
