campaignid,sample,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species,count
2022-11_Investigator_stereo-BRUVs,CP1,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA,22
2022-11_Investigator_stereo-BRUVs,CP1,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,2
2022-11_Investigator_stereo-BRUVs,CP2,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,8
2022-11_Investigator_stereo-BRUVs,CP2,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,11
2022-11_Investigator_stereo-BRUVs,CP3,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,10
2022-11_Investigator_stereo-BRUVs,CP3,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,7
2022-11_Investigator_stereo-BRUVs,CP4,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,20
2022-11_Investigator_stereo-BRUVs,INV-BV-02,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA,1
2022-11_Investigator_stereo-BRUVs,INV-BV-02,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,12
2022-11_Investigator_stereo-BRUVs,INV-BV-02,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,7
2022-11_Investigator_stereo-BRUVs,INV-BV-03,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA,8
2022-11_Investigator_stereo-BRUVs,INV-BV-03,Physical,Relief,High,Wall,4,NA,NA,NA,NA,NA,NA,1
2022-11_Investigator_stereo-BRUVs,INV-BV-03,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,2
2022-11_Investigator_stereo-BRUVs,INV-BV-03,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,6
2022-11_Investigator_stereo-BRUVs,INV-BV-05,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,17
2022-11_Investigator_stereo-BRUVs,INV-BV-07,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA,9
2022-11_Investigator_stereo-BRUVs,INV-BV-07,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,5
2022-11_Investigator_stereo-BRUVs,INV-BV-07,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,5
2022-11_Investigator_stereo-BRUVs,INV-BV-09,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,14
2022-11_Investigator_stereo-BRUVs,INV-BV-09,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,6
2022-11_Investigator_stereo-BRUVs,INV-BV-11,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA,14
2022-11_Investigator_stereo-BRUVs,INV-BV-11,Physical,Relief,High,Wall,4,NA,NA,NA,NA,NA,NA,13
2022-11_Investigator_stereo-BRUVs,INV-BV-14,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,17
2022-11_Investigator_stereo-BRUVs,INV-BV-17,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,15
2022-11_Investigator_stereo-BRUVs,INV-BV-17,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,5
2022-11_Investigator_stereo-BRUVs,INV-BV-20,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA,1
2022-11_Investigator_stereo-BRUVs,INV-BV-20,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,19
2022-11_Investigator_stereo-BRUVs,INV-BV-22,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA,8
2022-11_Investigator_stereo-BRUVs,INV-BV-22,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,12
2022-11_Investigator_stereo-BRUVs,INV-BV-24,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA,5
2022-11_Investigator_stereo-BRUVs,INV-BV-24,Physical,Relief,High,Wall,4,NA,NA,NA,NA,NA,NA,7
2022-11_Investigator_stereo-BRUVs,INV-BV-24,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,8
2022-11_Investigator_stereo-BRUVs,INV-BV-24,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,2
2022-11_Investigator_stereo-BRUVs,INV-BV-25,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,12
2022-11_Investigator_stereo-BRUVs,INV-BV-26,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,9
2022-11_Investigator_stereo-BRUVs,INV-BV-26,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,9
2022-11_Investigator_stereo-BRUVs,INV-BV-27,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,9
2022-11_Investigator_stereo-BRUVs,INV-BV-27,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,12
2022-11_Investigator_stereo-BRUVs,INV-BV-28,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA,6
