campaignid,opcode,level_1,level_5,level_2,level_3,level_4,level_6,level_7,level_8,family,genus,species,caab_code,count
2022-11_Salisbury_stereo-BRUVs,SAL-BV-001,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,2
2022-11_Salisbury_stereo-BRUVs,SAL-BV-001,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,15
2022-11_Salisbury_stereo-BRUVs,SAL-BV-001,Physical,4,Relief,High,Wall,NA,NA,NA,NA,NA,NA,82003007,6
2022-11_Salisbury_stereo-BRUVs,SAL-BV-013,Physical,0,Relief,Flat,NA,NA,NA,NA,NA,NA,NA,82003001,2
2022-11_Salisbury_stereo-BRUVs,SAL-BV-013,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,3
2022-11_Salisbury_stereo-BRUVs,SAL-BV-013,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,9
2022-11_Salisbury_stereo-BRUVs,SAL-BV-013,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,6
2022-11_Salisbury_stereo-BRUVs,SAL-BV-013,Physical,4,Relief,High,Wall,NA,NA,NA,NA,NA,NA,82003007,1
2022-11_Salisbury_stereo-BRUVs,SAL-BV-022,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,14
2022-11_Salisbury_stereo-BRUVs,SAL-BV-022,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,4
2022-11_Salisbury_stereo-BRUVs,SAL-BV-022,Physical,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,82003006,2
2022-11_Salisbury_stereo-BRUVs,SAL-BV-026,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,13
2022-11_Salisbury_stereo-BRUVs,SAL-BV-026,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,7
2022-11_Salisbury_stereo-BRUVs,SAL-BV-027,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,12
2022-11_Salisbury_stereo-BRUVs,SAL-BV-027,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,82003004,7
2022-11_Salisbury_stereo-BRUVs,SAL-BV-032,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,82003003,15
