campaignid,opcode,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species,caab_code,count
2023-03_SwC_stereo-BRUVs,10,Biota,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,80300904,2
2023-03_SwC_stereo-BRUVs,10,Biota,Macroalgae,Erect coarse branching,Red,NA,NA,NA,NA,NA,NA,NA,80300906,3
2023-03_SwC_stereo-BRUVs,10,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,80300910,2
2023-03_SwC_stereo-BRUVs,10,Biota,Macroalgae,Filamentous / filiform,Red,NA,NA,NA,NA,NA,NA,NA,80300933,1
2023-03_SwC_stereo-BRUVs,10,Biota,Seagrasses,Strap-like leaves,NA,NA,NA,NA,NA,Cymodoceaceae,Thalassodendron,spp,63618905,14
2023-03_SwC_stereo-BRUVs,10,Biota,Sponges,Erect forms,Laminar,NA,NA,NA,NA,NA,NA,NA,10000913,1
2023-03_SwC_stereo-BRUVs,10,Biota,Sponges,Massive forms,Simple,NA,NA,NA,NA,NA,NA,NA,10000904,1
2023-03_SwC_stereo-BRUVs,10,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,82001014,3
2023-03_SwC_stereo-BRUVs,12,Biota,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,80300904,5
2023-03_SwC_stereo-BRUVs,12,Biota,Macroalgae,Erect coarse branching,Red,NA,NA,NA,NA,NA,NA,NA,80300906,8
2023-03_SwC_stereo-BRUVs,12,Biota,Macroalgae,Erect fine branching,Brown,NA,NA,NA,NA,NA,NA,NA,80300908,1
2023-03_SwC_stereo-BRUVs,12,Biota,Macroalgae,Erect fine branching,Green,NA,NA,NA,NA,NA,NA,NA,80300909,2
2023-03_SwC_stereo-BRUVs,12,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,80300910,3
2023-03_SwC_stereo-BRUVs,12,Biota,Macroalgae,Filamentous / filiform,Red,NA,NA,NA,NA,NA,NA,NA,80300933,3
2023-03_SwC_stereo-BRUVs,12,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,54079009,7
2023-03_SwC_stereo-BRUVs,12,Biota,Seagrasses,Strap-like leaves,NA,NA,NA,NA,NA,Cymodoceaceae,Thalassodendron,spp,63618905,2
2023-03_SwC_stereo-BRUVs,12,Biota,Sponges,Massive forms,Simple,NA,NA,NA,NA,NA,NA,NA,10000904,1
2023-03_SwC_stereo-BRUVs,14,Biota,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,80300904,3
2023-03_SwC_stereo-BRUVs,14,Biota,Macroalgae,Erect coarse branching,Red,NA,NA,NA,NA,NA,NA,NA,80300906,10
2023-03_SwC_stereo-BRUVs,14,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,80300910,7
2023-03_SwC_stereo-BRUVs,14,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,54079009,6
2023-03_SwC_stereo-BRUVs,14,Biota,Seagrasses,Strap-like leaves,NA,NA,NA,NA,NA,Cymodoceaceae,Thalassodendron,spp,63618905,2
2023-03_SwC_stereo-BRUVs,14,Biota,Sponges,Massive forms,Balls,NA,NA,NA,NA,NA,NA,NA,10000905,1
2023-03_SwC_stereo-BRUVs,14,Physical,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,82001002,1
2023-03_SwC_stereo-BRUVs,14,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,82001014,4
2023-03_SwC_stereo-BRUVs,15,Biota,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,80300904,8
2023-03_SwC_stereo-BRUVs,15,Biota,Macroalgae,Erect coarse branching,Red,NA,NA,NA,NA,NA,NA,NA,80300906,6
2023-03_SwC_stereo-BRUVs,15,Biota,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,80300910,2
2023-03_SwC_stereo-BRUVs,15,Biota,Macroalgae,Filamentous / filiform,Brown,NA,NA,NA,NA,NA,NA,NA,80300931,2
2023-03_SwC_stereo-BRUVs,15,Biota,Macroalgae,Filamentous / filiform,Red,NA,NA,NA,NA,NA,NA,NA,80300933,2
2023-03_SwC_stereo-BRUVs,15,Biota,Seagrasses,Strap-like leaves,NA,NA,NA,NA,NA,Cymodoceaceae,Thalassodendron,spp,63618905,2
2023-03_SwC_stereo-BRUVs,15,Physical,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,82001002,1
2023-03_SwC_stereo-BRUVs,15,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,82001014,7
2023-03_SwC_stereo-BRUVs,16,Biota,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,80300904,1
2023-03_SwC_stereo-BRUVs,16,Biota,Macroalgae,Erect coarse branching,Red,NA,NA,NA,NA,NA,NA,NA,80300906,1
2023-03_SwC_stereo-BRUVs,16,Biota,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,54079009,13
2023-03_SwC_stereo-BRUVs,16,Biota,Seagrasses,Strap-like leaves,NA,NA,NA,NA,NA,Cymodoceaceae,Thalassodendron,spp,63618905,18
