campaignid,sample,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species,count
2024-05_Wudjari_stereo-BRUVs,FIG-BV-01,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA,4
2024-05_Wudjari_stereo-BRUVs,FIG-BV-01,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA,2
2024-05_Wudjari_stereo-BRUVs,FIG-BV-01,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,11
2024-05_Wudjari_stereo-BRUVs,FIG-BV-01,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,3
2024-05_Wudjari_stereo-BRUVs,FIG-BV-02,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA,9
2024-05_Wudjari_stereo-BRUVs,FIG-BV-02,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,6
2024-05_Wudjari_stereo-BRUVs,FIG-BV-04,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA,5
2024-05_Wudjari_stereo-BRUVs,FIG-BV-04,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,14
2024-05_Wudjari_stereo-BRUVs,FIG-BV-05,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA,11
2024-05_Wudjari_stereo-BRUVs,FIG-BV-05,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,9
2024-05_Wudjari_stereo-BRUVs,FIG-BV-06,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA,2
2024-05_Wudjari_stereo-BRUVs,FIG-BV-06,Physical,Relief,High,Wall,4,NA,NA,NA,NA,NA,NA,18
2024-05_Wudjari_stereo-BRUVs,FIG-BV-06,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,5
2024-05_Wudjari_stereo-BRUVs,FIG-BV-06,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA,2
2024-05_Wudjari_stereo-BRUVs,FIG-BV-07,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA,1
2024-05_Wudjari_stereo-BRUVs,FIG-BV-07,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA,19
2024-05_Wudjari_stereo-BRUVs,FIG-BV-08,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA,10
