campaignid,sample,caab_code,number,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species
Tasman_Fracture_202103,100,82003006,20,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,101,82003003,2,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,101,82003004,5,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,101,82003006,7,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,101,82003007,1,Physical,Relief,High,Wall,4,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,107,82003006,8,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,107,82003007,6,Physical,Relief,High,Wall,4,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,129,82003001,8,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,129,82003003,1,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,129,82003004,1,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,129,82003007,10,Physical,Relief,High,Wall,4,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,131,82003006,4,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,131,82003007,6,Physical,Relief,High,Wall,4,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,132,82003006,3,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,132,82003007,2,Physical,Relief,High,Wall,4,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,135,82003003,5,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,135,82003004,4,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,135,82003006,2,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,136,82003006,5,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,137,82003001,5,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,137,82003003,3,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,137,82003004,4,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,137,82003006,2,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,137,82003007,1,Physical,Relief,High,Wall,4,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,138,82003006,2,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,138,82003007,6,Physical,Relief,High,Wall,4,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,142,82003006,7,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,143,82003004,1,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,143,82003006,15,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,143,82003007,4,Physical,Relief,High,Wall,4,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,144,82003001,1,Physical,Relief,Flat,NA,0,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,144,82003003,3,Physical,Relief,Low / moderate,Low (<1m),1,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,144,82003004,3,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,144,82003006,2,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,145,82003004,6,Physical,Relief,Low / moderate,Moderate (1-3m),2,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,145,82003006,1,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
Tasman_Fracture_202103,146,82003006,1,Physical,Relief,High,High (>3m),3,NA,NA,NA,NA,NA,NA
